Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),C2H4X(210),C2H4X(65)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,0.0,2.1131030162013166e-42,1.763398815658285e-24,4.5164457573166995e-53,8.8482670246776999e-37,3.4401139860928192e-85,5.2514978671792844e-14,1.0480067401891689e-71,5.2514978636718391e-14,6.4286555447622786e-49,1.9685104083979733e-47,4.8002357453200822e-71,5.5658621353663929e-72,1.0470039334456721e-35,1.4699181604746804e-56,2.8679871504166266e-12,8.4916002182261989e-14,3.3994726320724662e-16,5.3486475633801481e-26,1.9805808451789917e-25,3.3994717410836689e-16,2.8696533031653339e-23,4.529989860235662e-27,1.2149365764170367e-30,6.9338833327800956e-50,6.8699297145499867e-35,1.1697082174114733e-63,8.4536615376598699e-65,1.0621410150677624e-36,1.0772961973144381e-74,1.3644889800190499e-67
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,0.0,3.3808540897434035e-41,7.0535997726666687e-24,5.7587688276108694e-51,7.0786205722212931e-36,1.754526071120731e-82,1.0503000191930081e-13,6.7072530544370028e-70,1.0503000177900293e-13,1.0285859468327102e-47,3.1495130778231309e-46,1.2241130273519517e-68,1.4193561296637145e-69,8.3757639829586928e-35,4.7037427534011942e-55,5.7359767306774536e-12,1.6983207634697566e-13,6.798948787242079e-16,2.1393854825029473e-25,7.9223239105803825e-25,6.7989452231040306e-16,1.1476806910438552e-22,3.6224941888042602e-26,1.9377801660430364e-29,4.4206607672857548e-48,5.4959478569656469e-34,7.4861397410066503e-62,2.1557755020205362e-62,8.4968398626474313e-36,1.3789404623562652e-72,8.7324592190275847e-66
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,0.0,5.4090057727734584e-40,2.8214408263483598e-23,7.3454801694570223e-49,5.662899180875225e-35,8.9517810310750768e-80,2.1006004858885193e-13,4.2926449426682087e-68,2.100600480276603e-13,1.6457382900498853e-46,5.0388809333067049e-45,3.1227805666289234e-66,3.6208562642821224e-67,6.7001757968264063e-34,1.5051981784178095e-53,1.1471955887057029e-11,3.3966422467101411e-13,1.3597903022646675e-15,8.5569454842893597e-25,3.1689269659992986e-24,1.3597888764644402e-15,4.5892739840678412e-22,2.8955980274190997e-25,3.0936968882166461e-28,2.8193499485028782e-46,4.3967599301588612e-33,4.7911305896388064e-60,5.4994964637026485e-60,6.7970031588329988e-35,1.7650442269749474e-70,5.5884186825638698e-64
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,0.0,8.6532498281899896e-39,1.1285765262056651e-22,9.3564965369803635e-47,4.5303203413081697e-34,4.561063306769381e-77,4.2012014262609294e-13,2.7472934817343102e-66,4.2012014038132812e-13,2.6331816517916496e-45,8.0611148671956251e-44,7.9554904148012907e-64,9.2243695283196966e-65,5.359441164836003e-33,4.8166333983317528e-52,2.2943914183247862e-11,6.7932852129753589e-13,2.7195819201329203e-15,3.4222994987803321e-24,1.2675681033964207e-23,2.7195762157737611e-15,1.8345507183926148e-21,2.3126485113015287e-24,4.9385851346865271e-27,1.7955906535540457e-44,3.5174086186610759e-32,3.0663224975345292e-58,1.4010295941327865e-57,5.4368496751595594e-34,2.2592558243020334e-68,3.5761303809456304e-62
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,0.0,1.3841486883564212e-37,4.5143065936099607e-22,1.1872987378156834e-44,3.6242565234798638e-33,2.3151690851188761e-74,8.402403334931298e-13,1.7582677586965836e-64,8.4024032451407637e-13,4.2130902094133597e-44,1.2894272283381465e-42,2.0190652018845965e-61,2.341099739711644e-62,4.2864330079441018e-32,1.5413215601183837e-50,4.5887830709356267e-11,1.3586571144643624e-12,5.4391682451433138e-15,1.3685366673962551e-23,5.0702497408535581e-23,5.439145418408601e-15,7.3289464831468988e-21,1.84401306156462e-23,7.8737806255613513e-26,1.1392290051701553e-42,2.8139271913384006e-31,1.9624441974410696e-56,3.5557275967440916e-55,4.3482744261068045e-33,2.891844226224412e-66,2.2881370155648402e-60
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,0.0,2.2134503520333592e-36,1.8057228128297298e-21,1.4945645128582038e-42,2.89940508182286e-32,1.1657849144535391e-71,1.6804807263973732e-12,1.1252909554347595e-62,1.6804806904812231e-12,6.7409416087105776e-43,2.0619609960582892e-41,5.0833400800295945e-59,5.8941123850196123e-60,3.427355410334389e-31,4.9322207647689256e-49,9.1775663496480062e-11,2.7173143004531669e-12,1.0878353301275858e-14,5.4710833623912574e-23,2.0280815166206194e-22,1.0878261919832716e-14,2.9241992076494062e-20,1.465512892174031e-22,1.2515741656556866e-24,7.1698133172339665e-41,2.2511419138078369e-30,1.2559612071022522e-54,8.9520577748997801e-53,3.476692022530412e-32,3.7015515653245533e-64,1.4636573292934778e-58
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.11866996584303129,0.022821567690336973,0.0,3.5377258284770864e-35,7.2228922177834686e-21,1.8513532080105202e-40,2.3195236312638722e-31,5.7769106794512975e-69,3.3609615568861844e-12,7.2018558470574916e-61,3.3609614132221164e-12,1.0785496778205725e-41,3.2955506269354596e-40,1.2594543530344039e-56,1.4603300682508226e-57,2.739022886360146e-30,1.5783052170739966e-47,1.8355132801035547e-10,5.4346286710515389e-12,2.1756773432859323e-14,2.1859864060873965e-22,8.112178548941157e-22,2.175640730801577e-14,1.1638174975278827e-19,1.1571205342356437e-21,1.9770737769520311e-23,4.4401344471780564e-39,1.8009136616172734e-29,8.038111472756527e-53,2.217927202923791e-50,2.7782740849166197e-31,4.7379623523826969e-62,9.3578159590521122e-57
7.61622542972916e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642194096,0.11866996565609723,0.022821567687619657,0.0,5.6482542359705607e-34,2.889157564570057e-20,2.2228018766795736e-38,1.8556181242932765e-30,2.7749292230271951e-66,6.7219233965822885e-12,4.609179393797168e-59,6.7219228219303066e-12,1.7256762641865061e-40,5.2614377542966837e-39,3.024690346417982e-54,3.507100515745315e-55,2.1866537737276989e-29,5.0505416988992273e-46,3.671026527966178e-10,1.0869257406732615e-11,4.3513816969349469e-14,8.7244310351235949e-22,3.2447533148607291e-21,4.3512347631457743e-14,4.60902425933255e-19,9.0193542807018894e-21,3.0846004999989797e-22,2.6648051494413909e-37,1.4407310837827907e-28,5.1443395515223035e-51,5.3263299311145303e-48,2.2177068930190349e-30,6.0645309459262363e-60,5.9767628482888956e-55
1.1424338169813875e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072762329115,0.11866996546916321,0.022821567684902341,0.0,2.0767986388765956e-33,6.1394607843747773e-20,1.4251977279357822e-37,5.5088649650337346e-30,2.3225189521445993e-65,1.008288541499425e-11,2.6169539605299925e-58,1.00828841938649e-11,6.5285780921988177e-40,2.0039490185122001e-38,2.2337415223323255e-53,2.5900005357637615e-54,6.2449831600507226e-29,2.3560600973686048e-45,5.506539733413916e-10,1.6303886136898025e-11,6.5271066998032505e-14,1.8510828551506743e-21,6.8949273078199667e-21,6.5267937507712249e-14,9.7270312522408354e-19,2.54080742882486e-20,1.1217070595503222e-21,1.4542293748488585e-36,4.1195906758619434e-28,2.8767498916706991e-50,3.9334653625994313e-47,6.3332057174996412e-30,3.9712852935122842e-59,3.3399222050179389e-54
1.5232450909898589e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727604388204,0.11866996528222917,0.022821567682185025,0.0,5.2623340000792242e-33,1.0473199286430181e-19,5.8777163159840294e-37,1.2003523692009464e-29,1.1659496898339212e-64,1.3443847612119061e-11,1.0064267755277722e-57,1.34438455290259e-11,1.6993837843203482e-39,5.3860529236661118e-38,1.0198596448787958e-52,1.1825150114979279e-53,1.3158193079528304e-28,7.174203643764936e-45,7.3420528964467712e-10,2.1738514861550315e-11,8.7028526790069323e-14,3.1532493109880721e-21,1.1761662318168946e-20,8.7023176942515548e-14,1.6488741657023556e-18,5.2875526501796093e-20,2.8141066733707433e-21,5.3827324940179071e-36,8.6894102685278902e-28,1.0069994264103571e-49,1.795884644055728e-46,1.3343191604357146e-29,1.5749799980207051e-58,1.1683918307192914e-53
2.2848676390068017e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727566582313,0.11866996490836111,0.022821567676750396,0.0,1.8373979889681536e-32,2.1683433792487116e-19,4.79009331005131e-36,3.4842507477629656e-29,1.2522091314873006e-63,2.0165772425787752e-11,7.6596878502299218e-57,2.0165768113042528e-11,6.2364897198581309e-39,2.1734611240848368e-37,9.5710481923681403e-52,1.1097432222693055e-52,3.5874282651818368e-28,3.2685751630573374e-44,1.1013079122967348e-09,3.2607772297921697e-11,1.3054394890535381e-13,6.5129640792947956e-21,2.4350086125944604e-20,1.3053283336528593e-13,3.378154828771797e-18,1.4123051170423946e-19,9.6629817347065823e-21,3.7785622309796838e-35,2.3733476246062553e-27,5.6044120012838669e-49,1.6853432726304266e-45,3.6374632494234085e-29,1.0554742778701471e-57,6.4954833703525849e-53
