Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CH3OO(84),COX(57)
6.814803465220287e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,1.6406483862185169e-98,1.4321826167379995e-42,7.7581159030169237e-32,6.7277643910509681e-53,1.9023601489750267e-39,4.2908205872709441e-35,1.4413547241272798e-20,2.259947204494119e-80,1.4413235313711745e-20,2.4917235493199382e-51,4.4772944648986461e-47,1.8613988440736341e-53,7.1894463353349357e-77,4.3265605001591333e-35,1.1300957423181382e-62,2.7482111771926485e-12,1.3213643565786122e-13,5.0932520960426349e-17,3.8318566144293464e-26,5.0932522184399843e-17,7.5502873615643594e-37,4.7510000331770243e-25,5.4850529356453147e-29,1.7865318890887916e-32,2.5962432006935483e-51,2.8962142119582074e-42,4.8949299124289398e-32,6.4786189682932623e-65
1.3629612707425947e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.2800759962466427e-96,2.2910672230386443e-41,3.1032732587590986e-31,6.7571997428427916e-52,1.5218895824820084e-38,1.7163611639972383e-34,2.8827730565211546e-20,7.2322502966477191e-79,2.8826482854189929e-20,1.9934627526166521e-50,7.1636073958121533e-46,1.4891459614755686e-52,1.427173460276686e-75,1.7449528391587804e-34,1.8082270337579221e-61,5.4964246823311568e-12,2.6427298332566838e-13,1.0186508359665355e-16,1.532727747291569e-25,1.018650884927717e-16,6.0401645361063608e-36,1.9001817710501615e-24,4.3861445366170337e-28,2.8572054774088597e-31,1.6601443839076451e-49,2.3169904519383004e-41,1.9580094979771522e-31,1.286065903913679e-63
2.7259231191837268e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,3.1353525589914549e-94,3.6653060783024614e-40,1.2413296313722612e-30,2.2973377912618933e-50,1.2175122010984165e-37,6.8657015415356232e-34,5.7657968806208781e-20,2.3145833556505732e-77,5.7652977960661611e-20,1.5949021009878467e-49,1.1461548326516535e-44,1.1913584616890058e-51,9.3581713665069862e-74,7.0944306060698033e-34,2.8933949691786435e-60,1.0992851687377378e-11,5.2854607865050249e-13,2.037302043683001e-16,6.1307859579945851e-25,2.0373022395454877e-16,4.8320216906402347e-35,7.5989744636119232e-24,3.5058783318680684e-27,4.5676600160041571e-30,1.0606641293820573e-47,1.85362082241743e-40,7.8323307869931136e-31,8.4328929402820182e-62
5.4518468160659916e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,2.6018364424020694e-91,5.8639717323170769e-39,4.9654786787395542e-30,2.4245043963654159e-48,9.740098945906889e-37,2.7464848156057489e-33,1.1532593166001955e-19,7.4083436684128926e-76,1.1530596827566635e-19,1.2761317838816762e-48,1.833774652699101e-43,9.5315294718545385e-51,1.9544710119960747e-71,2.9294610270174123e-33,4.6301697990698455e-59,2.198570567654664e-11,1.05709226925705e-12,4.074604279083634e-16,2.4522131947499104e-24,4.0746050626756549e-16,3.8654393110969912e-34,3.0381871462026833e-23,2.7998513536108686e-26,7.2959911781858185e-29,6.7650157113988027e-46,1.4829413428456501e-39,3.133165057039005e-30,1.76121751680171e-59
1.090369420983052e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,4.4850815631288392e-88,9.3813106691668093e-38,1.9863189574194392e-29,3.0419618261796032e-46,7.792078406242267e-36,1.0987570235260016e-32,2.3069180284960306e-19,2.3719379406226839e-74,2.306119493139214e-19,1.0212412641690622e-47,2.9338042762724454e-42,7.6262803019864357e-50,4.9005083488934422e-69,1.2451266888616415e-32,7.4106301987061748e-58,4.3971413571192472e-11,2.1141846502976643e-12,8.1492080297558441e-16,9.8080410268772016e-24,8.1492111652613931e-16,3.0920657555200107e-33,1.2141539066200536e-22,2.2321499843047416e-25,1.1634567749716231e-27,4.3001093749562232e-44,1.1864241521330899e-38,1.2534519177910556e-29,4.4159192549933561e-57
2.180738899735958e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202087,0.022821567690940101,5.0618294539301372e-85,1.5007247258645515e-36,7.9462921670352622e-29,3.8380603495817936e-44,6.2336603682717297e-35,4.3963323482316904e-32,4.6154332711422831e-19,7.5977113503238415e-73,4.6122391302341398e-19,8.1753032662094808e-47,4.6933336136860874e-41,6.1027141520512385e-49,1.2365683615197153e-66,5.5671086879873081e-32,1.1864554996318285e-56,8.7942829025713317e-11,4.2283694116889669e-12,1.6298412650585095e-15,3.9225666920799588e-23,1.6298425201752605e-15,2.4731952569693247e-32,4.847670556756377e-22,1.7734502892230372e-24,1.8491504095406582e-26,2.7148552566597173e-42,9.4925263339327241e-38,5.0152942324831871e-29,1.1142703080982832e-54
4.3614778572417698e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407641,0.022821567688825917,6.1079143375331736e-82,2.4002872697255664e-35,3.1793256066632759e-28,4.782079758528641e-42,4.9869240614861545e-34,1.7595762372493565e-31,9.2372550284615007e-19,2.4360723705442271e-71,9.2244784697433346e-19,6.5488432859954444e-46,7.5069237661102285e-40,4.8848748375889674e-48,3.0815899100802524e-64,2.6959078012285242e-31,1.9007447180239881e-55,1.7588565859567185e-10,8.4567389317119191e-12,3.2596810370191518e-15,1.5685070494780263e-22,3.2596860648727447e-15,1.9778246511067546e-31,1.9319488364768737e-21,1.3994439977517968e-23,2.9196541801445202e-25,1.6912122243851145e-40,7.5958245888655037e-37,2.0073068209950011e-28,2.7767203478168886e-52
6.542216814747581e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613195,0.022821567686711734,4.2440533489876133e-81,8.8331771236474851e-35,6.7572513226221529e-28,3.0996301983455736e-41,1.4804923534087559e-33,3.7406318178175299e-31,1.3863868054404394e-18,1.1661225437746488e-70,1.3836717874571907e-18,1.9456385392089955e-45,2.8615977090550198e-39,1.3972129621163671e-47,2.297557030331988e-63,6.4174795053283423e-31,7.1952992991149398e-55,2.6382848682654722e-10,1.2685108448975209e-11,4.8895196567754386e-15,3.3323145742677874e-22,4.8895303519005548e-15,5.6541411474289448e-31,4.0949789565200754e-21,3.9701994808944657e-23,1.0678062886995083e-24,9.3458499366797294e-40,2.1722265322659427e-36,4.2672734908395937e-28,2.0702347891176358e-51
1.0903694729759205e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024304,0.022821567682483362,2.8589310672683811e-78,6.7922234301597191e-34,1.8690174540273746e-27,1.33134339228967e-39,6.934926089402911e-33,1.0352670409301862e-30,2.3136259153720596e-18,1.7660958393294074e-69,2.3061196945506865e-18,9.136983950049564e-45,2.3517570175936626e-38,6.4272377503038261e-47,1.7319355167916175e-61,2.2647871547175034e-30,5.6923200196634085e-54,4.3971413793196545e-10,2.1141847472463633e-11,8.149192287477438e-15,9.2074353678160911e-22,8.14922193548746e-15,2.5967664644749386e-30,1.1247864652318365e-20,1.7822276754966592e-22,8.0333246263694601e-24,2.3179902143327536e-38,9.9868125005660733e-36,1.1810206597231373e-27,1.5604808044423656e-49
1.4829024853269665e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194301,0.02282156767867783,2.9201315785499459e-77,1.8701006722279968e-33,3.3291476615278085e-27,6.253459613271328e-39,1.6003029014298963e-32,1.844793313546893e-30,3.1496891810110579e-18,6.4565856080744196e-69,3.1363228320397335e-18,2.1117312608726215e-44,6.8568179543979082e-38,1.4475350152953466e-46,8.8903257790997417e-61,4.6116072036644087e-30,1.5994132045728488e-53,5.9801121960023099e-10,2.8752912584687247e-11,1.1082893932318681e-14,1.638930367948868e-21,1.108294682106148e-14,5.8432143608512159e-30,1.9942885601630953e-20,3.9598808976428963e-22,2.1897958247670742e-23,9.7668054539965828e-38,2.24852685287643e-35,2.1045175560494383e-27,8.0101370969804388e-49
