Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),C2H4(47),COX(50),C2H6X(52),C2H4X(210),C2H4X(65)
6.0300427548118834e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,2.2306336458388013e-42,1.8110582431963197e-24,4.9578670685997521e-53,9.2093934832616978e-37,3.8784001315774511e-85,5.32199092566832e-14,1.1352975307459047e-71,5.32199092206608e-14,6.7808463132836761e-49,1.0270410177447771e-46,5.3401255509373085e-71,6.1918631001276345e-72,6.6803136587614303e-35,1.5712592097697067e-56,2.9064853448157633e-12,8.6055865294932381e-14,3.4451051833779287e-16,5.4933661664505183e-26,2.0341100416771862e-25,3.4451042683077673e-16,2.9472052489748315e-23,4.7148472198255021e-27,1.2813960788194776e-30,7.5107603151041963e-50,7.1503138156804561e-35,1.1055205619897216e-36,1.2671357899721303e-63,9.4044576110962617e-65,8.7868473892962519e-48,1.1826920563949288e-74,1.4781396380975399e-67
1.2060090621358681e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,3.5689910696629216e-41,7.2442376050627068e-24,6.3217568717958252e-51,7.3675220220973567e-36,1.9781070158782404e-82,1.0643986368823148e-13,7.2659149371485261e-70,1.0643986354414178e-13,1.0849365274112447e-47,1.6432580646987533e-45,1.3618226743892199e-68,1.5790301342990108e-69,5.3442260438149427e-34,5.0280344236630539e-55,5.8129731520737614e-12,1.7211180353854266e-13,6.8902139458730313e-16,2.1973351556171455e-25,8.1364406487591785e-25,6.8902102854021094e-16,1.1786940883197129e-22,3.7702980078489917e-26,2.0438439030780329e-29,4.7885549644614927e-48,5.7202553047271079e-34,8.8441054877387683e-36,8.1096767836714956e-62,2.39829480099326e-62,1.4058970580022564e-46,1.5138472888720777e-72,9.4597968498885067e-66
2.4120186354452273e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,5.7103060607044374e-40,2.8976959843849308e-23,8.0635130752676827e-49,5.8940204507235835e-35,1.0092423156628073e-79,2.1287977273058041e-13,4.6501887927809963e-68,2.1287977215422144e-13,1.7358992600369808e-46,2.6291842226091234e-44,3.4740536819294807e-66,4.0281565536266836e-67,4.2753362657407675e-33,1.6089715424716153e-53,1.1625948762335729e-11,3.4422368002022863e-13,1.3780433447982948e-15,8.7892417541473441e-25,3.2545735413407557e-24,1.3780418804590443e-15,4.7132684415404067e-22,3.0137097943112191e-25,3.2630537442602167e-28,3.053951397971023e-46,4.5762059556921551e-33,7.0751821066991249e-35,5.190194371129029e-60,6.1181196940416181e-60,2.2494364397108438e-45,1.9377249992814227e-70,6.0538799697506313e-64
4.8240377820639456e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677605403,0.11866996600628492,0.022821567692710064,0.0,9.1362293769182159e-39,1.1590785949307317e-22,1.0270632776251436e-46,4.7152173959561622e-34,5.1419995447164743e-77,4.2575959153228714e-13,2.9761216009285273e-66,4.2575958922685152e-13,2.7774392205220307e-45,4.2065993982841532e-43,8.8499723679319665e-64,1.0261518871844656e-64,3.4201958012409643e-32,5.148708079845799e-52,2.3251899965843559e-11,6.8844743296146253e-13,2.7560880368682649e-15,3.515615933185868e-24,1.3018266212535818e-23,2.7560821782980369e-15,1.8841012285092807e-21,2.4069282997487476e-24,5.2088716172953626e-27,1.9449130059833132e-44,3.6609654669240425e-32,5.6599788886836525e-34,3.3217231995217394e-58,1.5585553749503652e-57,3.5990991133345218e-44,2.4802871149251511e-68,3.8739808263796705e-62
9.648076075301384e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675210819,0.1186699659826045,0.022821567692365839,0.0,1.4617129679075462e-37,4.6363148835047682e-22,1.3031601924265838e-44,3.7721741743704222e-33,2.6097725776584675e-74,8.5151923200372668e-13,1.9047177432130841e-64,8.515192227819948e-13,4.4439022812687739e-44,6.730248632130131e-42,2.245842342627664e-61,2.6040470936335444e-62,2.7360387491398314e-31,1.6475853611568368e-50,4.6503802304794793e-11,1.3768949387553785e-12,5.5121805939241044e-15,1.4061814274252632e-23,5.207282881383561e-23,5.5121571499929592e-15,7.5267711888953331e-21,1.9191030285169403e-23,8.3043912542453393e-26,1.2338362622642915e-42,2.9287726825364514e-31,4.5277149952704609e-33,2.1259004272607429e-56,3.9550988721731439e-55,5.7585588844414541e-43,3.1747639085436368e-66,2.4787039299980617e-60
1.9296152661776257e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670421644,0.11866996593524366,0.022821567691677393,0.0,2.3384724927467014e-36,1.8545261349456268e-21,1.6400542954129859e-42,3.017739192067409e-32,1.3138459127791029e-71,1.7030385244186705e-12,1.2190189036803766e-62,1.7030384875318141e-12,7.1102407283442653e-43,1.0767405970747685e-40,5.6530658623176618e-59,6.554707006997299e-60,2.1886420916310289e-30,5.2722642371872162e-49,9.3007606710439525e-11,2.7537899499890064e-12,1.1024378450768078e-14,5.6242055398343069e-23,2.0828940215921886e-22,1.102428459754388e-14,3.0030286383700397e-20,1.5250556125850914e-22,1.3199122374661954e-24,7.7635386037075663e-41,2.3430183141015085e-30,3.6217425666930871e-32,1.3605728914655077e-54,9.9553753156715759e-53,9.213693354455005e-42,4.0636877361731211e-64,1.5855467591499914e-58
3.859230583472601e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727660843301,0.11866996584052199,0.022821567690300498,0.0,3.740697524201479e-35,7.4181055435434274e-21,2.0307061023238915e-40,2.4141908939338794e-31,6.5078338971799496e-69,3.406077155136449e-12,7.8017140954151313e-61,3.4060770075895823e-12,1.1376374685852176e-41,1.7224675004127145e-39,1.4000125471616904e-56,1.6233064194014175e-57,1.7506113751463464e-29,1.6871186749022997e-47,1.8601521443269814e-10,5.507579971039474e-12,2.2048825546301754e-14,2.2492660539052645e-22,8.3314225460415572e-22,2.2048449510036402e-14,1.1951111650546072e-19,1.2039234108570836e-21,2.084675818165722e-23,4.8057531934392095e-39,1.8744147883834585e-29,2.8967069545530467e-31,8.707622308043503e-53,2.4654519677602291e-50,1.4741905148602371e-40,5.201493984704059e-62,1.0136970415750568e-56
7.71846121806255e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727641686613,0.11866996565107865,0.022821567687546708,0.0,5.9823702242988695e-34,2.9672429218618688e-20,2.4361395950857302e-38,1.9313518900785734e-30,3.123470890824754e-66,6.81215460012064e-12,4.9930878514946338e-59,6.8121540099376409e-12,1.8202165059104023e-40,2.7549325218372278e-38,3.3595011557187408e-54,3.8953102426235231e-55,1.4000056171189863e-28,5.3987418447116564e-46,3.7203042552109208e-10,1.1015160007473472e-11,4.4097928591099197e-14,8.9937363778474859e-22,3.3324460931885441e-21,4.409641941055483e-14,4.7323295102175492e-19,9.3809548174034746e-21,3.2514049123519993e-22,2.8818604310409964e-37,1.4995319933046857e-28,2.3162667324733065e-30,5.5728214147024557e-51,5.9159087106055109e-48,2.3587033567131015e-39,6.6578445783206716e-60,6.474225371543962e-55
1.15776918526525e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727622529926,0.11866996546163532,0.022821567684792918,0.0,2.2014499870222915e-33,6.3053922038002066e-20,1.5616101540199637e-37,5.7336995064591481e-30,2.6137493172465063e-65,1.0218232228650386e-11,2.8349256562315668e-58,1.0218230974518221e-11,6.8862426319014715e-40,1.0501437777643812e-37,2.4804796586172144e-53,2.8760906270294036e-54,4.0023473197928855e-28,2.5184941575531188e-45,5.5804563225336275e-10,1.6522740038240534e-11,6.6147243836885027e-14,1.9106804971506694e-21,7.081267381301626e-21,6.6144029392576715e-14,9.9863513275585279e-19,2.6421549503275981e-20,1.1821778864388591e-21,1.5722451927069204e-36,4.287724537521731e-28,6.6212712215129511e-30,3.1163597375718728e-50,4.3679488386491194e-47,8.9234512327637515e-39,4.3598094277202749e-59,3.6178793523954274e-54
1.543692248724245e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727603373239,0.11866996527219198,0.022821567682039128,0.0,5.5823572468882966e-33,1.0756258824777566e-19,6.4389359928644578e-37,1.249342614890907e-29,1.3119256490996842e-64,1.3624310040722899e-11,1.0902542064310034e-57,1.3624307901331327e-11,1.7924835648650018e-39,2.8249768209154249e-37,1.132296491661569e-52,1.31288403684532e-53,8.4405915541088093e-28,7.6688151415123254e-45,7.4406083462951026e-10,2.2030320063341098e-11,8.8196774690960698e-14,3.2586292194970767e-21,1.2079525439953337e-20,8.8191279462073146e-14,1.692692058560404e-18,5.4974919986547338e-20,2.9653925045050882e-21,5.8181898748380536e-36,9.044053298630062e-28,1.3962728448785823e-29,1.0908742340824908e-49,1.9938734549623502e-46,2.322768601781149e-38,1.7290654990315386e-58,1.2656177220930001e-53
