Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),COX(50),C2H6X(52),CH4OX(60),C2H4X(65),C2H4(47),C2H5X(51)
4.803724789430943e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33109553376338946,0.11309743711339086,0.022372831614626391,0.0,9.9801138901823825e-09,1.1320227541893315e-07,8.4886900598380933e-07,1.8412479137775171e-12,1.3485539875088337e-24,6.3224984230102018e-07,3.4035640541134875e-21,4.9231466103161293e-09,2.4606976811434527e-16,7.9109467759411874e-12,4.3864346399967507e-18,2.1430179384774125e-20,1.8894268108267157e-10,2.3793811437003069e-16,0.0055708783378459375,0.00089660656638067911,1.848601216521127e-08,6.3252330163554504e-09,4.367355520235982e-06,6.1409376037131493e-13,2.1391255033364611e-12,2.1552193504644441e-08,1.2929804534013548e-07,4.263363675270015e-13,1.5115027235411909e-09,1.0876777961151526e-10,6.9245781589542597e-13,4.5517183066641384e-15,1.358483880382125e-16,7.1625008822505256e-23,9.3951005402833404e-20,3.4712255061409997e-18
4.8086037284273865e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33109395953231346,0.1130967575424999,0.022372385528065607,0.0,1.0033371835381143e-08,1.1369155541375177e-07,8.5066766642535155e-07,1.8474393712968753e-12,1.3549561402916636e-24,6.3336482656947829e-07,3.4209713591159824e-21,4.9293428988563516e-09,2.4697821553130304e-16,7.9470198966889989e-12,4.4021355315298862e-18,2.1501733619566377e-20,1.8962620578111386e-10,2.3901534113539097e-16,0.0055715549590151896,0.00089749686969549196,1.8502765905043317e-08,6.3420156105153539e-09,4.3746027535466036e-06,6.1720873873350293e-13,2.1430504206331476e-12,2.1585657862048895e-08,1.2928365929579027e-07,4.2688436162368276e-13,1.5182375629727858e-09,1.0895829808553123e-10,6.9392187514716222e-13,4.5672327654821622e-15,1.3646728611656573e-16,7.1948938147422401e-23,9.4377628830223845e-20,3.4828196169467389e-18
4.8134826674238303e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33109238767099974,0.11309608031452394,0.02237193945463771,0.0,1.0086859700343769e-08,1.1418243522848004e-07,8.5246791188589498e-07,1.8536472963094682e-12,1.3613813895085893e-24,6.3448072621363281e-07,3.4384542567249659e-21,4.9355430299666668e-09,2.4788930708141773e-16,7.9832214457203933e-12,4.4178753567323708e-18,2.1573439012668918e-20,1.9031148880086559e-10,2.4009654328447077e-16,0.0055722292347154664,0.00089838714490134239,1.8519520182244339e-08,6.3588242665732306e-09,4.3818537005130391e-06,6.2033666072528415e-13,2.1469821512005297e-12,2.161913878798014e-08,1.2926930938196975e-07,4.2743312016312121e-13,1.5249952019424423e-09,1.0914896785945711e-10,6.9538721854991816e-13,4.5827890072503155e-15,1.3708838533043785e-16,7.2274061626916373e-23,9.4805831081993718e-20,3.4944442167291558e-18
4.818361606420274e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33109081817148511,0.11309540542150477,0.022371493394335862,0.0,1.014057822682985e-08,1.1467491822316289e-07,8.5426974241719523e-07,1.8598717220098184e-12,1.3678297938369986e-24,6.355975411166686e-07,3.4560130199352937e-21,4.9417470052458091e-09,2.4880304856917978e-16,8.0195517461378968e-12,4.4336541776015849e-18,2.1645295697654231e-20,1.9099853266265107e-10,2.4118173238378732e-16,0.0055729011729051085,0.00089927739201108687,1.8536274996414407e-08,6.3756589843240927e-09,4.3891083529226449e-06,6.2347756734438083e-13,2.1509185819415606e-12,2.1652636270461017e-08,1.2925499561124413e-07,4.2798151550881422e-13,1.531775690696912e-09,1.0933978890383025e-10,6.9685384614130453e-13,4.5983871172150203e-15,1.3771169120940637e-16,7.260038263430465e-23,9.5235616763625124e-20,3.5060993657018763e-18
4.823240545416718e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33108925102583375,0.11309473285551114,0.022371047347153263,0.0,1.019452815804774e-08,1.1516900775955376e-07,8.5607315807016152e-07,1.8661126816385969e-12,1.3743014120553266e-24,6.3671527116176296e-07,3.4736479225413159e-21,4.9479548262815964e-09,2.4971944580795064e-16,8.0560111214739063e-12,4.449472056205834e-18,2.1717303808102741e-20,1.9168733988682083e-10,2.4227092002531585e-16,0.0055735707815153714,0.00090016761103752603,1.8553030347141479e-08,6.3925197713853011e-09,4.3963667025446495e-06,6.2663149833663378e-13,2.1548624029616767e-12,2.168615029167533e-08,1.2924071799546345e-07,4.2853098248470853e-13,1.5385790795146219e-09,1.0953076118918902e-10,6.9832175796022954e-13,4.6140271807427404e-15,1.3833720929040093e-16,7.2927904768883038e-23,9.5666990490761432e-20,3.5177851241581186e-18
4.827631590513517e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33108784260076507,0.11309412952919208,0.022370645915900281,0.0,1.024328156271513e-08,1.1561506471543067e-07,8.5769758748292873e-07,1.8717437093268956e-12,1.3801457649961119e-24,6.3772201055224934e-07,3.4895846610582051e-21,4.9535451546385731e-09,2.5054647880242404e-16,8.0889351861072792e-12,4.4637415926740789e-18,2.1782240686688653e-20,1.9230877614616431e-10,2.4325461725923493e-16,0.0055741714440059355,0.00090096878416064151,1.8568110621219777e-08,6.4077167677380785e-09,4.4029023715242431e-06,6.2948120615928534e-13,2.1584156684849885e-12,2.1716327041987892e-08,1.2922789906139284e-07,4.2902508271499228e-13,1.5447217505871493e-09,1.0970276553270542e-10,6.9964397664521348e-13,4.6281391788739733e-15,1.3890207157869908e-16,7.3223704422273807e-23,9.6056588447774878e-20,3.5283285277804909e-18
4.8320226356103164e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33108643607017268,0.11309352807561782,0.022370244495263474,0.0,1.0292223552251749e-08,1.160624281476046e-07,8.5932330092886787e-07,1.8773881807576614e-12,1.3860090118735817e-24,6.3872949102800022e-07,3.5055834956440598e-21,4.9591386004777376e-09,2.5137567192178872e-16,8.1219643003037158e-12,4.4780428615886043e-18,2.1847300425498083e-20,1.9293164460702876e-10,2.4424157120930914e-16,0.0055747702316832426,0.00090176993455588317,1.8583191329283787e-08,6.4229348841392532e-09,4.4094410225762607e-06,6.3234152634509815e-13,2.16197436493761e-12,2.1746517166268357e-08,1.2921510942685541e-07,4.2951975367766422e-13,1.5508830481595397e-09,1.0987489233608097e-10,7.0096723561745074e-13,4.642285291038309e-15,1.3946873428835614e-16,7.3520482331672197e-23,9.6447479847839005e-20,3.5388968180563871e-18
4.8364136807071156e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33108503142832652,0.11309292848906169,0.022369843085237918,0.0,1.0341354671436407e-08,1.1651110051024959e-07,8.6095029845024398e-07,1.8830461202581725e-12,1.3918911957451308e-24,6.3973771250383901e-07,3.5216446275429455e-21,4.9647351649342133e-09,2.5220702942221693e-16,8.1550987008036305e-12,4.492375908342264e-18,2.1912483121927955e-20,1.9355594710597571e-10,2.4523179037848996e-16,0.0055753671502739568,0.00090257106223249131,1.8598272471042966e-08,6.4381741211118574e-09,4.415982649695158e-06,6.3521248874707241e-13,2.1655372607237166e-12,2.1776720654807443e-08,1.2920234909684775e-07,4.3001432832940108e-13,1.5570630089490538e-09,1.1004714157784017e-10,7.0229153490809721e-13,4.6564655797145804e-15,1.4003720147087338e-16,7.3818240993619959e-23,9.6839668076673513e-20,3.5494900391055212e-18
4.840804725803915e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33108362866951468,0.11309233076381517,0.022369441685818715,0.0,1.0390675466024763e-08,1.1696108425866214e-07,8.625785800890847e-07,1.8887175521869466e-12,1.3977923597367328e-24,6.4074667489458524e-07,3.5377682585433679e-21,4.9703348491357642e-09,2.5304055556588884e-16,8.1883386246368752e-12,4.5067407783755099e-18,2.1977788873380862e-20,1.9418168547929955e-10,2.4622528328701869e-16,0.00557596220548668,0.00090337216719967093,1.8613354046193514e-08,6.4534344826113925e-09,4.4225272468657273e-06,6.3809412283307237e-13,2.1691056076679987e-12,2.1806937494818891e-08,1.2918961807583123e-07,4.3050948351087965e-13,1.5632616696938919e-09,1.1021951323650816e-10,7.0361687454916385e-13,4.6706801074628864e-15,1.4060747718269568e-16,7.4116983018803142e-23,9.723315652689921e-20,3.5601082351011757e-18
4.845195770900714e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33108222778804308,0.11309173489418722,0.02236904029700099,0.0,1.0440186482728068e-08,1.174123818492237e-07,8.6420814588982593e-07,1.8944025009329373e-12,1.4037125470412222e-24,6.4175637811505396e-07,3.5539545909650742e-21,4.9759376542029743e-09,2.5387625462083763e-16,8.2216843091169632e-12,4.5211375171750472e-18,2.2043217777265048e-20,1.9480886156303654e-10,2.4722205847199538e-16,0.0055765554030124858,0.00090417324946660089,1.8628436054440405e-08,6.4687159691782614e-09,4.4290748080740372e-06,6.4098645856213587e-13,2.1726781833585164e-12,2.1837167676324279e-08,1.2917691636682544e-07,4.3100455338495618e-13,1.5694790671525284e-09,1.103920072906108e-10,7.0494325457353096e-13,4.6849289369225009e-15,1.4117956548508863e-16,7.4416710914955401e-23,9.762794859786607e-20,3.5707514502704328e-18
