Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
6.308839716501931e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557436155,0.099999999980151175,0.099999999997105224,2.3412078591199202e-93,1.6675632606289046e-38,6.1277210809421989e-33,1.509858770845447e-48,2.0552103165260022e-37,1.6551306815704873e-35,3.2798205182464507e-22,1.7641802795082136e-83,3.2649579994169728e-22,7.2762099984744383e-54,3.8778522842824929e-43,6.3501595104545492e-55,1.2092990467228065e-73,5.517869710558865e-35,5.8841036835369339e-65,1.9848698995880983e-11,5.7895747606079373e-12,1.3120817515258596e-16,7.5172001278099444e-24,1.3120817525550115e-16,1.0815669209609725e-33,3.0631451965623915e-24,2.5142116146619095e-27,7.5815784978736373e-30,5.201213722599926e-46
1.2617680101512642e-16,0.09977366400000001,0.80000000000000004,0.0,0.289343625548723,0.099999999960302344,0.099999999994210442,9.1796732353117305e-90,2.6677668607413359e-37,2.4519274874503129e-32,1.9201245849973021e-46,1.6441685250943502e-36,6.6462550595309448e-35,6.58936650477477e-22,5.7309535189511951e-82,6.5299164235999455e-22,5.8775821478298745e-53,6.2038303386777991e-42,5.0985613312457267e-54,3.0758295880193841e-71,3.7544642755736864e-34,9.5031953624589669e-64,3.9697399971432465e-11,1.157915013309484e-11,2.6241637007515813e-16,3.0065125449827234e-23,2.6241637050065885e-16,8.6514151258170007e-33,1.2242510298025791e-23,2.0038006108870236e-26,1.2086349081797899e-28,3.3071766333838985e-44
2.523536087153407e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549744591,0.099999999920604682,0.099999999988420865,1.6930102214967165e-86,4.267356963345115e-36,9.8144075164613766e-32,2.4262120268375645e-44,1.3153350111618633e-35,2.6790875770435073e-34,1.3297633851568234e-21,1.8855373230485329e-80,1.3059833508361624e-21,4.7931460742648939e-52,9.9237805534739148e-41,4.1083424599553584e-53,7.7732502520484069e-69,2.7392156908473487e-33,1.549026661744085e-62,7.9394801551814793e-11,2.3158300873249104e-11,5.2483277752029984e-16,1.2023109704199376e-22,5.248327793335414e-16,6.9193393547427111e-32,4.8889656622005134e-23,1.5910406391793284e-25,1.9198061086681322e-27,2.0893180912120295e-42
5.047072241157691e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539489178,0.099999999841209358,0.099999999976841711,3.2153460509921715e-83,6.82434902267245e-35,3.9310990108310576e-31,3.0269377958787748e-42,1.0522682171031622e-34,1.0881034122632178e-33,2.7070870087657005e-21,6.3723778069927486e-79,2.6119668623468021e-21,3.9819004261768533e-51,1.5870538689441466e-39,3.3338631794982429e-52,1.9396770788183323e-66,2.0849538161160841e-32,2.570711430695672e-61,1.5878960322969685e-10,4.6316602334279632e-11,1.0496656628105581e-15,4.8068928248408184e-22,1.0496656709614336e-15,5.5326046362318241e-31,1.9491848582720624e-22,1.253978485192313e-24,3.0276533371536802e-26,1.3031816711706599e-40
7.570608395161977e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362529233765,0.099999999761814035,0.099999999965262557,2.0420769384327338e-82,2.5112189037608663e-34,8.3615270764521806e-31,1.962744320952335e-41,3.1239215933780333e-34,2.3364076707191796e-33,4.1200807913805172e-21,3.09634133835309e-78,3.9179504684157607e-21,1.2069706996933265e-50,6.0493430555746748e-39,9.6102769335194082e-52,1.4466638393921461e-65,5.8826950293671778e-32,9.8933716752137908e-61,2.3818440342469638e-10,6.947490377603221e-11,1.5744986185007767e-15,1.0211196069231332e-21,1.5744986371496204e-15,1.5815084746760385e-30,4.1326512506505497e-22,3.555055209345219e-24,1.1066844710615721e-25,7.2047322950769836e-40
1.0094144549166262e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518978352,0.099999999682418711,0.099999999953683402,2.1640246379730479e-81,6.3676546709609823e-34,1.4276314830477932e-30,8.1735041020100115e-41,6.8068614529830268e-34,4.0236288980642787e-33,5.5687447377564244e-21,1.0526501384053163e-77,5.2239341690430521e-21,2.6872552627761914e-50,1.6272444012737136e-38,2.0419161049170296e-51,6.6632969257610368e-65,1.2315021953421926e-31,2.6196880355750242e-60,3.1757920213681339e-10,9.2633205198507078e-11,2.09933164459094e-15,1.7413680989594652e-21,2.0993316785022224e-15,3.3349592498540671e-30,7.035152354680214e-22,7.4408471110337575e-24,2.7893135757932367e-25,2.6955120034375945e-39
1.5141216857174831e-15,0.09977366400000001,0.80000000000000004,0.0,0.2893436249846752,0.099999999523628064,0.099999999930525107,1.2601876347793106e-79,2.2260263973325535e-33,2.9601085885665332e-30,6.7761761253045414e-40,1.97582231721372e-33,8.4617074991316252e-33,8.5497883357190994e-21,6.6080592781726926e-77,7.8359017922202972e-21,8.1439443173932328e-50,6.5783638951392263e-38,5.6445690779469455e-51,6.3522971548896154e-64,3.3370459502677918e-31,9.951818062424895e-60,4.7636879608081299e-10,1.3894980799821398e-10,3.1489978619955807e-15,3.6034102242380248e-21,3.148997939510364e-15,9.1047154681947176e-30,1.4514924957336971e-21,2.0064132778797437e-23,9.6524818452538254e-25,1.9283644550388154e-38
2.0188289165183402e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362477956688,0.099999999364837416,0.099999999907366813,9.2886993067514209e-79,5.56061607505231e-33,5.0414796564658888e-30,2.812947138878454e-39,4.3209013336910242e-33,1.4603618158002602e-32,1.1662003887347027e-20,2.292016649884822e-76,1.0447869763122379e-20,1.8455733617272839e-49,1.7812745316500999e-37,1.1935534806514535e-50,2.936126030171692e-63,6.9488164375934795e-31,2.6533952338981026e-59,6.3515838457172481e-10,1.852664107270313e-10,4.1986643382858032e-15,6.1254307801011023e-21,4.1986644820261792e-15,1.904251845797349e-29,2.4604768172026961e-21,4.1506304084748224e-23,2.3911038867820716e-24,7.0160198651073666e-38
3.0282433781200544e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362436935035,0.099999999047256163,0.099999999861050209,1.5580542543831281e-76,2.5723670458543331e-32,1.1021111742106427e-29,5.2241789578358979e-38,1.4373371358334068e-32,3.292959385335767e-32,1.8317158033190681e-20,2.1885810201842246e-75,1.5671806846733951e-20,6.7322736415798911e-49,8.9223093471127797e-37,3.8822870409001514e-50,9.2806343832737015e-62,2.1788773540382681e-30,1.434241239699877e-58,9.5273754364751574e-10,2.7789961595189555e-10,6.2979981409553884e-15,1.333026384919611e-20,6.2979985175266028e-15,6.0061743698593908e-29,5.3188315080739529e-21,1.2694033096675915e-22,1.0749970568206898e-23,7.8964997093794127e-37
4.0376578397217686e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362395913377,0.099999998729674952,0.099999999814733606,1.5550789250909164e-75,7.4531808440502206e-32,1.9410231009197747e-29,2.8605029942862396e-37,3.3438096247079959e-32,5.9673321244907828e-32,2.554009276567446e-20,9.2745636746644594e-75,2.0895745435480066e-20,1.6889692201715439e-48,2.6745069837423906e-36,9.0532930197757647e-50,6.0961080447317615e-61,4.936470038726253e-30,4.5563905830909749e-58,1.2703166791195224e-09,3.7053282086992772e-10,8.3973330642143629e-15,2.3377052193502019e-20,8.3973338330019072e-15,1.3647789294893908e-28,9.2684365748277104e-21,2.8090571596510628e-22,3.0475553915194683e-23,3.5371375199093438e-36
