Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52)
5.267779549985257e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679738503,0.11866996602737946,0.022821567693016697,0.0,2.2185133155075289e-52,1.3821237874187756e-24,0.0,6.1397808411480493e-37,0.0,4.649234548416044e-14,5.0460687137199456e-72,4.6492345311073793e-14,3.949233763423119e-49,5.972680357264079e-64,0.0,0.0,1.3030136355650135e-41,7.9943628227979449e-57,2.5390738813595841e-12,7.5177464868868292e-14,3.0096060334105219e-16,3.0096043286337407e-16,1.5523478917010209e-25,4.7670183940643479e-35,5.6320512758469734e-64,5.1175503550780558e-48
1.0535563565526352e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679477017,0.11866996602479359,0.022821567692979109,0.0,3.5496241251626433e-51,5.5284986637412925e-24,0.0,4.9118294356103427e-36,0.0,9.2984730717195157e-14,3.2294887281586258e-70,9.2984730024848089e-14,6.3187804710555934e-48,1.9112600211702808e-62,0.0,0.0,1.0424116814868562e-40,2.5581986261626589e-55,5.0781499140384264e-12,1.5035499346504046e-13,6.0192146706370653e-16,6.0192078515288389e-16,6.2093924038962831e-25,3.8136175374152081e-34,3.6045162788217661e-62,8.1880890676503574e-47
2.1071131596608542e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678954047,0.11866996601962185,0.022821567692903933,0.0,5.6794008550139959e-50,2.2114001677948176e-23,0.0,3.9294653394630013e-35,0.0,1.8596950219363629e-13,2.0668741943173686e-68,1.8596949942424968e-13,1.0110053322854253e-46,6.1160357818321925e-61,0.0,0.0,8.339296541989981e-40,8.186238304680204e-54,1.0156301976149614e-11,3.0071005065234376e-13,1.2038432102707851e-15,1.2038404826292055e-15,2.4837552625381982e-24,3.0508951509091604e-33,2.306891000125723e-60,1.310094888333995e-45
4.214226765877293e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677908106,0.11866996600927837,0.022821567692753578,0.0,9.0870431669381435e-49,8.8456020716550255e-23,0.0,3.143572805396679e-34,0.0,3.7193904918799059e-13,1.3227997914709201e-66,3.7193903811046482e-13,1.6176087082303305e-45,1.9571320592448085e-59,0.0,0.0,6.6714384663584168e-39,2.6195958348491504e-52,2.0312606087386004e-11,6.0142016500251092e-13,2.4076867597320228e-15,2.4076758491846074e-15,9.9350027206496086e-24,2.4407165564957575e-32,1.4764097526184423e-58,2.0961521954951419e-44
8.428453978310169e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675816224,0.11866996598859142,0.022821567692452867,0.0,1.4539270490585816e-47,3.538241105459144e-22,0.0,2.5148581657495924e-33,0.0,7.4387815934248036e-13,8.4659179593306032e-65,7.4387811503254257e-13,2.5881734697603395e-44,6.2628237453468836e-58,0.0,0.0,5.3371512609554203e-38,8.3827005245649622e-51,4.0625214257914866e-11,1.2028403935708855e-12,4.8153741108428214e-15,4.8153304688147136e-15,3.9739854772669575e-23,1.9525733993082409e-31,9.4490122348311279e-57,3.3538433774141532e-43
1.6856908403175924e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671632454,0.11866996594721752,0.022821567691851445,0.0,2.3262833873659932e-46,1.4152964949051068e-21,0.0,2.0118860338257955e-32,0.0,1.4877564443137235e-12,5.4181849652143136e-63,1.487756267075288e-12,4.1410752459768028e-43,2.0041038587781258e-56,0.0,0.0,4.269721195532897e-37,2.6824596831143147e-49,8.1250430391196853e-11,2.4056808499061748e-12,9.6307498218177073e-15,9.6305752550183399e-15,1.5895815127596315e-22,1.5620587487778235e-30,6.0473535359188201e-55,5.3661479045254827e-42
3.371381725290743e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727663264914,0.11866996586446969,0.022821567690648605,0.0,3.722053490862483e-45,5.6611860639592602e-21,0.0,1.6095078798308922e-31,0.0,2.9755132728983416e-12,3.4676346500164216e-61,2.9755125639551391e-12,6.6257123574715675e-42,6.4131332869446444e-55,0.0,0.0,3.4157770177273489e-36,8.5838414027772238e-48,1.6250086182665802e-10,4.8113617571819561e-12,1.9261505278780603e-14,1.9260807022128872e-14,6.3582242491577988e-22,1.2496469590533645e-29,3.8702875626786081e-53,8.585830996636639e-41
6.742763495237044e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727646529839,0.11866996569897406,0.022821567688242925,0.0,5.9552855909744666e-44,2.2644744255681979e-20,0.0,1.2876047287312334e-30,0.0,5.9510279645807255e-12,2.2192812478930142e-59,5.9510251288922814e-12,1.0601113530939374e-40,2.0522031367760277e-53,0.0,0.0,2.7326216172520225e-35,2.7468101751072701e-46,3.2500172137316896e-10,9.6227235326426763e-12,3.8523032332758689e-14,3.8520239390597129e-14,2.543208186021213e-21,9.9971746853292886e-29,2.4769599750302114e-51,1.3737310831634832e-39
1.0114145265183346e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727629794765,0.11866996553347843,0.022821567685837246,0.0,2.1919405593013706e-43,4.8120081347026087e-20,0.0,3.8225738638552335e-30,0.0,8.9265436907200725e-12,1.2600411317419217e-58,8.9265376650068673e-12,4.0106118701050924e-40,9.6006634713748508e-53,0.0,0.0,7.8135899123520861e-35,1.2813773525589666e-45,4.8750257759526864e-10,1.4434085245663662e-11,5.7784575526788827e-14,5.7778640648739619e-14,5.4041976551717792e-21,2.8585669635462286e-28,1.3851331298766776e-50,5.1971003053611802e-39
1.3485527035129648e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072761305969,0.1186699653679828,0.022821567683431566,0.0,5.5592357990325356e-43,8.2087197184807586e-20,0.0,8.3291810612988627e-30,0.0,1.1902060451261815e-11,4.8458590955858952e-58,1.1902050172298894e-11,1.0439588167534143e-39,3.0972440400576914e-52,0.0,0.0,1.6481124012515161e-34,3.9017942177536281e-45,6.5000343049295716e-10,1.9245446872896044e-11,7.7046134860870879e-14,7.7036010851988487e-14,9.2187373296419391e-21,6.0295452792880399e-28,4.8486258182306618e-50,1.352801362417031e-38
