Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25)
2.4312094734862245e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105044376695192,0.099964875635745826,0.0,0.099965880131288973,0.0,2.2020524372510815e-26,0.0,3.2982210686820197e-22,0.0,2.2202005092898335e-13,3.1248843117836077e-43,3.2079458920329708e-23,6.3337268396768599e-32,0.0,0.0,0.0,0.0,0.0,3.512436394925265e-05,3.4119868711032488e-05,3.0501717973759636e-13,8.2844143459102906e-14,3.9079306846350291e-17,2.4942036032616021e-17,6.0003124825563909e-30,1.006066012789643e-25,3.2313636464747116e-28,3.0067377845316445e-34,8.6621682316321598e-47,1.5612473878938862e-32,3.677867068868826e-27
2.445180774559309e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105042413464858,0.099964875545996035,0.0,0.099965860588735508,0.0,2.2402307079886615e-26,0.0,3.3282749052540516e-22,0.0,2.2372299076859156e-13,3.1787439443930828e-43,3.2449033807966054e-23,6.435841900636233e-32,0.0,0.0,0.0,0.0,0.0,3.5124453697287135e-05,3.4139411264507936e-05,3.0677005277716979e-13,8.289278995324192e-14,3.9266103419185349e-17,2.5246405045286117e-17,6.1126593298367497e-30,1.0163801616431711e-25,3.2925697607834363e-28,3.0339947909689489e-34,8.826452634756817e-47,1.5958666093813799e-32,3.6991755762915565e-27
2.459152075632393e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105040490822827,0.099964875461384439,0.0,0.099965841446926801,0.0,2.278847717255618e-26,0.0,3.3583636737668353e-22,0.0,2.254269136255905e-13,3.2331214504580348e-43,3.2820723465741164e-23,6.5388788578811114e-32,0.0,0.0,0.0,0.0,0.0,3.5124538307104144e-05,3.4158553073208712e-05,3.0852292726499718e-13,8.2940452860655532e-14,3.9451738504590247e-17,2.5552220910835409e-17,6.226410254021761e-30,1.0267116626587274e-25,3.3545200142039879e-28,3.0612813807501755e-34,8.9925290672004826e-47,1.6310170480905743e-32,3.7204841083037692e-27
2.4731233767054776e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105038607918475,0.0999648753816227,0.0,0.099965822697645076,0.0,2.3179059713945517e-26,0.0,3.3884866876565144e-22,0.0,2.2713179947903665e-13,3.288017273513654e-43,3.319452786103203e-23,6.6428386986238065e-32,0.0,0.0,0.0,0.0,0.0,3.5124618067129369e-05,3.4177302354922811e-05,3.1027580319222318e-13,8.2987152213982765e-14,3.9636215344980268e-17,2.585947461743125e-17,6.3415740563836127e-30,1.0370601820511498e-25,3.4172179247326368e-28,3.0885969405679585e-34,9.1604001765028447e-47,1.6667030555938824e-32,3.7417926647436743e-27
2.487094677778562e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105036763919635,0.099964875306438356,0.0,0.099965804332841079,0.0,2.3574079767420449e-26,0.0,3.4186432735580462e-22,0.0,2.2883762871575126e-13,3.34343184322154e-43,3.357044696120546e-23,6.7477223895404519e-32,0.0,0.0,0.0,0.0,0.0,3.5124693249712435e-05,3.4195667158921411e-05,3.1202868055000818e-13,8.3032907637852835e-14,3.9819537274726202e-17,2.6168157178792067e-17,6.4581595381830784e-30,1.0474253921252684e-25,3.4806669884168378e-28,3.1159408692498324e-34,9.3300685371942865e-47,1.7029289841009051e-32,3.7631012454489949e-27
2.501065978851646e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105034958012181,0.099964875235574291,0.0,0.099965786344630603,0.0,2.3973562396286185e-26,0.0,3.4488327710679467e-22,0.0,2.3054438212201578e-13,3.3993655757190258e-43,3.3948480733618099e-23,6.853530877177601e-32,0.0,0.0,0.0,0.0,0.0,3.5124764112020603e-05,3.4213655369414471e-05,3.137815593295295e-13,8.3077738357195563e-14,4.0001707717058724e-17,2.6478259634889714e-17,6.5761755006688916e-30,1.0578069711800649e-25,3.5448706794183923e-28,3.1433125775351958e-34,9.5015366524212997e-47,1.7396991864030724e-32,3.7844098502570293e-27
2.5150372799247306e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105033189399558,0.099964875168787687,0.0,0.099965768725291088,0.0,2.4377532663786857e-26,0.0,3.4790545325105894e-22,0.0,2.3225204087543571e-13,3.4558188739612648e-43,3.4328629145616494e-23,6.9602650883513738e-32,0.0,0.0,0.0,0.0,0.0,3.5124830896882817e-05,3.4231274708935624e-05,3.1553443952198298e-13,8.3121663205382499e-14,4.0182730181045164e-17,2.6789773052628065e-17,6.6956307450771294e-30,1.0682046034136686e-25,3.6098324500782926e-28,3.1707114878557264e-34,9.674806955545203e-47,1.7770180158201859e-32,3.8057184790047078e-27
2.529008580997815e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105031457302442,0.099964875105849199,0.0,0.099965751467258376,0.0,2.4786015633105078e-26,0.0,3.509307922708062e-22,0.0,2.339605865369703e-13,3.5127921280561615e-43,3.4710892164537014e-23,7.0679259305392312e-32,0.0,0.0,0.0,0.0,0.0,3.5124893833586991e-05,3.4248532741657607e-05,3.1728732111858379e-13,8.3164700632202175e-14,4.036260825863736e-17,2.7102688526498349e-17,6.8165340726306422e-30,1.0786179788292178e-25,3.6755557309832004e-28,3.1981370341192254e-34,9.8498818117142695e-47,1.8148898261487925e-32,3.8270271315286695e-27
2.5429798820708993e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105029760958258,0.099964875046542417,0.0,0.099965734563123382,0.0,2.5199036367361491e-26,0.0,3.5395923187535166e-22,0.0,2.3567000104312498e-13,3.5702857155922596e-43,3.5095269757705993e-23,7.1765142922644919e-32,0.0,0.0,0.0,0.0,0.0,3.5124953138632837e-05,3.4265436876639619e-05,3.1904020411056731e-13,8.3206868711672786e-14,4.0541345621788843e-17,2.7416997179211915e-17,6.9388942845384871e-30,1.0890467931416051e-25,3.7420439310334904e-28,3.2255886614968573e-34,1.0026763519409415e-46,1.8533189716123553e-32,3.8483358076653015e-27
2.5569511831439837e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105028099620859,0.099964874990662866,0.0,0.09996571800562902,0.0,2.5616619929614335e-26,0.0,3.5699071097880307e-22,0.0,2.3738026669830254e-13,3.6283000019597e-43,3.5481761892439689e-23,7.2860310434736991e-32,0.0,0.0,0.0,0.0,0.0,3.5125009016443069e-05,3.4281994371008249e-05,3.2079308848919063e-13,8.3248185149695991e-14,4.0718946019640059e-17,2.7732690162310762e-17,7.06272018199541e-30,1.0994907476851343e-25,3.8093004375128046e-28,3.2530658262137657e-34,1.0205454311963489e-46,1.8923098068131658e-32,3.8696445072508066e-27
2.570922484217068e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105026472560115,0.099964874938017506,0.0,0.09996570178766695,0.0,2.6038791382859011e-26,0.0,3.6002516967809172e-22,0.0,2.3909136616730961e-13,3.6868353406643371e-43,3.5870368536044304e-23,7.3964770359069934e-32,0.0,0.0,0.0,0.0,0.0,3.512506166003488e-05,3.4298212333073002e-05,3.2254597424573348e-13,8.3288667291554519e-14,4.0895413275770156e-17,2.8049758656756525e-17,7.188020566181331e-30,1.1099495493221083e-25,3.8773286161590814e-28,3.2805679953430296e-34,1.0385956359054298e-46,1.9318666866859517e-32,3.8909532301212598e-27
2.5848937852901524e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105024879061546,0.099964874888424149,0.0,0.099965685902274615,0.0,2.6465575790027665e-26,0.0,3.6306254923134965e-22,0.0,2.4080328246801701e-13,3.7458920736351393e-43,3.6261089655816046e-23,7.5078531034615395e-32,0.0,0.0,0.0,0.0,0.0,3.5125111251654414e-05,3.4314097725378046e-05,3.2429886137149875e-13,8.332833212925734e-14,4.1070751285513607e-17,2.836819387349836e-17,7.314804238260858e-30,1.120422910352363e-25,3.9461318112369915e-28,3.3080946466029463e-34,1.0568271768171633e-46,1.9719939664531377e-32,3.9122619761126517e-27
2.5988650863632367e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105023318425961,0.099964874841710669,0.0,0.099965670342632318,0.0,2.6896998213988696e-26,0.0,3.6610279203662545e-22,0.0,2.425159989641684e-13,3.8054705315249495e-43,3.6653925219041143e-23,7.6201600625481763e-32,0.0,0.0,0.0,0.0,0.0,3.5125157963375649e-05,3.4329657367691337e-05,3.2605174985781365e-13,8.3367196308734841e-14,4.1244964013340887e-17,2.8687987054020183e-17,7.4430799993828276e-30,1.1309105484237699e-25,4.0157133456117317e-28,3.3356452681575911e-34,1.0752402586058294e-46,2.0126960015817109e-32,3.9335707450609467e-27
2.612836387436321e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410502178996913,0.09996487479771464,0.0,0.099965655102060083,0.0,2.7333083717546419e-26,0.0,3.6914584161094026e-22,0.0,2.4422949935833582e-13,3.8655710340047544e-43,3.7048875192995907e-23,7.7333987124413588e-32,0.0,0.0,0.0,0.0,0.0,3.5125201957666343e-05,3.4344897939932454e-05,3.2780463969603107e-13,8.3405276136887991e-14,4.1418055490301139e-17,2.9009129470867867e-17,7.5728566506798436e-30,1.1414121864437127e-25,4.086076520824125e-28,3.3632193584206414e-34,1.0938350800125402e-46,2.0539771477416518e-32,3.9548795368021259e-27
2.6268076885094054e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105020293021412,0.099964874756282615,0.0,0.099965640174014977,0.0,2.7773857363440608e-26,0.0,3.7219164256967735e-22,0.0,2.4594376768501876e-13,3.926193890051517e-43,3.7445939544946675e-23,7.8475698356225391e-32,0.0,0.0,0.0,0.0,0.0,3.512524338792225e-05,3.4359825985040402e-05,3.2955753087752942e-13,8.344258758849318e-14,4.1590029811525922e-17,2.9331612428156792e-17,7.7041429932678512e-30,1.1519275524915624e-25,4.1572246171669945e-28,3.3908164258624126e-34,1.1126118339842199e-46,2.0958417607658813e-32,3.9761883511722343e-27
2.64077898958249e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105018826927452,0.099964874717269808,0.0,0.099965625552088225,0.0,2.8219344214346064e-26,0.0,3.7524014060630485e-22,0.0,2.4765878830388408e-13,3.9873393982297226e-43,3.7845118242149935e-23,7.9626741981170589e-32,0.0,0.0,0.0,0.0,0.0,3.5125282398971923e-05,3.4374447911782581e-05,3.3131042339371408e-13,8.3479146312967302e-14,4.1760891133792739e-17,2.9655427262060133e-17,7.8369478282457389e-30,1.1624563797321535e-25,4.2291608937627444e-28,3.4184359888201002e-34,1.1315707078100428e-46,2.1382941966116871e-32,3.9974971880074303e-27
2.654750290655574e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105017391045849,0.099964874680539467,0.0,0.099965611230002527,0.0,2.8669569332872229e-26,0.0,3.7829128247242625e-22,0.0,2.4937454589314305e-13,4.0490078469667135e-43,3.8246411251852313e-23,8.0787125498246875e-32,0.0,0.0,0.0,0.0,0.0,3.5125319127553295e-05,3.4388769997506175e-05,3.3306331723601845e-13,8.3514967640994126e-14,4.1930643673146809e-17,2.9980565341278674e-17,7.9712799566949267e-30,1.1729984063302786e-25,4.301888588642104e-28,3.4460775753111655e-34,1.1507118832553641e-46,2.1813388113235898e-32,4.0188060471440198e-27
2.6687215917286585e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105015984748815,0.099964874645962529,0.0,0.099965597201609177,0.0,2.9124557781562748e-26,0.0,3.8134501595815697e-22,0.0,2.5109102544306329e-13,4.1111995148219225e-43,3.8649818541290628e-23,8.1956856248438956e-32,0.0,0.0,0.0,0.0,0.0,3.5125353702763767e-05,3.4402798390833108e-05,3.348162123959036e-13,8.3550066591016391e-14,4.2099291702580016e-17,3.0307018067492096e-17,8.107148179678985e-30,1.1835533753662012e-25,4.3754109188240143e-28,3.4737407228498423e-34,1.1700355366931585e-46,2.2249799609976024e-32,4.0401149284185063e-27
2.682692892801743e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105014607421918,0.099964874613417062,0.0,0.099965583460885729,0.0,2.9584334622895118e-26,0.0,3.8440128987282282e-22,0.0,2.5280821224961342e-13,4.1739146707501312e-43,3.9055340077691893e-23,8.3135941417899827e-32,0.0,0.0,0.0,0.0,0.0,3.5125386246485513e-05,3.4416539114299783e-05,3.3656910886486013e-13,8.3584457875595374e-14,4.2266839549765727e-17,3.0634776875792658e-17,8.2445612982432684e-30,1.1941210347522048e-25,4.449731080396565e-28,3.5014249782667508e-34,1.189541839232988e-46,2.269222001746849e-32,4.0614238316676235e-27
