Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),COX(57)
6.61133047174788e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,1.3571415534469245e-98,4.5786454984576246e-46,7.305748423824653e-32,6.1309418004017888e-53,1.7369980530981648e-39,4.0383632757374191e-35,1.398296736610864e-20,1.9420382702469651e-80,1.3982896737212666e-20,2.2750622030624953e-51,3.1270659871019429e-52,1.6995753206425907e-53,6.3567734803978605e-77,4.0383640704500476e-35,1.00102402058299e-62,2.6661564623942731e-12,1.2819117204947107e-13,4.9411802056353557e-17,2.7245735250603173e-26,4.9411805818166151e-17,1.8579167405176511e-24,8.649562238563613e-28,2.7334639897141626e-31,3.740260710839988e-50,2.6458112057618801e-42,5.7282704240470277e-65
1.3222666547994794e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,1.0321646348537564e-96,3.6629624405877961e-45,2.9239192379348246e-31,6.0171279359457941e-52,1.3895997173259309e-38,1.6153533313230715e-34,2.796608785164284e-20,6.2146167034078335e-79,2.796580533588862e-20,1.8200699760132328e-50,4.0254086439967866e-51,1.3596667595699274e-52,1.2343791791360782e-75,1.6153538468327247e-34,1.6016558112524117e-61,5.3323151832782673e-12,2.5638245276469475e-13,9.8823642210372092e-17,8.7050407017744527e-26,9.8823657283023775e-17,7.4282135275956247e-24,6.9144654214907805e-27,4.3700481388579316e-30,2.3918068637979449e-48,2.1177444274218787e-41,1.1123330672895577e-63
2.6445338700488623e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,2.3331227215223972e-94,2.9304206042393599e-44,1.1708607908041143e-30,1.9029525563913617e-50,1.1116801644469851e-37,6.4614713314814972e-34,5.593275262055683e-20,1.9887333035231407e-77,5.5931622557254959e-20,1.456086162676327e-49,4.6019991155747739e-50,1.0877426023206104e-51,7.5289587429861879e-74,6.4614743128604596e-34,2.562700835770985e-60,1.0664632620123153e-11,5.1276501418517319e-13,1.9764731115058339e-16,2.4615798363655088e-25,1.9764737157092262e-16,2.9685234285951973e-23,5.5232848425356602e-26,6.9816810930342922e-29,1.5284214638967737e-46,1.6959441945653936e-40,6.7845387884445782e-62
5.289068300547628e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,1.8567788981796725e-91,2.3443928969688753e-43,4.6937588200028861e-30,1.9662609820415715e-48,8.8934409682743722e-37,2.5846337051291826e-33,1.1186777734937703e-19,6.3642977455274683e-76,1.1186325709604539e-19,1.1649163576675487e-48,4.6459440429804495e-49,8.7020830922763594e-51,1.5379070856124975e-71,2.5846352320130085e-33,4.1004830013973056e-59,2.1329267474120517e-11,1.0255301369863621e-12,3.952946035597138e-16,6.1338530036006023e-25,3.9529484583355976e-16,1.1852049635812347e-22,4.4054089816512452e-25,1.1138143027341707e-27,9.7526497838990615e-45,1.3595454115773978e-39,1.385842067490902e-59
1.0578137161545159e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.118669965987306,0.022821567692028758,2.9279741028212084e-88,1.8755849856827881e-42,1.8857128514611892e-29,2.4650787848026356e-46,7.1147495802661523e-36,1.0338893735864378e-32,2.2374460756786336e-19,2.0368381721246708e-74,2.2372652655785761e-19,9.3200862706334747e-48,4.2419021555804627e-48,6.9618921753197369e-50,3.8526139163899851e-69,1.0338900805484278e-32,6.561287537350769e-58,4.2658537103345613e-11,2.0510603824298297e-12,7.9058900649289153e-16,1.383831396574663e-24,7.905899784257336e-16,4.7232748448088098e-22,3.5033144389045052e-24,1.771803839098768e-26,6.2046749354836841e-43,1.0920777348768164e-38,3.4716463088958015e-57
2.115627488354022e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464667,0.022821567691003228,2.9615787344511789e-85,1.5005695787954703e-41,7.6078489542787643e-29,3.1153917177553923e-44,5.6917934977858465e-35,4.1358441334500972e-32,4.4752539102325206e-19,6.5194414169541738e-73,4.4745306701840934e-19,7.4572763514391037e-47,3.6334068659687645e-47,5.5698740878531188e-49,9.7375992040869833e-67,4.1358471936864115e-32,1.0499705210797286e-56,8.5317076046717301e-11,4.10212087268125e-12,1.5811770848195949e-15,2.9392742520510732e-24,1.5811809892455321e-15,1.8754182240792972e-21,2.7694679293431087e-23,2.8023896425524953e-25,3.92427159323247e-41,8.806975115791745e-38,8.7745437185803037e-55
4.2312550327530345e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932801,0.022821567688952167,2.9628476443729778e-82,1.2006127899448401e-40,3.0940804391299529e-28,3.8953257581945972e-42,4.5534245097829916e-34,1.6545668657333538e-31,8.9519544980793291e-19,2.087217912110904e-71,8.9490615408723602e-19,5.9677524717669211e-46,3.0070128080631483e-46,4.4564755157997877e-48,2.4351821354932051e-64,1.6545681399720366e-31,1.6804791708931575e-55,1.7063415267314666e-10,8.2042418506420966e-12,3.1623503313198504e-15,6.0532582210943578e-24,3.1623660668402532e-15,7.3927979828422494e-21,2.1638423841958604e-22,4.3824903269744562e-24,2.4532717828719683e-39,7.1559302219033602e-37,2.1942667376466693e-52
6.346882577152047e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400936,0.022821567686901106,2.1625973200580622e-81,3.4332648302543326e-40,6.6484884523713178e-28,2.5277096591822794e-41,1.351796153294955e-33,3.5162912171614691e-31,1.3429740002669681e-18,9.9870121924354112e-71,1.3423592473038045e-18,1.7720016626250121e-45,9.0125689424346436e-46,1.2743681112215742e-47,1.817409580097773e-63,3.5162939563743708e-31,6.3585500981492041e-55,2.5595122803926196e-10,1.2306362826060947e-11,4.7435206676724305e-15,9.1674077007758055e-24,4.7435542731507566e-15,1.5552464348201156e-20,6.1039454132823561e-22,1.5954453502783853e-23,1.3574813204077788e-38,2.0640004379029091e-36,1.6375965302641631e-51
1.0578137665950072e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275288818,0.11866996560337205,0.022821567682798985,9.7670902461371721e-79,1.5781572153434562e-39,1.8886910066950681e-27,1.0911505613338424e-39,6.3320696840964056e-33,9.7239107009620893e-31,2.2389650662831057e-18,1.5075574374114529e-69,2.2372654583280236e-18,8.305606535004551e-45,4.2631751606069593e-45,5.8578364485202312e-47,1.3769950652002348e-61,9.7239183505428827e-31,5.0212026405924966e-54,4.2658537373023681e-10,2.0510604766730678e-11,7.9058496998304128e-15,1.5395726631092973e-23,7.9059437738740353e-15,4.1916978393566027e-20,2.6944792376807031e-21,1.1811917639643917e-22,3.3835015506213719e-37,9.7250639810083404e-36,1.2406825752031894e-49
1.4386267245868294e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756259192794,0.11866996544979846,0.022821567679107077,8.6915568735397997e-78,3.5528632999677599e-39,3.4213305806032473e-27,5.1218305516797693e-39,1.4611853606892311e-32,1.7318236558100747e-30,3.0457075625631787e-18,5.5024715048770299e-69,3.0426810681135212e-18,1.9173297519734023e-44,9.8692273083247235e-45,1.3187572548881568e-46,7.0627120273699062e-61,1.7318250221951748e-30,1.4095354649324045e-53,5.8015610078000856e-10,2.7894422505120184e-11,1.0751936426079432e-14,2.1001216280599974e-23,1.0752105301901325e-14,7.3399322575518529e-20,5.9310859830213239e-21,3.1961637756538658e-22,1.424829759957804e-36,2.2183689210797835e-35,6.3634919791514427e-49
