Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),C2H4(47),COX(50),CHOX(53)
5.787121697037967e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679712723,0.11866996602712453,0.022821567693012992,0.0,1.2337458121207202e-48,1.6680805554801537e-24,3.756863834337491e-53,8.1406286208858136e-37,2.7070296064056777e-85,5.1075952936704292e-14,8.8708104814559547e-72,5.1075952920993654e-14,5.7524511155377291e-49,2.7996284573642451e-50,3.883660195981037e-71,4.5030929566084695e-72,4.1531693704074728e-38,1.279260441222662e-56,2.7893972041656281e-12,8.2589093553024637e-14,3.3063191243780188e-16,5.0202999209431455e-26,3.3063175269822772e-16,7.3568024546301998e-23,3.0620076486483508e-26,8.0657771610716361e-30,4.3576201315251089e-49,6.3205071514328184e-35,1.8735232189627229e-25,9.9009470293908022e-64,6.8394838781989118e-65,1.1540622361721558e-68
1.1574248299883941e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679425459,0.11866996602428372,0.022821567692971698,0.0,1.9598372426765275e-47,6.6723269522135845e-24,4.7680750456909741e-51,6.5125092637962754e-36,1.3742061029628284e-82,1.0215194919116487e-13,5.6773270800812384e-70,1.0215194912832226e-13,9.2039312325320821e-48,4.4458694844141154e-49,9.8577171670534263e-69,1.1429992914724338e-69,3.298552377243871e-37,4.0936374438750032e-55,5.5787967716285073e-12,1.6517825711605385e-13,6.6126425888071952e-16,1.9925854404690055e-25,6.6126361979778385e-16,2.9414980448978457e-22,2.4480214120999357e-25,1.2799318211425707e-28,2.7654266626760105e-47,5.0564098082241914e-34,7.4940934917048451e-25,6.3366121498936176e-62,1.736033613813969e-62,2.9293892467742273e-66
2.3148501505575886e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678850929,0.11866996601860211,0.022821567692889108,0.0,3.0913701665247246e-46,2.668932019379809e-23,6.0706838673379801e-49,5.2100098693665886e-35,6.9983944981826131e-80,2.0430394176037943e-13,3.6334918315557754e-68,2.0430394150900897e-13,1.4726296797797664e-46,7.0083216584667342e-48,2.5101263321521006e-66,2.9104827294724778e-67,2.6012599258915929e-36,1.3099644109602166e-53,1.1157595902636083e-11,3.3035658423703019e-13,1.3225294136803478e-15,7.8487147275385587e-25,1.3225268563603658e-15,1.1756208858831065e-21,1.9558830407148914e-24,2.0375086549143491e-27,1.7605063789261585e-45,4.045129884599737e-33,2.9976350305973355e-24,4.0554327530874657e-60,4.420553964474997e-60,7.459023181373407e-64
4.629700791695978e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677701871,0.11866996600723888,0.022821567692723931,0.0,4.809910183550814e-45,1.0675732887592206e-22,7.7333853901254247e-47,4.1680087372149408e-34,3.5660666305048914e-77,4.0860792713998185e-13,2.3254353435287697e-66,4.086079261345001e-13,2.3562077993411954e-45,1.0890860229199822e-46,6.3952419407501987e-64,7.4152552391846691e-65,2.0232987941206484e-35,4.1918854177038797e-52,2.2315194148978496e-11,6.6071323845871644e-13,2.6450615761658541e-15,3.046233893633656e-24,2.6450513389424073e-15,4.6946728411091483e-21,1.5606625793266231e-23,3.2456216872975762e-26,1.1213508672766208e-43,3.2361053662387051e-32,1.1990515476246915e-23,2.5954760469007939e-58,1.1262551170127853e-57,1.900178870180016e-61
9.259402073972757e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675403753,0.11866996598451243,0.022821567692393574,0.0,7.2930489613014372e-44,4.2702959733424922e-22,9.8335030785542671e-45,3.3344070998851799e-33,1.8138175224268684e-74,8.1721589886387579e-13,1.4882785112856816e-64,8.1721589484195341e-13,3.7699319783301173e-44,1.6473865394587076e-45,1.6264073766098023e-61,1.8858094932284285e-62,1.5333760815169727e-34,1.3414023365575855e-50,4.4630390578972375e-11,1.3214265468214585e-12,5.290133353977458e-15,1.149794196727084e-23,5.2900923419583112e-15,1.8716490933798505e-20,1.2420963295620067e-22,5.1621317715274371e-25,7.1292500752834053e-42,2.5888859002016658e-31,4.7961853302070159e-23,1.6611028056564239e-56,2.864220810051687e-55,4.8312514795476643e-59
1.8518804638526313e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670807513,0.11866996593905953,0.022821567691732859,0.0,1.0558932076270235e-42,1.7081204220430346e-21,1.2440370908481057e-42,2.6675253614359719e-32,9.1789606716942832e-72,1.6344318461703987e-12,9.5249783814200888e-63,1.6344318300827445e-12,6.0318883649378864e-43,2.3744669395147748e-44,4.1152329601357654e-59,4.771573546891366e-60,1.1092882992625239e-33,4.2924802142521251e-49,8.9260783188196349e-11,2.6428531632272392e-12,1.0580307050648039e-14,4.1286631817042464e-23,1.058014249959106e-14,7.4372937956856773e-20,9.8349927234427967e-22,8.1736065338596898e-24,4.5094267172236249e-40,2.0711109835856208e-30,1.9184572153581723e-22,1.0631031874672288e-54,7.2471343259331509e-53,1.2218127962711877e-56
3.703760976763343e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661615033,0.11866996584815373,0.022821567690411434,0.0,1.417800917856169e-41,6.8324972553156484e-21,1.5568970099472579e-40,2.1340195817428573e-31,4.5952759978984152e-69,3.2688637562182079e-12,6.0959800663345539e-61,3.2688636918678658e-12,9.6510114639721186e-42,3.1633929978029624e-43,1.0300830675639412e-56,1.1943644753711957e-57,7.4389913284234084e-33,1.3735888794435474e-47,1.7852156740358907e-10,5.2857063947757228e-12,2.1160777616777983e-14,1.3667227362349932e-22,2.1160115422810358e-14,2.9361940399385885e-19,7.7087853442921085e-21,1.2818578392233872e-22,2.8215012976325163e-38,1.6568922301694788e-29,7.6736930736037765e-22,6.8038263059812713e-53,1.8139845655745694e-50,3.0552038982386935e-54
7.407522002584766e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727643230073,0.11866996566634214,0.022821567687768579,0.0,1.7121930206584359e-40,2.7330108332475074e-20,1.9068629455136807e-38,1.707214454439458e-30,2.2516194850742991e-66,6.5377276380514351e-12,3.9014191617268863e-59,6.5377273806522656e-12,1.5441585832000725e-40,3.7731808971177874e-42,2.5235090373787482e-54,2.9259329490574748e-55,4.4838831322899263e-32,4.3954535387084782e-46,3.5704313182215411e-10,1.0571412852887371e-11,4.2322231914646808e-14,4.0368305742164351e-22,4.2319551713464112e-14,1.1446025472957638e-18,5.9234053902017851e-20,1.9723179090526907e-21,1.7275617512681091e-36,1.3255190538212623e-28,3.0693685130926963e-21,4.3544049692865404e-51,4.4437039907180959e-48,7.4694481345965848e-52
1.111128302840619e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727624845113,0.11866996548453054,0.022821567685125724,0.0,5.6602152954753388e-40,5.807665002990951e-20,1.2299722715986668e-37,5.0682908460665817e-30,1.893339840108917e-65,9.8065915816206395e-12,2.2151087304949069e-58,9.8065910346508231e-12,5.8418597623326623e-40,1.2735592120912774e-41,1.8734363686014107e-53,2.1721861880110446e-54,1.1074745482536765e-31,2.0504636697067767e-45,5.3556469222849857e-10,1.5857119306050398e-11,6.3484219419640341e-14,7.1127439363781724e-22,6.3478478460729826e-14,2.3896891467017744e-18,1.6550559643991883e-19,7.12484830430717e-21,9.4931339548366204e-36,3.7901644484356563e-28,6.5222483939099324e-21,2.4350130539712466e-50,3.2989335376140002e-47,5.5697817454938915e-51
1.4815044054227613e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727606460153,0.11866996530271898,0.02282156768248287,0.0,1.3187532299840263e-39,9.9072192347235076e-20,5.0926259477782144e-37,1.1043534203017758e-29,9.5382032811744923e-65,1.3075455586924579e-11,8.5188526096392368e-58,1.3075454653863544e-11,1.5206313560525708e-39,3.0369795866811253e-41,8.585485805541977e-53,9.9545270970033449e-54,2.0717623672972255e-31,6.2436621366360396e-45,7.1408624862262269e-10,2.1142825754282251e-11,8.4646759947723753e-14,1.0404659158673131e-21,8.4636895677009936e-14,4.0113115697614883e-18,3.4189728813578856e-19,1.7768643246482197e-20,3.5282578257973498e-35,7.9945702459865896e-28,1.1125937595262651e-20,8.5237049116228686e-50,1.5117972896876297e-46,2.8173952713385809e-50
