Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),CO2X(34),HOCXO(25),HO2X(135),C2H6X(39)
1.123661323636774e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039675452,0.099999999997113481,0.099999999999820552,3.0378355696728405e-82,7.5995447795968433e-52,1.384078762432881e-42,1.0294045816959489e-66,5.0561477376779913e-38,1.1938212164774161e-79,8.9032356902700234e-31,0.0,6.7960365926644686e-38,1.9020320131099429e-81,1.2634048373692771e-53,5.318877232877662e-67,4.6974369476896675e-75,4.9195137211185241e-48,3.9623533689222525e-117,2.8865051263317899e-12,3.5890790870982288e-13,2.9787732106769862e-17,4.4138617218670965e-28,2.9787740483746369e-17,4.1872140791529504e-24,9.9628294355507309e-28,6.0108415608734846e-53,9.5507438869319317e-52,5.8648279631265232e-56,1.1287739823196531e-77,1.068399138634205e-62,2.6522742789392192e-93,4.3247720102704129e-84,2.9001780181045866e-54,5.6854761032992589e-49
2.2473235998138617e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039350904,0.099999999994226943,0.099999999999641098,7.7747162666320404e-80,1.2159285096777043e-50,1.1072643956856629e-41,1.3172749573590368e-64,4.0449211286867858e-37,1.5276677686040714e-77,3.561296110983946e-30,0.0,2.7184166929423341e-37,1.2219274771317215e-79,2.0214494232181872e-52,3.4031401279322724e-65,6.0110516610029949e-73,3.9356132663779267e-47,4.9991498187003422e-115,5.7730123888129643e-12,7.1781612165294487e-13,5.9575481086906778e-17,1.7655455085990638e-27,5.9575514598813427e-17,1.6744881580588062e-23,7.9684993633653444e-27,9.6173580012106692e-52,3.0553861329540276e-50,3.7524519763110557e-54,2.8888670067202579e-75,3.4188810248087819e-61,1.3575906041899193e-90,1.1083002066929979e-81,4.640289327320629e-53,9.0967688166189107e-48
4.4946481521680375e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038701809,0.099999999988453867,0.099999999999282191,1.9892260619706318e-77,1.9454866044179226e-49,8.8581241995746856e-41,1.6851804136014238e-62,3.2359368041284892e-36,1.9543267939915168e-75,1.4245185537674792e-29,0.0,1.0873672850590167e-36,7.8207989086982583e-78,3.2343189596196611e-51,2.1768016374348035e-63,7.689860960182439e-71,3.1484907732037569e-46,6.4160793154984534e-113,1.1546025981454879e-11,1.4356325474883011e-12,1.1915095391309887e-16,7.0621818581963978e-27,1.1915108799258154e-16,6.6947685750037359e-23,6.3719715231045615e-26,1.5387785161248556e-50,9.7717694539767179e-49,2.4002372217948464e-52,7.391421290270714e-73,1.0940424211444193e-59,6.9470212283236004e-88,2.8356654816599739e-79,7.4244646746664033e-52,1.4554829536596259e-46
8.98929725687639e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503740362,0.099999999976907714,0.099999999998564376,5.0867813800008186e-75,3.1127790833108362e-48,7.0865085680656777e-40,2.1546474427958667e-60,2.588747364994071e-35,2.4987538554656919e-73,5.6980723730081704e-29,0.0,4.3494719320891314e-36,5.0053103839389142e-76,5.1749055532562538e-50,1.3916075711013555e-61,9.8320548113712974e-69,2.5187914735029181e-45,8.3043788106934217e-111,2.3092049437458168e-11,2.8712653989554614e-12,2.3830179902924085e-16,2.8248712553233348e-26,2.3830233560142511e-16,2.6753622966454097e-22,5.0930554614811588e-25,2.4620476275115675e-49,3.1234698178211192e-47,1.5344477110519842e-50,1.89011685628252e-70,3.5009358259950967e-58,3.5529408921966683e-85,7.2511244546717813e-77,1.1879138967521484e-50,2.3287706927162122e-45
1.348394636158474e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503610543,0.099999999965361588,0.099999999997846561,3.8504085019980976e-74,1.1867469521368501e-47,2.1038086375599765e-39,1.4132827589926266e-59,7.6853396926338543e-35,1.6532457884066932e-72,1.2108400322944628e-28,0.0,9.2426313762821921e-36,2.5175630449964121e-75,1.9729319354219417e-49,7.7972495973800752e-61,6.505167178294301e-68,7.2021670655010311e-45,1.1108453045209249e-109,3.4638069164182129e-11,4.3068982502190691e-12,3.5745254360922546e-16,6.0028488545697208e-26,3.5745368419815316e-16,5.6814104564145875e-22,1.4555534625652831e-24,9.3144294042546757e-49,1.4605965687113831e-46,8.5975903302487798e-50,1.4239345075002223e-69,1.6431148250231389e-57,3.0394127059976027e-84,4.4606347523388376e-76,4.5289206661612284e-50,8.8102083241572453e-45
1.7978595466293092e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034807241,0.099999999953815449,0.099999999997128747,1.9381726595765197e-73,3.193030414960212e-47,4.5840913832920208e-39,5.7843192711597849e-59,1.6745940737427425e-34,7.4624262131430461e-72,2.0655500600371651e-28,0.0,1.5766847001574756e-35,1.0959066022001234e-74,5.3083156183320749e-49,2.8453456426677272e-60,2.9363135734306133e-67,1.5191451551437729e-44,5.4624870431982788e-109,4.6184085161627959e-11,5.742531101279125e-12,4.7660318765313754e-16,1.0240149713736261e-25,4.7660513394889891e-16,9.6859574728675258e-22,3.0687650315803295e-24,2.4245415107070054e-48,4.7099704751072786e-46,3.1374032441816383e-49,6.4782575767290245e-69,5.122083861446385e-57,1.6550408283100681e-83,2.7128514396561256e-75,1.2185391736506729e-49,2.2932910512192292e-44
2.6967893675709795e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575032210862,0.099999999930723199,0.099999999995693117,2.6555976054704637e-72,1.2914759983981049e-46,1.3306221195313993e-38,4.4135226317751026e-58,4.8608238273832963e-34,8.6209181898517231e-71,4.2764569391440294e-28,0.0,3.2643271550541059e-35,1.0571443367255532e-73,2.147035848454238e-48,1.8517757949661393e-59,3.3921912406327609e-66,4.1492543765658551e-44,2.0031883152475177e-108,6.9276108404135924e-11,8.6137968029215123e-12,7.1490423978921811e-16,2.1200914331789869e-25,7.1490827136708286e-16,2.0033316652605189e-21,8.375301602696562e-24,8.8977319411313175e-48,2.5902567948601833e-45,2.0418494324744979e-48,5.75063043453968e-68,2.5237077385485076e-56,2.4824772856183437e-82,5.8501615915560603e-74,4.9285868788302811e-49,8.4160455023003227e-44
3.59571918851265e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575029614489,0.099999999907630935,0.099999999994257488,1.3045014639756778e-71,3.498253845013079e-46,2.9099238047691236e-38,1.816251652469317e-57,1.0630061936860119e-33,3.8772551661719765e-70,7.2731297146016021e-28,0.0,5.5517682934316452e-35,4.3195729931076615e-73,5.8157237457395777e-48,6.804666568336159e-59,1.5256384876935237e-65,8.6816239242140259e-44,1.2480330435805935e-107,9.2368117932768155e-11,1.1485062503815368e-11,9.5320492221900823e-16,3.6057177851593569e-25,9.5321178214143613e-16,3.4038730442175814e-21,1.7511977490749722e-23,2.3072499176270446e-47,8.3079835144899694e-45,7.5031246262587901e-48,2.6109783730081407e-67,7.9187356775950375e-56,1.3754248341049654e-81,3.1587307101422665e-73,1.3350180661687836e-48,2.1823416456771153e-43
4.49464900945432e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027018113,0.099999999884538698,0.099999999992821859,5.1916181880305376e-71,7.8587199847294255e-46,5.4594193953457937e-38,5.9564391467528573e-57,1.9943420519435487e-33,1.3804349670454628e-69,1.1111693316575811e-27,0.0,8.4818518085216406e-35,1.4071223892457652e-72,1.3064828971942075e-47,2.0029789893218593e-58,5.4317952200747132e-65,1.5804556845206683e-43,5.216956956287206e-107,1.1546011276797014e-10,1.4356328203907224e-11,1.1915052085354825e-15,5.5087181708227991e-25,1.1915156940450891e-15,5.1952428801539411e-21,3.1857772581275586e-23,5.044751430687598e-47,2.1694931910332742e-44,2.2085727240623771e-47,9.4282806932898011e-67,2.0356879537665635e-55,5.9178227910096614e-81,1.3645359400299087e-72,2.999075294123908e-48,4.771634947705862e-43
6.29250865133766e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575021825375,0.099999999838354267,0.0999999999899506,1.2078957103611928e-69,3.047510257830006e-45,1.4938009731126112e-37,7.6480049351014612e-56,5.4568676095813785e-33,1.9747887741526856e-68,2.1367367520820393e-27,0.0,1.6310319364719318e-34,1.2226657403576122e-71,5.0663556618188598e-47,1.676661278998603e-57,7.7704693463120694e-64,4.172863450558619e-43,3.9763667379384787e-106,1.6164405743518213e-10,2.0098859601634565e-11,1.6681045679507904e-15,1.0593052302677237e-24,1.6681247538840489e-15,9.9675626274165689e-21,8.395495231289439e-23,1.9404397061589019e-46,1.2105746751639497e-43,1.8487604645277706e-46,1.9058746432409052e-65,1.1484568113297584e-54,2.3234727348312947e-79,2.9791807257444941e-71,1.1630008130736493e-47,1.8353781047684569e-42
