Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(46),CHOX(50),H2OX(23),CO2X(24),COX(47)
4.4254648556862054e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076544763986208547,0.09776693271899041,0.042577247955052425,2.7255024556477856e-10,6.8662462213977231e-05,0.001451988923105722,3.7683879137223658e-08,1.632666642674687e-12,1.2803769074194266e-20,8.6393395413092947e-13,4.3634048468860185e-34,1.2913838689732213e-13,1.4057582240806171e-24,1.0664918828551327e-16,6.2360667379634238e-22,7.0008273649759823e-23,1.1365175320448271e-18,2.9946109899689833e-27,0.0014349907007555763,0.11397597537712315,1.071699969477798e-08,0.0001329213915682937,5.6797345529376502e-14,2.283154963838492e-08,3.0237188721783546e-09,9.4585919962630811e-08,0.0007980009280664672,6.2343504512122977e-06,1.1002485530557061e-09,2.7313882784006786e-06,9.5147851450711294e-15,1.904548511441324e-11
4.43700202698556e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.07645985649876548,0.097766347841900414,0.04253384973982588,2.7457851140286045e-10,6.8971065595648163e-05,0.0014560327330650506,3.7832665002826021e-08,1.6399250705319412e-12,1.2895567649552178e-20,8.6574328389833907e-13,4.4234766705717218e-34,1.2930144350187383e-13,1.4179757794545909e-24,1.0726241585229294e-16,6.2707362811716159e-22,7.0546914857773572e-23,1.139969446258284e-18,3.0293079646169128e-27,0.0014333861475900884,0.11406026464819802,1.0724148037081883e-08,0.00013293531951467902,5.6865331296314069e-14,2.2832757391638116e-08,3.0202076752033371e-09,9.4770912402784886e-08,0.00080019019823312121,6.2447840394125865e-06,1.1046079159037059e-09,2.740331860041307e-06,9.558547070069914e-15,1.9099481944090855e-11
4.448539198284914e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076375224900662425,0.097765758778231099,0.042490591735510015,2.7661592441657945e-10,6.928007297290551e-05,0.0014600743229124646,3.7981601892660902e-08,1.647193162693145e-12,1.2987738941110242e-20,8.6755054056126265e-13,4.484196502252132e-34,1.294641724286719e-13,1.4302630333448597e-24,1.0787724955398166e-16,6.3054893417396653e-22,7.1088046741365621e-23,1.1434198721963109e-18,3.0643060459630009e-27,0.0014317867515030176,0.11414427406595411,1.073127033397763e-08,0.00013294905252728611,5.6933119101336028e-14,2.2833934003362506e-08,3.0167080669623747e-09,9.4955615810768793e-08,0.00080237849778274446,6.255192174826442e-06,1.1089706320545748e-09,2.7492736769213083e-06,9.6023751461284487e-15,1.9153457294238728e-11
4.460076369584268e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076290867706798215,0.097765165556157649,0.042447473187201226,2.7866249733325808e-10,6.9589483106276284e-05,0.0014641136917891418,3.8130689377192668e-08,1.6544708903693781e-12,1.3080283167792898e-20,8.6935573009350397e-13,4.5455693573835989e-34,1.2962657503012307e-13,1.4426201632052575e-24,1.084936876207392e-16,6.3403258069931243e-22,7.163167245784792e-23,1.1468688060382897e-18,3.0996069490532832e-27,0.0014301924849564678,0.11422800514209439,1.0738366726140581e-08,0.00013296259210413201,5.7000709784111497e-14,2.2835079715784071e-08,3.0132199832195482e-09,9.5140031023920406e-08,0.00080456582607821455,6.265574951145666e-06,1.1133366849376707e-09,2.758213709418238e-06,9.6462692072025981e-15,1.9207411135294923e-11
4.471613540883622e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076206783443239695,0.09776456820362997,0.042404493345673151,2.8071824284365344e-10,6.9899294761633914e-05,0.001468150838876662,3.8279927028877745e-08,1.6617582248919091e-12,1.3173200546683349e-20,8.7115885844198706e-13,4.6076002742793826e-34,1.2978865265002253e-13,1.4550473462595576e-24,1.0911172828380554e-16,6.3752455644557848e-22,7.2177795151319056e-23,1.150316244027556e-18,3.1352123932919558e-27,0.0014286033206183434,0.11431145937694252,1.0745437353195133e-08,0.00013297593972959562,5.7068104185214056e-14,2.283619476966945e-08,3.0097433602707168e-09,9.5324158876321353e-08,0.00080675218250175036,6.2759324616189069e-06,1.117706058072674e-09,2.7671519381109133e-06,9.6902290878871408e-15,1.9261343438274048e-11
4.4831507121829765e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076122970647114027,0.097763966748375189,0.042361651467321883,2.8278317360210629e-10,7.020950671016797e-05,0.0014721857633964743,3.8429314422151401e-08,1.6690551377115298e-12,1.3266491293034946e-20,8.7295993152689478e-13,4.6702943141327181e-34,1.2995040662362838e-13,1.4675447595016466e-24,1.0973136977552356e-16,6.410248501849889e-22,7.2726417952721994e-23,1.1537621824706422e-18,3.1711241024357263e-27,0.0014270192313603736,0.11439463825955273,1.0752482353725396e-08,0.00013298909687457005,5.7135303137098437e-14,2.2837279403264959e-08,3.0062781349027957e-09,9.550800019888205e-08,0.00080893756645466911,6.2862647990539053e-06,1.1220787350700882e-09,2.7760883437753119e-06,9.7342546234188387e-15,1.9315254174760349e-11
4.494687883482331e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.076039427866502196,0.097763361217899636,0.042318946814111733,2.8485730222668641e-10,7.0520117728354093e-05,0.0014762184646093684,3.8578851133414485e-08,1.6763616003978957e-12,1.3360155620282501e-20,8.7475895524180911e-13,4.7336565610397452e-34,1.3011183827773556e-13,1.4801125796956992e-24,1.1035261032936134e-16,6.4453345070963265e-22,7.3277543979901407e-23,1.1572066177365262e-18,3.2073438045881647e-27,0.0014254401902561607,0.11447754326781823,1.0759501865284848e-08,0.00013300206499660932,5.7202307467332339e-14,2.283833385264583e-08,3.002824244394986e-09,9.5691555819313815e-08,0.00081112197735714328,6.2965720558197254e-06,1.1264546996300102e-09,2.7850229073824381e-06,9.7783456496698239e-15,1.9369143316900764e-11
4.506225054781685e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.075956153660333856,0.097762751639491094,0.042276378653521955,2.8694064129933918e-10,7.0831126597922643e-05,0.0014802489418149537,3.8728536741020593e-08,1.6836775846388713e-12,1.3454193740053484e-20,8.7655593545384842e-13,4.7976921220222877e-34,1.3027294893074897e-13,1.4927509833763585e-24,1.1097544817993397e-16,6.4805034683148187e-22,7.3831176337660935e-23,1.1606495462558879e-18,3.2438732321940621e-27,0.0014238661705792497,0.11456017586857847,1.0766496024406124e-08,0.00013301484554007495,5.7269118000387564e-14,2.2839358351933632e-08,2.9993816265131749e-09,9.587482656214008e-08,0.00081330541464796208,6.3068543238489567e-06,1.1308339355415177e-09,2.7939556100967502e-06,9.8225020031442025e-15,1.9423010837398237e-11
4.5292993973803926e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.075790405260669449,0.097761520446946151,0.042191648907379552,2.911350009368902e-10,7.1454333044217622e-05,0.0014883032215936821,3.9028352968362003e-08,1.6983380051232575e-12,1.3643392194705629e-20,8.8014378870628822e-13,4.9278037290650365e-34,1.305942124655928e-13,1.5182402461895042e-24,1.1222590871560714e-16,6.5510898121419827e-22,7.4945972399269515e-23,1.167530869081929e-18,3.3178682152176798e-27,0.0014207330895898704,0.11472462966030393,1.0780408826418944e-08,0.00013303984960363104,5.7402160943430882e-14,2.2841318425724779e-08,2.9925299621078912e-09,9.6240516697266378e-08,0.00081766936624146872,6.3273442592591947e-06,1.1396021570179812e-09,2.8118153584631719e-06,9.9110100409258309e-15,1.95306809070168e-11
4.55006630571923e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.075642135987218737,0.097760398799076234,0.042115851703022004,2.9494154983065751e-10,7.2016567382435315e-05,0.0014955444610400472,3.9298692608029837e-08,1.71156466564594e-12,1.3814951260758032e-20,8.8336592617564465e-13,5.0472586133720551e-34,1.3088226488019895e-13,1.5414237445479963e-24,1.1335676826644268e-16,6.6149001127045636e-22,7.5957891387686532e-23,1.1737188719825138e-18,3.3855404295604993e-27,0.0014179302258877948,0.11487172093192428,1.0792844992028935e-08,0.00013306172596690776,5.7521244968032731e-14,2.2842982367751632e-08,2.986401402019116e-09,9.6568671744450872e-08,0.00082159358766658902,6.3457006530589076e-06,1.1475045835452212e-09,2.827882582682339e-06,9.9908890666860769e-15,1.9627509760959865e-11
