Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CO2X(24)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,1.679345824553215e-74,2.1131030163760845e-42,1.7634514786485687e-24,4.987559585106188e-53,8.7029287851916189e-37,3.8011289882040048e-85,5.2514978644002044e-14,1.0307925840024128e-71,5.2514978636718391e-14,6.3230609192819207e-49,9.8814501275466711e-49,5.3029744576110574e-71,6.1487856157347166e-72,1.0470039335066844e-35,1.4457738501151814e-56,2.8679871504166266e-12,8.4916002182261989e-14,3.3994780805555301e-16,5.3486475634276087e-26,1.9805808442806052e-25,3.3994665884002253e-16,5.6996691736698153e-22,1.7927525676729248e-24,5.3088234408520861e-28,3.0364724991982118e-47,6.8701212217861836e-35,1.1504950402982209e-63,1.0621410150765537e-36,9.3390298201817109e-65,1.1578447084901308e-67,1.454577916866862e-67
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,8.138409670295569e-72,3.3808540903049962e-41,7.0540198461614135e-24,6.0420837795150814e-51,6.9623497255607872e-36,1.841417634075168e-82,1.0503000180813757e-13,6.5970821613877816e-70,1.0503000177900293e-13,1.0116907695403586e-47,1.5809780359336801e-47,1.2846028352944367e-68,1.4894934898017719e-69,8.3757639839349126e-35,4.6264807949283988e-55,5.7359767306774536e-12,1.6983207634697566e-13,6.798970652338873e-16,2.1393854825415898e-25,7.9223239033932512e-25,6.7989246123899356e-16,2.2727345836618672e-21,1.4296325476734907e-23,8.0479377650215684e-27,1.8399113056384287e-45,5.4962534025160204e-34,7.3631751494099376e-62,8.4968398627905191e-36,2.2623029613445852e-62,2.8057387679432502e-65,3.5248918883164222e-65
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,4.0312336519956945e-69,5.4090057745854963e-40,2.821774932658897e-23,7.4817835823500022e-49,5.5698822334230231e-35,9.1195229829966417e-80,2.1006004814419886e-13,4.222135354927213e-68,2.100600480276603e-13,1.6187059302595264e-46,2.5293878162619641e-46,3.1811067466542663e-66,3.6884832062906065e-67,6.7001757983880758e-34,1.4804742865078625e-53,1.1471955887057029e-11,3.3966422467101411e-13,1.3597991047936077e-15,8.5569454846094927e-25,3.1689269602496196e-24,1.359780632202393e-15,9.0343621296152146e-21,1.1364556705010201e-22,1.2463768956843577e-25,1.1393670580689716e-43,4.3972460541311583e-33,4.7124330520262276e-60,6.7970031590697993e-35,5.6022108766600163e-60,6.9488238198133775e-63,8.730390242133856e-63
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,2.0112794388105622e-66,8.6532498340826593e-39,1.1288407391829101e-22,9.3319677330341013e-47,4.4559064063503201e-34,4.5496856786662382e-77,4.2012014084748216e-13,2.7021671198789028e-66,4.2012014038132817e-13,2.5899296669115032e-45,4.0464506376940539e-45,7.9353086829492062e-64,9.2009582989516238e-65,5.3594411673365941e-33,4.7375165919265556e-52,2.2943914183247862e-11,6.7932852129753589e-13,2.7196175750103501e-15,3.4222994990539122e-24,1.2675680987966524e-23,2.7195432389299506e-15,3.5692621922112646e-20,8.9775842108048414e-22,1.9435983197517222e-24,7.1060343031831943e-42,3.5181777642996279e-32,3.0159558607872747e-58,5.4368496755634993e-34,1.397473814236786e-57,1.7333030122488066e-60,2.1779325479942583e-60
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,9.9855106200946796e-64,1.3841486906082319e-37,4.5163727496311749e-22,1.158286312380412e-44,3.5647247944191719e-33,2.2589035662977668e-74,8.4024032637868738e-13,1.7293866100354487e-64,8.4024032451407647e-13,4.1438863916373434e-44,6.472472414437933e-44,1.969906746099006e-61,2.2840954203505005e-62,4.2864330120247716e-32,1.5160039670049546e-50,4.5887830709356267e-11,1.3586571144643624e-12,5.4393143123126582e-15,1.3685366676700351e-23,5.0702497040558588e-23,5.4390135126997433e-15,1.393318930746542e-19,7.0055728942631656e-21,3.0151735274694532e-23,4.4098394655448853e-40,2.8151310256217333e-31,1.9302092911586628e-56,4.3482744269083411e-33,3.4691478447475976e-55,4.301822804985736e-58,5.4063977296386395e-58
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,4.8641942708586201e-61,2.2134503597704979e-36,1.8073044267869566e-21,1.4106352887821412e-42,2.8517787777176663e-32,1.1005469929376166e-71,1.6804806979396334e-12,1.1068066737271251e-62,1.6804806904812239e-12,6.6302134681118991e-43,1.0350077160174796e-42,4.7985427003264726e-59,5.5638654305766057e-60,3.4273554170077729e-31,4.8512031071332407e-49,9.1775663496480062e-11,2.7173143004531669e-12,1.0878963533000654e-14,5.4710833652181815e-23,2.0280814871827658e-22,1.0877734310391434e-14,5.3159917213063381e-19,5.3399000167968455e-20,4.588047104308462e-22,2.6848745720877566e-38,2.2529875802134572e-30,1.2353305401933572e-54,3.4766920241823864e-32,8.4504742139256722e-53,1.0472863142782024e-55,1.3167453863708799e-55
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.11866996584303129,0.022821567690336973,2.2774201265576869e-58,3.5377258560676933e-35,7.2345363725531718e-21,1.6512999100705213e-40,2.2814211183455364e-31,5.1545583503616376e-69,3.3609614430554939e-12,7.0835520257058057e-61,3.3609614132221225e-12,1.0608325268854264e-41,1.6541342434505876e-41,1.1236351681565369e-56,1.3028365591135733e-57,2.7390228974208684e-30,1.5523786992336842e-47,1.8355132801035547e-10,5.4346286710515389e-12,2.1759399597572461e-14,2.1859864092342066e-22,8.1121783134428774e-22,2.1754296977523218e-14,1.9452035590480993e-18,3.8980919760562494e-19,6.707068376362507e-21,1.5709416179897526e-36,1.8036386030137602e-29,7.9060710348195078e-53,2.7782740885810541e-31,1.9787284364294191e-50,2.4494533572283148e-53,3.0822505653799121e-53
5.712169059686803e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651645569,0.11866996574956426,0.022821567688978316,1.9053624831309597e-57,1.3014497501972223e-34,1.5380432843446062e-20,1.0521653928498952e-39,6.7729656731886139e-31,4.2931619922654165e-68,5.0414421901653234e-12,4.0218290213202695e-60,5.0414421267696269e-12,4.0133419803012392e-41,6.3031828711390514e-41,8.2525851319981584e-56,9.5687210563017465e-57,7.827199012115025e-30,7.2418007326904001e-47,2.7532699146385874e-10,8.1519430402706752e-12,3.2641072780790596e-14,4.6416318943134635e-22,1.7238161945202665e-21,3.2629980787542283e-14,3.8936001932782748e-18,1.0587254429342486e-18,2.3670221729973879e-20,8.5113994281100417e-36,5.1591471958946357e-29,4.4211357388722286e-52,7.939075089090047e-31,1.4532755046550937e-49,1.8077021790323788e-52,2.275344060917295e-52
7.61622542972916e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642194096,0.11866996565609723,0.02282156768761966,1.0300456449124488e-56,3.2992326831969454e-34,2.6247345978648957e-20,4.3019883324070517e-39,1.4757928101200664e-30,2.1413802565413747e-67,6.7219229392687765e-12,1.5467129899562393e-59,6.7219228311237414e-12,1.0446698954221741e-40,1.6949664625798806e-40,3.7400817817867356e-55,4.3365440546788802e-56,1.6500855778433409e-29,2.2051307397110397e-46,3.6710265385698983e-10,1.0869257408110893e-11,4.3524069555635491e-14,7.9124466071007791e-22,2.9405935398372455e-21,4.3504785811572622e-14,6.296631656437947e-18,2.1337330802014422e-18,5.7849383996884884e-20,3.1183130989931746e-35,1.0885461431475539e-28,1.5476101169515052e-51,1.6736150910796186e-30,6.5862157042005393e-49,9.0451568559967107e-52,1.1386202977718822e-51
1.1424338169813875e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072762329115,0.1186699654691632,0.022821567684902344,1.6086071756360765e-55,1.1528623711767715e-33,5.4373189707910601e-20,3.4211870560391015e-38,4.2837666611758182e-30,2.256589711511258e-66,1.0082884442153806e-11,1.177168533957375e-58,1.0082884218255661e-11,3.833785922176183e-40,6.8471661577591183e-40,3.4352636581054816e-54,3.9830643180746915e-55,4.5028183391722639e-29,1.0046616746436628e-45,5.5065397615462366e-10,1.6303886140555831e-11,6.5293395874206271e-14,1.6362283282483485e-21,6.0880075946725492e-21,6.5252333623335764e-14,1.1966616760969131e-17,5.4158555098888044e-18,1.9043497424890657e-19,2.1287922841121236e-34,2.9745367159695729e-28,8.6131775996893215e-51,4.5667740232320192e-30,6.0493190534538047e-48,1.3044690926682695e-50,1.6419681899433293e-50
