Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),CHOX(61),COX(58),CO2X(24)
8.395334715735027e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559658827,0.099999999997358674,0.0999999999996148,5.3060298177584023e-74,5.2277010446165427e-42,1.3714598496916201e-32,1.1133439481307326e-54,8.0325564699529926e-41,2.9195760046264587e-37,4.3447812210737998e-23,7.2674153912794387e-88,4.3447632501221183e-23,1.698088418890599e-56,5.7836987192572067e-50,1.4909853121548065e-57,2.4653068258902038e-77,2.963899555696049e-37,1.8279296485832617e-68,2.6413172576903373e-12,7.7043355303170854e-13,1.7460199968251676e-17,1.3308873215960479e-25,1.7460215855930999e-17,7.8219042402912249e-24,1.2552607698001405e-25,5.0403272174197127e-29,6.1415777590514048e-47,5.4557906268447234e-43,2.5482338174657561e-36,9.7227312833782906e-51,7.8919813247765626e-67,5.6238354659131267e-68
1.6790676548289505e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255931765,0.099999999994717342,0.09999999999922958,2.6774300098259703e-71,8.3617857477641813e-41,1.0769879561403761e-31,1.3970480353258176e-52,6.4260461622595502e-40,1.1678352862865765e-36,8.6896020811275681e-23,2.3256650416834176e-86,8.6895301973027371e-23,1.3585205026126608e-55,9.2509332169879001e-49,1.1927931604418236e-56,7.9146241803149705e-76,1.2032830971486849e-36,2.9247914272196162e-67,5.2826367522666739e-12,1.5408677591401371e-12,3.4920399107491262e-17,5.3217742029183245e-25,3.4920463146680849e-17,3.0799939315416472e-23,9.8919690534764486e-25,7.9467627333286822e-28,3.8736518506787296e-45,8.5703920576416801e-42,2.03794874056764e-35,7.777841873631323e-50,1.9800005094665673e-64,1.4188779357229241e-65
3.358136021339846e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255863529,0.099999999989434665,0.099999999998459141,1.3325379337813492e-68,1.337073841634364e-39,8.3555099896213741e-31,1.7377159472544486e-50,5.1408308814882945e-39,4.6713757656922282e-36,1.7379351668695714e-22,7.4427013862984935e-85,1.7379064133525754e-22,1.0868944178413526e-54,1.4791925593626748e-47,9.5424132378645521e-56,2.5970181036590242e-74,4.9547816170221932e-36,4.6799916119684941e-66,1.0565275734854503e-11,3.0817361712716481e-12,6.9840750495364914e-17,2.1272889130640947e-24,6.9841010398265039e-17,1.1946404326367473e-22,7.6832674263151224e-24,1.2355748129517494e-26,2.4096660914207727e-43,1.3308692796114933e-40,1.6293368021228614e-34,6.2217176083681368e-49,4.9257916019318244e-62,3.5307301242558656e-63
6.716272754361637e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557270576,0.099999999978869311,0.099999999996918276,6.4610225949826277e-66,2.1367238751784936e-38,6.318975283754043e-30,2.1064746238748308e-48,4.1126519773605269e-38,1.8685771116750939e-35,3.4759282312515586e-22,2.3820287230216703e-83,3.4758132173420019e-22,8.6963971435312774e-54,2.3636500915749292e-46,7.6340350697182965e-55,9.868409447166243e-73,2.0950195606315006e-35,7.4890216779088168e-65,2.113055367377078e-11,6.1634729951932958e-12,1.3968126570920277e-16,8.4978066816085497e-24,1.3968233294228636e-16,4.5038163461066582e-22,5.8069226732552611e-23,1.8710467217118009e-25,1.4602282828293194e-41,2.0164355316801568e-39,1.3018361688961359e-33,4.9764821419689984e-48,1.1943350941810907e-59,8.5591980237144278e-61
1.343254622040522e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554541143,0.099999999957738617,0.099999999993836533,2.9894219278074041e-63,3.4104852908956608e-37,4.5601755679136186e-29,2.4368498485035032e-46,3.2900999973037007e-37,7.4745211070113149e-35,6.9520869465619998e-22,7.6249395523166618e-82,6.9516268923005814e-22,6.9591020090283885e-53,3.7720852665019179e-45,6.1073935218217856e-54,6.7393861322220536e-71,9.2815607668341437e-35,1.1985742228120419e-63,4.2261109446565815e-11,1.2326946641671173e-11,2.7936154589334241e-16,3.390076519919501e-23,2.7936600445339643e-16,1.6139248388810999e-21,4.1791857514906638e-22,2.7023670909591252e-24,8.4428856000522158e-40,2.9199324217164982e-38,1.0388648338964456e-32,3.9797582924166173e-47,2.7638141753060249e-57,1.9799125355051147e-58
2.6865093152492386e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549082282,0.099999999915477228,0.099999999987673061,1.2810004667689577e-60,5.4304896369107539e-36,3.048124187919242e-28,2.6110435694537532e-44,2.632044974911264e-36,2.9899782132025222e-34,1.3905094715952498e-21,2.4415093059219142e-80,1.3903254510141501e-21,5.5704554284212527e-52,6.0043527422316664e-44,4.8861788762142221e-53,9.7376907630161919e-69,4.4284615370064287e-34,1.9187767837493172e-62,8.4522220572005809e-11,2.4653893929165693e-11,5.5871910532025554e-16,1.3488472080392031e-22,5.5873809521734413e-16,5.3259203265771043e-21,2.7760949464596106e-21,3.6118218196253948e-23,4.5200633969858153e-38,3.9259242323163715e-37,8.2695510255990665e-32,3.1815248678997322e-46,5.9246464610064038e-55,4.2413396766106346e-56
5.373018701666671e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436253816456,0.09999999983095445,0.099999999975346116,4.9196200637667018e-58,8.6058428224297776e-35,1.8297964683045385e-27,2.5076698009254216e-42,2.1055797496068126e-35,1.1961270279880383e-33,2.7813871550483795e-21,7.8226099273047905e-79,2.7806510817562602e-21,4.461441976059535e-51,9.5092505041287603e-43,3.9093652994416057e-52,1.7391455741014226e-66,2.3356388626436949e-33,3.0734281921269737e-61,1.6904444114228552e-10,4.9307788482313452e-11,1.1174222206708867e-15,5.3387660079994114e-22,1.1175041078088069e-15,1.5668296811666716e-20,1.6451664164040499e-20,4.3217398988022613e-22,2.1681899444620189e-36,4.7555074790599555e-36,6.5503937218094411e-31,2.5415770337557334e-45,1.1385718460163792e-52,8.1421237607934095e-54
8.059528088084104e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362527246837,0.099999999746431673,0.09999999996301917,3.9606152990106398e-57,3.1529927142008732e-34,4.5109441861952038e-27,1.5191730900929302e-41,6.2508449395650916e-35,2.5419692836759956e-33,4.1725409621440191e-21,3.7441037839363295e-78,4.1709768196771044e-21,1.3253241047188461e-50,3.6086652087712742e-42,1.1179034784890119e-51,1.2158226500698481e-65,5.7819439701810029e-33,1.1633414795860837e-60,2.5356666003196504e-10,7.3961683013619947e-11,1.676113332780579e-15,1.1262720442051081e-21,1.6762935785541339e-15,2.7548068774506799e-20,4.0224107247690277e-20,1.4005242094165161e-21,1.1082327569738472e-35,1.5511274822722699e-35,1.8624032321653147e-30,7.2613483699919606e-45,8.000151594421193e-52,5.7557158422381435e-53
1.0746037474501537e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362516329115,0.099999999661908895,0.099999999950692225,2.0579694709076416e-56,7.9635999477063648e-34,8.4270585032854983e-27,5.9161230151755091e-41,1.3620042589362062e-34,4.336613649323157e-33,5.5639708869494416e-21,1.2398246723638173e-77,5.5613026647815819e-21,2.8895168007274828e-50,9.6612540999988064e-42,2.3581148560175471e-51,5.263002175303597e-65,1.1135914381632002e-32,3.0296189446547732e-60,3.3808887724104447e-10,9.8615577523092415e-11,2.2347924419116061e-15,1.908517172796914e-21,2.2351074925642064e-15,4.0237670025356622e-20,7.4566274515060194e-20,3.1956224930273355e-21,3.8417064565005359e-35,3.5604512889439807e-35,3.9082414247743162e-30,1.5304873096510597e-44,3.472085371307322e-51,2.7576898171776659e-52
1.6119056247336403e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362494493671,0.09999999949286334,0.099999999926038335,2.9200119128845291e-55,2.7655812118994733e-33,1.9270381869806124e-26,4.2685038857257107e-40,3.9533463400866164e-34,8.9794897180912036e-33,8.3474787495172018e-21,7.2431633635138454e-77,8.3419546065597072e-21,8.395963234931019e-50,3.8658702069345644e-41,6.4413464246663923e-51,4.4141822722736449e-64,2.7394230061670064e-32,1.1127648723328031e-59,5.0713330771493739e-10,1.4792336649081011e-10,3.352122490731157e-15,3.9078036747682371e-21,3.352794535317323e-15,6.6476492093576499e-20,1.6829965887469296e-19,9.5237785344297034e-21,2.3544448226650955e-34,1.0718929664405069e-34,1.0584193075022965e-29,4.1750527587489054e-44,2.9196845398376731e-50,3.5850939262742424e-51
