Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),COX(50),CHOX(53),CO2X(24)
6.914294909897216e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,3.7608595380922319e-75,1.5167027963886356e-42,5.1837284372629763e-30,1.2635955414319114e-54,4.2596622135251612e-40,1.4085159099320269e-92,7.0308459776228109e-19,3.1231031565560894e-84,7.0308459325362324e-19,7.0697287017793465e-57,6.7321325887581543e-50,1.314027267855667e-76,7.9399222417869009e-78,2.799208462115567e-38,2.2604990238865639e-66,2.7883331706739875e-12,1.3406553676033211e-13,5.1676066416581584e-17,5.1676136920767986e-17,3.4829692622311608e-23,2.9311887699710459e-25,9.7123103727768924e-29,3.9440464221729625e-26,1.4537191513523947e-47,1.9574488155273958e-40,7.8848703794292259e-37,1.1631407015651123e-66,2.9478657685761455e-69,8.8073708986793342e-69
1.3828595681119819e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,1.9083096764362219e-72,2.4264147999728604e-41,2.1668246184916696e-29,1.6029209746125838e-52,3.4077288217146991e-39,7.149857386109818e-90,1.4061698004459807e-18,1.9987866088385336e-82,1.4061697824113508e-18,1.1311564030470749e-55,1.0769957883474245e-48,3.33384154474014e-74,2.0144418075450015e-75,2.2390756086427477e-37,7.2335960626625815e-65,5.5766687032544149e-12,2.6813118716582516e-13,1.0335210646090858e-16,1.0335238963358995e-16,1.3816406312395562e-22,2.3260389587170887e-24,1.5399590385118096e-27,1.5773985464436147e-25,9.2203107121300373e-46,1.6319984273304193e-39,6.3070640227065134e-36,2.9510070730150377e-64,7.4786226660927493e-67,2.2344764907350066e-66
2.7657197223565027e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,9.615759498718137e-70,3.8812684656545316e-40,9.3968717707216549e-29,2.0192647639862215e-50,2.7261774945362394e-38,3.6056708182922943e-87,2.8123402325394907e-18,1.2792212906296455e-80,2.812340160401019e-18,1.8098467626401031e-54,1.7227251443291736e-47,8.3998644467315876e-72,5.075488530287052e-73,1.7907928135439364e-36,2.3147464174049962e-63,1.115333976303063e-11,5.362624879657141e-13,2.0670397601405524e-16,2.0670511774855474e-16,5.4362943667096846e-22,1.8312410690200687e-23,2.4245289774887676e-26,6.3078286808670028e-25,5.8072779468823769e-44,1.4089204442166365e-38,5.0443144618146109e-35,7.4351958992188818e-62,1.8840359955704119e-64,5.629561085311715e-64
5.531440030845544e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,4.7759439495537698e-67,6.2068435380150061e-39,4.3164428717270319e-28,2.5073930623599274e-48,2.1809314774338193e-37,1.7937872684102093e-84,5.6246812036304949e-18,8.1869796246808309e-79,5.6246809150772113e-18,2.8957413757924557e-53,2.7548610660603005e-46,2.0862428529717697e-69,1.2605556989199121e-70,1.4318857445732386e-35,7.4071547879762166e-62,2.2306681861044497e-11,1.0725250895211044e-12,4.1340687298176615e-16,4.1341150918745495e-16,2.1055143184834317e-21,1.4196898009866841e-22,3.7619604292126161e-25,2.521718973211762e-24,3.6051337277117017e-42,1.2853328520890835e-37,4.0333121385035517e-34,1.8466078879155995e-59,4.6779971591583879e-62,1.3980014837810686e-61
1.1062880647823627e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,2.307577135002586e-64,9.9207666951180078e-38,2.1351446813168165e-27,3.0289072268730149e-46,1.7447277059537853e-36,8.6952126256339641e-82,1.1249363573424854e-17,5.2396172660299531e-77,1.124936241921702e-17,4.633141338523424e-52,4.4029796018106166e-45,5.0410863378070664e-67,3.0458221186961628e-68,1.1443124828271952e-34,2.3702669605967114e-60,4.4613365970917971e-11,2.1450502924543456e-12,8.2680929839029979e-16,8.2682835279968478e-16,7.9165314227709317e-21,1.0691887810528744e-21,5.6766233931091772e-24,1.0075591198220247e-23,2.176989974600988e-40,1.2607371532009029e-36,3.2232309149463118e-33,4.4618333424774708e-57,1.129747013351602e-59,3.377148355699905e-59
2.2125761881779792e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,1.0611290571759467e-61,1.5840735918988765e-36,1.131125260291026e-26,3.4824727599132467e-44,1.395753944936963e-35,4.0242746345745032e-79,2.2498730023435134e-17,3.3532903944400686e-75,2.2498725406646389e-17,7.4128811110186031e-51,7.029468629251812e-44,1.1595264340949074e-64,7.0053130159256605e-66,9.1354186963329815e-34,7.5847082617430266e-59,8.9226733846047936e-11,4.2901006976107224e-12,1.6536006753196659e-15,1.6536803790611102e-15,2.8237880334774682e-20,7.6458943056714452e-21,8.1479175033108374e-23,4.0212364717229316e-23,1.250963110542999e-38,1.3256779934649817e-35,2.573130856262898e-32,1.0261921241616625e-54,2.595802590498689e-57,7.7640163515053578e-57
4.425152434969212e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,4.5007542628218673e-59,2.5241822001789611e-35,6.1747255685294248e-26,3.6934532482909852e-42,1.1165579026331863e-34,1.7285724673532369e-76,4.4997469764918098e-17,2.1460227921498447e-73,4.4997451298104554e-17,1.186014452097687e-49,1.1198493827307054e-42,2.4608294437269486e-62,1.4864885339694135e-63,7.2779886255069753e-33,2.4270129507328486e-57,1.7845346821783982e-10,8.5802015050835202e-12,3.3071295353860916e-15,3.3074695143343877e-15,9.2532062860295953e-20,5.0248489963405764e-20,1.077785986079452e-21,1.6013393361158644e-22,6.6288612366321091e-37,1.4422771507530069e-34,2.0498309560219951e-31,2.1774457241588493e-52,5.4977848971347455e-55,1.6462427384923888e-54
6.637728681760445e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,3.6907850573715718e-58,9.2724574197296455e-35,1.5038914730804087e-25,2.2924353883832096e-41,3.3147048811572239e-34,1.414878373509473e-75,6.7496216347638464e-17,1.2184322127898145e-72,6.749617710616214e-17,4.4868488576670238e-49,4.2610502664685211e-42,1.7663385436536513e-61,1.0669276194768003e-62,2.0760883849900609e-32,1.1321783053138359e-56,2.6768020121116371e-10,1.2870302309716367e-11,4.9606045034183806e-15,4.9613520262331013e-15,1.7290163259131301e-19,1.2915481314132792e-19,3.6385908471643206e-21,3.3923907808000894e-22,3.4843376735320317e-36,4.6321527327106406e-34,5.8470542500905665e-31,1.562847227439522e-51,3.9666606427172045e-54,1.1881569764550947e-53
1.1062881175342912e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,4.7598911193045762e-56,7.0847796908182009e-34,5.0570617399082688e-25,7.8565365418701986e-40,1.5525553641849755e-33,1.5710608703974586e-73,1.1249373687624489e-16,3.2752250579861318e-71,1.1249362838868227e-16,3.5408021364066006e-48,3.4753653898941442e-41,1.0601144912735896e-59,6.4008641949538979e-61,9.4727466588075714e-32,1.5170815210867593e-55,4.4613366168393992e-10,2.145050390762869e-11,8.2673388854146941e-15,8.2695284578749748e-15,3.6673851813331555e-19,4.5664377324543956e-19,2.1746527128966595e-20,9.3052549007883202e-22,6.9097295474650134e-35,2.6085024692752756e-33,2.6676002294291058e-30,9.3754742237362924e-50,2.8849318392809503e-52,8.6580504879243734e-52
1.502486929414951e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756256493581,0.11866996542404488,0.022821567678487961,2.8670050507511052e-55,1.9323541296437298e-33,9.758582795902145e-25,3.4083245900022128e-39,3.5661930863265542e-33,8.3828884396706228e-73,1.5278155491922339e-16,1.4079411843427864e-70,1.5278136229993853e-16,9.8715694747344041e-48,1.0030081529272445e-40,5.0669358206621207e-59,3.0587632085236527e-60,2.1141398580950553e-31,4.9911144269148131e-55,6.059090528549129e-10,2.9132647471506511e-11,1.1227797331313553e-14,1.1231796109402651e-14,5.5467215181955772e-19,8.9251803569732351e-19,5.3332854317759243e-20,1.6436463496437962e-21,2.6617626159945237e-34,6.3030733025384197e-33,5.9532335483006323e-30,4.4801811666236607e-49,1.6244725796168633e-51,4.8765594407972156e-51
