Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CHOX(50),H2X(46),CO2X(24),COX(47)
1.009699114347191e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039627091,0.099999999997406011,0.099999999999432598,2.2716690278471374e-74,5.7428014171855396e-46,6.831451373267735e-33,5.6814344190804402e-59,1.9199270346447965e-39,1.2968616488916215e-100,4.9808964558722067e-31,6.4717102854166273e-107,3.3363706411053763e-31,6.6260173209908753e-68,2.0997866810362407e-52,5.501960347840646e-90,1.039682428519691e-92,3.9774242339709673e-46,7.3553511929808696e-82,2.5937546872435363e-12,1.1348403720037499e-12,2.4653630305999153e-16,2.4653647306110843e-16,5.2190337429377386e-23,2.1870083627699064e-23,1.0665471744157498e-26,3.2459459594135442e-26,3.4615538495479553e-44,5.5461654435230681e-37,1.9165239822743772e-66,2.6941262084587957e-43,2.3241800775544662e-67,5.6014374407794644e-70
2.0193990846276523e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039254181,0.099999999994812003,0.099999999998865177,9.1551556799425907e-72,9.1877486471790834e-45,4.2596420136304748e-32,5.7256521935871729e-57,1.5359422856013751e-38,1.0451522677724867e-97,1.3250985664094247e-30,5.1896305859016579e-105,6.672879916594722e-31,1.06016331952215e-66,3.3593715159912172e-51,2.1487238155101743e-87,2.0964952249912677e-90,3.1816767173249037e-45,2.3537137021624967e-80,5.1875115706569545e-12,2.2696817059572641e-12,4.9307266701303839e-16,4.9307339601984433e-16,1.5985067903519768e-22,1.3629979068213668e-22,1.3398848725605841e-25,1.2982633404149928e-25,1.7426705208809853e-42,4.4365660803210836e-36,3.8609226135194192e-64,3.38618800510505e-42,4.6823388899962645e-65,1.1295136382367569e-67
4.0387990251885746e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038508364,0.099999999989624,0.099999999997730335,3.2821537593769852e-69,1.4698033252928316e-43,2.3545559472091805e-31,5.1334495544679672e-55,1.2287530582495677e-37,7.4920986908736791e-95,3.9658723690703073e-30,4.6624584225910886e-103,1.3346305886838024e-30,1.6962603692240639e-65,5.3740665440737349e-50,7.579726951401661e-85,3.7616733904240805e-88,2.5449183723586623e-44,7.5318799268741583e-79,1.0375025329728562e-11,4.5393643736628281e-12,9.861449506238018e-16,9.8614807602477549e-16,4.3098885010616765e-22,7.5265277188280942e-22,1.4959773093813068e-24,5.1921282935403931e-25,7.8024210541582291e-41,3.5486630186849109e-35,6.9181124398216356e-62,3.7842707770274433e-41,8.3905781721350544e-63,2.0266276440801783e-65
8.077598906310419e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037016726,0.09999999997924798,0.099999999995460651,1.047776711560362e-66,2.350927611926001e-42,1.1581728085907779e-30,4.0986522238306976e-53,9.8300048509369183e-37,4.7819391809819984e-92,1.3194436704914982e-29,4.7005662998345701e-101,2.6694787510179695e-30,2.7140114194239567e-64,8.595531392684436e-49,2.3997108902067842e-82,6.0111950103802264e-86,2.035257091054731e-43,2.4101970884729821e-77,2.0750052816850882e-11,9.0787297082681043e-12,1.972287740667187e-15,1.97230094409122e-15,1.0310090675820011e-21,3.6946695906802792e-21,1.4867610301837883e-23,2.0761106433203906e-24,3.1104882010478236e-39,2.837985540332076e-34,1.1037045364595413e-59,3.7681620897625902e-40,1.3388201919354965e-60,3.2384324314987478e-63
1.6155198668554107e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034033454,0.099999999958495955,0.099999999990921282,3.0488011007854288e-64,3.759060730648716e-41,5.2130284573885029e-30,2.9828794407757829e-51,7.863969580272711e-36,2.781647159844202e-89,4.743957539055891e-29,7.1427278695523358e-99,5.3398269535471937e-30,4.342399997373499e-63,1.3743324801367162e-47,6.9519704229687179e-80,8.756418240850508e-84,1.6271220989283162e-42,7.7125987923722379e-76,4.1500107667011914e-11,1.8157460374255247e-11,3.9445662120670814e-15,3.9446209596125735e-15,2.2653506770559902e-21,1.6562047548910974e-20,1.3474929832222407e-22,8.2985211296029272e-24,1.1304676125079671e-37,2.2688774653850328e-33,1.6048028816010516e-57,3.4283098038033662e-39,1.9472426152811906e-58,4.7165587987796566e-61
3.2310398193041485e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575028066908,0.099999999916991905,0.099999999981842558,8.3267369063235959e-62,6.0067559620411559e-40,2.2200004062295825e-29,2.0376897250576449e-49,6.291119617356956e-35,1.518357231650308e-86,1.7908143755584897e-28,8.6428442061465851e-97,1.0683130908149347e-29,6.9477801400738323e-62,2.1958906636018725e-46,1.8936505979230334e-77,1.1977217303773321e-81,1.2999671328123558e-41,2.4680106969741981e-74,8.3000216870999542e-11,3.6314921693335932e-11,7.8890947203243454e-15,7.8893186344750324e-15,4.7450237582978032e-21,6.9955780534841887e-20,1.1474763644570816e-21,3.3146803679118922e-23,3.8577572650938719e-36,1.8126888483401623e-32,2.1896781275022408e-55,2.9418256551957586e-38,2.6585072788364811e-56,6.4469502240572831e-59
6.462079724201624e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575016133817,0.099999999833983791,0.099999999963685096,2.180582064168389e-59,9.586131044871846e-39,9.16975744546001e-29,1.3349847470696353e-47,5.032805553966918e-34,7.9425281476592136e-84,6.9496785902043685e-28,1.0730535167170366e-94,2.1380169324496871e-29,1.1116255585061307e-60,3.5037308357191815e-45,4.9480298936750987e-75,1.5741914835731372e-79,1.0372154423593285e-40,7.8974995559444515e-73,1.6600043329363716e-10,7.262984427992314e-11,1.5778038000309145e-14,1.5778947712921264e-14,9.7061382305410337e-21,2.8430542046101447e-19,9.3790703676731837e-21,1.3221046802401638e-22,1.2628957317679802e-34,1.4463048755501144e-31,2.8632672128444924e-53,2.4412225159678772e-37,3.4804624788624865e-54,8.4500570036163719e-57
9.693119629099099e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575004200726,0.099999999750975704,0.099999999945527634,1.6572196178342851e-58,3.5247246036443034e-38,1.9672133780290899e-28,7.49363633862967e-47,1.4940989247574057e-33,6.834053569003923e-83,1.4634533356296427e-27,5.9862325121684038e-94,3.2087638560947151e-29,4.2054701877915219e-60,1.3341256656519186e-44,3.7587372224659138e-74,1.0354895854355111e-78,2.9612718080418701e-40,3.6841404410859836e-72,2.4900064773093715e-10,1.0894476681493618e-10,2.3666867545404913e-14,2.3668813538615297e-14,1.4667258054888325e-20,6.0319070008747436e-19,2.6843461048726231e-20,2.8039587870164587e-22,5.9163915830417772e-34,4.1292306257959428e-31,1.8962897758380786e-52,7.0473261970807048e-37,2.3058740980495452e-53,5.5520660634752847e-56
1.2924159533996574e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574992267636,0.099999999667967604,0.099999999927370173,8.1547508916614795e-58,8.9328110724927573e-38,3.3727334077689694e-28,2.7347868263794194e-46,3.2555277112654725e-33,4.0239594343325679e-82,2.4845342254464464e-27,3.072539900666784e-93,4.2805538934352947e-29,1.0946721893535861e-59,3.5847264595873594e-44,1.848880137338778e-73,4.2482548148898021e-78,6.2375604981640523e-40,1.1218158346610792e-71,3.3200086018289961e-10,1.4525968929837554e-10,3.1555583357251653e-14,3.1558919057091914e-14,1.9628309567061979e-20,1.0236686060768301e-18,5.648209511073754e-20,4.774589055056476e-22,1.9073235271534962e-33,8.6977241698120211e-31,8.5593512685448793e-52,1.4944364063476212e-36,1.041056892351459e-52,2.273038266854278e-55
1.9386239343791523e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574968401452,0.099999999501951403,0.09999999989105525,1.0322294143251249e-56,3.1211225623175142e-37,7.0176830111445729e-28,1.7733031575103674e-45,9.4495811629940952e-33,9.0661745378657771e-81,5.1195106776216154e-27,4.0445458521093579e-92,6.4265821918571782e-29,4.0172214955492171e-59,1.4456634926574346e-43,2.3390148845020509e-72,3.27663589876907e-77,1.6997632212901086e-39,5.1109534232032399e-71,4.9800128042735888e-10,2.1788953414421515e-10,4.7332748061060834e-14,4.7339701440212955e-14,2.9550245129449763e-20,2.0942491182137764e-18,1.5313345981650473e-19,9.8554572871653991e-22,1.0435526437594783e-32,2.3701687876243782e-30,9.852701266479088e-51,4.1042800168664365e-36,1.1986719687424854e-51,1.7298058307261245e-54
