Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),H2X(49),COX(50),CO2X(24)
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,3.3014179040460686e-75,1.4316812065247001e-42,5.0323345924379913e-30,1.141853936421536e-54,4.0784155910460744e-40,1.2359760013340012e-92,6.9296774510989616e-19,2.8629842240850525e-84,6.9296774073005693e-19,6.6715155294216143e-57,8.4718506001973748e-49,1.170334891353683e-76,7.0717047682633483e-78,3.5739912993575783e-37,2.1024782566160452e-66,2.7482111771924732e-12,1.3213643565785279e-13,5.0932487623779818e-17,5.0932556109488907e-17,3.3838625943851595e-23,2.8067962324867429e-25,9.1666134253904869e-29,3.8318566144401376e-26,7.5502873615836417e-37,1.3328387511126071e-47,1.8730142905132608e-40,1.0359531901771858e-66,7.8443010894613302e-69
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.6753375491757871e-72,2.2906661223373473e-41,2.1023257572196341e-29,1.4486203011459496e-52,3.2627316236227846e-39,6.2722091438313149e-90,1.3859360863105098e-18,1.8323104750091554e-82,1.3859360687911518e-18,1.0674423249742379e-55,1.3554832959121662e-47,2.9695353195360833e-74,1.794330586072037e-75,2.8591675245931417e-36,6.727929781177793e-65,5.4964246823308054e-12,2.6427298332565152e-13,1.0186495025006727e-16,1.018652252999464e-16,1.3424855943460507e-22,2.2275844065896919e-24,1.453571089733559e-27,1.5327277473006049e-25,6.0401645361391075e-36,8.4544019774946856e-46,1.5607512600658191e-39,2.628560626221952e-64,1.9903245617003232e-66
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,8.4435893074875901e-70,3.6649852426407601e-40,9.108296211270618e-29,1.8252636196907732e-50,2.6101800679701944e-38,3.1613254094990308e-87,2.7718727946742389e-18,1.1726767840688401e-80,2.7718727245968624e-18,1.7079044941705049e-54,2.1687286209155828e-46,7.4834403668899026e-72,4.5218407209131816e-73,2.2872906521093705e-35,2.1529335843173758e-63,1.0992851687376673e-11,5.2854607865046877e-13,2.0372967098242419e-16,2.0373077984619329e-16,5.2834578472752704e-22,1.7541262147689986e-23,2.2889988476089767e-26,6.1307859580827876e-25,4.8320216907040731e-35,5.325988522202046e-44,1.346165461929379e-38,6.6241453451695196e-62,5.0154832838824781e-64
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,4.1954763167086894e-67,5.8637151377205681e-39,4.177974999255485e-28,2.2674252938970799e-48,2.0881341360619106e-37,1.5709905664253835e-84,5.5437463152512894e-18,7.5050983579411038e-79,5.5437460349423718e-18,2.7326346964922839e-53,3.4698199589084421e-45,1.8593595553906134e-69,1.1235109893449924e-70,1.8297621195557854e-34,6.8893565600290941e-62,2.1985705676545238e-11,1.0570922692569825e-12,4.0745829436955176e-16,4.0746279622759069e-16,2.0472301679043339e-21,1.360496016074244e-22,3.5531443614175839e-25,2.4522131948179363e-24,3.8654393111969329e-34,3.3077140383519246e-42,1.2264052865894067e-37,1.6458491446713703e-59,1.2460188392682592e-61
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,2.0286690102452118e-64,9.3811055215188907e-38,2.0633443136494347e-27,2.7411251930740256e-46,1.6704908201847419e-36,7.598044627105812e-82,1.1087493771800359e-17,4.8032180627511441e-77,1.1087492650569746e-17,4.3721737961057835e-52,5.5512351178786724e-44,4.4961167167499299e-67,2.716761376851249e-68,1.4636966577637186e-33,2.2045734119430622e-60,4.3971413571189661e-11,2.1141846502975294e-12,8.1491226885979036e-16,8.1493076533453774e-16,7.7037032157450198e-21,1.0254320461586446e-21,5.3656835243934883e-24,9.8080410275745093e-24,3.0920657557221822e-33,1.9989257631862141e-40,1.2010270905150662e-36,3.9797923533412884e-57,3.0123148385893469e-59
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,9.3411387206051503e-62,1.5007083373778481e-36,1.0918316499514534e-26,3.155776254418434e-44,1.3363660270188129e-35,3.5000501463639708e-79,2.2174990346451655e-17,3.0740011464289624e-75,2.2174985861569966e-17,6.9953431881399631e-51,8.8804605895770043e-43,1.0354641980162634e-64,6.2567521415962994e-66,1.1707763434019853e-32,7.0545010740707667e-59,8.7942829025707707e-11,4.2283694116886971e-12,1.6298071289146411e-15,1.6298844669274571e-15,2.7517397909060462e-20,7.3431671172841794e-21,7.711947179999127e-23,3.9225666928032429e-23,2.4731952573884257e-32,1.1501714662792357e-38,1.2613727607914256e-35,9.165376368396903e-55,6.9344796089905084e-57
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,3.9701676402846904e-59,2.4002742071909154e-35,5.9599058739972879e-26,3.3538308447836081e-42,1.0690501176837587e-34,1.48869326861503e-76,4.434999014175254e-17,1.9672856882740493e-73,4.4349972202552693e-17,1.1192116373072687e-49,1.4203888921876142e-41,2.2016972047070271e-62,1.3303666407863695e-63,9.3633156715904062e-32,2.2573544552494381e-57,1.7588565859566058e-10,8.4567389317113763e-12,3.2595444950055142e-15,3.2598742592944005e-15,9.0363441280102185e-20,4.8362500071974372e-20,1.0222341082024318e-21,1.5685070502509105e-22,1.9778246520012752e-31,6.107317574108771e-37,1.3720915557081499e-34,1.9487564388047296e-52,1.4733776762182997e-54
6.542216814747164e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,3.2569894132230623e-58,8.8331398622428045e-35,1.4520161917602468e-25,2.0827341772248313e-41,3.1736704477887189e-34,1.2153583870656772e-75,6.6524996582839701e-17,1.1169521198157509e-72,6.6524958462517727e-17,4.2341261630054289e-49,5.4144086456821223e-41,1.5809969733151775e-61,9.5531096664696842e-63,2.6768476971122787e-31,1.0530344811906849e-56,2.6382848682653032e-10,1.2685108448974398e-11,4.8892295087609986e-15,4.8899544871080096e-15,1.6906377943306396e-19,1.2444321022369229e-19,3.4541172265803073e-21,3.332314576755503e-22,5.6541411510669871e-31,3.2121465580908694e-36,4.4076188631139084e-34,1.3993515606073294e-51,1.0638738794206458e-53
1.0903694729758509e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,4.2110325293408371e-56,6.7922065273883082e-34,4.8877165535918368e-25,7.154846985473546e-40,1.4864987485866199e-33,1.29489015595176e-73,1.1087503604643074e-16,3.0024433147115081e-71,1.1087493065838383e-16,3.3413693101444659e-48,4.4495417159941311e-40,9.5078454985879669e-60,5.7450728073776244e-61,1.2295201191171417e-30,1.4110328957855408e-55,4.3971413793193717e-10,2.1141847472462283e-11,8.1483901403996604e-15,8.1505136257102195e-15,3.5933668525436765e-19,4.4095813622441758e-19,2.0688443577651616e-20,9.2074353825732604e-22,2.5967664680945044e-30,6.3849253195792992e-35,2.4843747884050626e-33,8.4149406905735944e-50,7.7716779128511247e-52
1.4829024853268719e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,2.5761630029289237e-55,1.8700969088909512e-33,9.4694937185609322e-25,3.1412722196598689e-39,3.4300835744115163e-33,6.8000334767018751e-73,1.5079009303374025e-16,1.3036605536281628e-70,1.5078990537290135e-16,9.3766206699524399e-48,1.297282574182019e-39,4.6108860578287052e-59,2.7861059070795195e-60,2.7668139034312797e-30,4.6829785479064405e-55,5.9801121960019253e-10,2.8752912584685409e-11,1.1081465577722954e-14,1.1085355786392571e-14,5.4508007018295931e-19,8.6576330775330486e-19,5.1052874920476778e-20,1.6389303716574005e-21,5.8432143717899276e-30,2.483233745554633e-34,6.0373326143391634e-33,4.0808261379062449e-49,4.4336951760919629e-51
