Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),H2OX(35),CXHO(27),OCX(21),COX(37),HOCXO(25),CO2X(34),CX(24),CH3OHX(46),CH2O3(144),SX(155),HO2X(135),CH2O2(69),SX(192),C2H6X(39)
1.2993046720888224e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16052005842105443,0.099673605223266029,0.084208257783087409,1.2837775384331105e-08,0.00010697396277861064,2.130146732111126e-05,3.4582168427725387e-07,1.4692476007181585e-09,5.6389521392131919e-17,2.2539857958634448e-11,0.0,1.8604325161340974e-14,2.980965489755672e-20,5.3830077399448472e-09,1.1183065115960643e-17,7.1106063009508327e-17,2.1042950688186495e-12,2.0427617560080898e-29,2.9667442039593872e-05,0.031414537319798395,1.6157842518658858e-08,6.0315362668034975e-05,0.00057476501517244954,2.3317653979797237e-09,0.00029510965760906719,6.3395478661070989e-09,3.1825698583972379e-08,4.7658876670395562e-13,1.2320012641245284e-06,1.028770020308224e-10,4.5572703111646538e-13,3.8168360611691987e-12,4.2382474549253413e-12,1.6013893757176395e-12,5.7952965314391303e-12,1.7219683040563362e-15,8.4116159256936471e-09,6.2554800672786497e-11,1.8600646406526169e-14,4.3718659066460691e-13
1.3013232101325728e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16048176501573158,0.099672841125327469,0.084189465894297738,1.2965263401567421e-08,0.00010765005781905457,2.1394434309303746e-05,3.4788733448918174e-07,1.4739251603093582e-09,5.680024784759944e-17,2.2572351106501306e-11,0.0,1.8636440186470616e-14,3.0082555055801753e-20,5.4123891416239111e-09,1.1241152439259817e-17,7.1560322665383199e-17,2.1122989107478654e-12,2.0709272563440687e-29,2.9660136978685607e-05,0.03145128438020809,1.6167302492169499e-08,6.046678329219532e-05,0.00057539780442342648,2.3408958006269491e-09,0.00029587225273999888,6.3656991824490826e-09,3.2019241927093983e-08,4.7849292145581197e-13,1.2385573631751104e-06,1.0346691273114142e-10,4.5941152013498663e-13,3.8538292502596672e-12,4.2506333179235873e-12,1.6097479162992669e-12,5.8702213339171887e-12,1.7438216674184273e-15,8.4615450968965462e-09,6.3095761674143575e-11,1.8757064847671485e-14,4.3847406869546815e-13
1.3033417481763232e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1604435027490079,0.099672076393468714,0.084170687158380428,1.3093750060014385e-08,0.00010832859151288304,2.148748925314032e-05,3.499616402304276e-07,1.4786081900328473e-09,5.7213066438380625e-17,2.2604810422897991e-11,0.0,1.8668469051351897e-14,3.0357361185084202e-20,5.4418613929020398e-09,1.1299437180188351e-17,7.2016662243781682e-17,2.1203098516778795e-12,2.0994242215554372e-29,2.9652837593018771e-05,0.03148800281425921,1.6176740404192856e-08,6.0618050777485753e-05,0.00057602760957915441,2.3500358875298885e-09,0.00029663544302497799,6.3918647136909626e-09,3.2213421072230355e-08,4.8040129815768146e-13,1.2451368025804978e-06,1.0405912490736323e-10,4.6311736548555135e-13,3.8911020210377776e-12,4.2630459967212247e-12,1.6181296285514223e-12,5.9459404776529915e-12,1.7659008150340474e-15,8.5116578877841244e-09,6.3640243125599858e-11,1.8914457053734265e-14,4.3976259551093461e-13
1.3053602862200735e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1604052715840055,0.099671311028697765,0.08415192155898818,1.3223240848058824e-08,0.00010900956233445089,2.1580630828098552e-05,3.5204462125848328e-07,1.4832966803209741e-09,5.762798225575161e-17,2.2637235939911067e-11,0.0,1.8700411630649301e-14,3.0634081803673055e-20,5.4714244647787152e-09,1.135791961890266e-17,7.2475087261820404e-17,2.1283278168534847e-12,2.1282558222453452e-29,2.964554387608095e-05,0.031524692657101935,1.6186156327220805e-08,6.0769164125403976e-05,0.00057665443440015692,2.3591855895595189e-09,0.00029739922739901499,6.4180440617891286e-09,3.2408235157409546e-08,4.8231389763330704e-13,1.2517396206624049e-06,1.0465364292918818e-10,4.6684463343376127e-13,3.9286558143438578e-12,4.275486178988483e-12,1.6265344892627038e-12,6.0224603214124837e-12,1.7882074807603361e-15,8.5619544178122537e-09,6.4188259269261865e-11,1.9072826601294167e-14,4.4105216780993691e-13
1.3073788242638239e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1603670714837882,0.099670545032019817,0.084133169079801742,1.3353741268838654e-08,0.00010969296871948297,2.1673857710577849e-05,3.5413629733091008e-07,1.4879906216257274e-09,5.8045000380776986e-17,2.2669627689796445e-11,0.0,1.8732267802187207e-14,3.091272543853458e-20,5.5010783274703721e-09,1.1416600035175882e-17,7.2935603239052744e-17,2.1363527316135758e-12,2.1574252513168852e-29,2.9638255821347819e-05,0.031561353943858277,1.6195550333432277e-08,6.0920122348305193e-05,0.00057727828271977584,2.3683448378134338e-09,0.00029816360479989229,6.4442368293515361e-09,3.2603683310243492e-08,4.8423072070055132e-13,1.2583658557094566e-06,1.052504711631243e-10,4.7059339020679987e-13,3.9664920741595501e-12,4.2879539185217819e-12,1.6349624750196461e-12,6.0997872552865632e-12,1.8107434062210893e-15,8.6124348048828481e-09,6.4739824358568452e-11,1.9232177067331149e-14,4.4234278230041164e-13
1.3093973623075743e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16032890241136249,0.099669778404437331,0.084114429704529772,1.3485256840220478e-08,0.0001103788090653316,2.1767168577964901e-05,3.5623668820530614e-07,1.4926900044187041e-09,5.8464125884290692e-17,2.2701985704976702e-11,0.0,1.8764037446939785e-14,3.119330062521861e-20,5.5308229504159087e-09,1.1475478708398224e-17,7.3398215697456031e-17,2.1443845213938609e-12,2.1869357240575099e-29,2.9630973422283303e-05,0.031597986709621918,1.6204922494693814e-08,6.1070924469389302e-05,0.0005778991584435082,2.3775135636182647e-09,0.00029892857416815313,6.4704426196560256e-09,3.2799764648016607e-08,4.8615176817142585e-13,1.2650155459768032e-06,1.0584961397248661e-10,4.7436370199261592e-13,4.0046122475982794e-12,4.3004490036047244e-12,1.6434135622085782e-12,6.1779277007131735e-12,1.8335103408053805e-15,8.6630991653502178e-09,6.5294952658175882e-11,1.9392512029192522e-14,4.4363443569927318e-13
1.3114159003513246e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16029076432967845,0.099669011146950065,0.084095703416908849,1.361779309477718e-08,0.00011106708173123642,2.1860562108698327e-05,3.5834581363926607e-07,1.4973948191910766e-09,5.8885363826878319e-17,2.2734310018038472e-11,0.0,1.8795720449020501e-14,3.1475815907745329e-20,5.5606583022822231e-09,1.1534555917577358e-17,7.3862930161418514e-17,2.1524231117295435e-12,2.2167904782231462e-29,2.962369667233981e-05,0.03163459098945804,1.6214272882560357e-08,6.1221569522679859e-05,0.00057851706554834504,2.3866916985319251e-09,0.00029969413444709184,6.4966610366683281e-09,3.2996478277774205e-08,4.8807704085211892e-13,1.2716887296854901e-06,1.0645107571739111e-10,4.7815563494032863e-13,4.0430177848957929e-12,4.3129715835478668e-12,1.6518877270174598e-12,6.2568881104986746e-12,1.8565100416658934e-15,8.7139476140275548e-09,6.5853658443844711e-11,1.9553835064561067e-14,4.4492712473238689e-13
1.313434438395075e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1602526572016304,0.099668243260555137,0.084076990200703416,1.3751355579765567e-08,0.00011175778503858537,2.195403698233288e-05,3.6046369339034263e-07,1.5021050564535589e-09,5.9308719258860156e-17,2.2766600661729838e-11,0.0,1.8827316695671634e-14,3.176027983849203e-20,5.5905843509697403e-09,1.1593831941338812e-17,7.4329752157726799e-17,2.1604684282579824e-12,2.2469927741221361e-29,2.9616425564958357e-05,0.031671166818403172,1.6223601568276028e-08,6.1372056553004136e-05,0.00057913200808211202,2.3958791743458457e-09,0.00030046028458274274,6.5228916850599536e-09,3.31938232964101e-08,4.9000653954302592e-13,1.2783854450228796e-06,1.0705486075474604e-10,4.8196925516007473e-13,4.0817101394007674e-12,4.3255217363444744e-12,1.660384945437702e-12,6.3366749688387589e-12,1.8797442737171608e-15,8.7649802641933925e-09,6.6415956002326866e-11,1.9716149751423197e-14,4.4622084613454458e-13
1.3154529764388254e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16021458099005789,0.099667474746246848,0.084058290039705746,1.3885949857104026e-08,0.00011245091727117592,2.2047591879603462e-05,3.6259034721601178e-07,1.5068207067363722e-09,5.9734197220274466e-17,2.2798857668957745e-11,0.0,1.8858826077253519e-14,3.2046700978080218e-20,5.6206010636179403e-09,1.1653307057926333e-17,7.4798687215552835e-17,2.1685203967213452e-12,2.2775458946990535e-29,2.9609160093568716e-05,0.03170771423146497,1.6232908622774781e-08,6.1522384615973007e-05,0.00057974399016280458,2.4050759230872169e-09,0.00030122702352387105,6.5491341702259922e-09,3.3391798790754934e-08,4.9194026503877893e-13,1.2851057301425845e-06,1.0766097343824691e-10,4.8580462872312434e-13,4.1206907675654226e-12,4.3380995240425469e-12,1.668905193265994e-12,6.4172947913391487e-12,1.9032148096337855e-15,8.8161972275981459e-09,6.6981859631254036e-11,1.9879459668037264e-14,4.4751559664943771e-13
1.3174715144825757e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16017653565774656,0.099666705605016864,0.084039602917735962,1.4021581503350246e-08,0.00011314647667547752,2.2141225482488641e-05,3.6472579487364058e-07,1.5115417605892122e-09,6.0161802740861713e-17,2.2831081072785435e-11,0.0,1.8890248487233837e-14,3.2335087895262799e-20,5.6507084066108987e-09,1.1712981545202301e-17,7.5269740866441257e-17,2.176578942969236e-12,2.3084531456183494e-29,2.9601900251589597e-05,0.031744233263622058,1.6242194116681207e-08,6.1672552777959584e-05,0.00058035301597792919,2.414281877021142e-09,0.00030199435022196139,6.5753880983027253e-09,3.3590403837664655e-08,4.9387821812827269e-13,1.291849623164502e-06,1.0826941811837212e-10,4.8966182166184832e-13,4.1599611289361303e-12,4.3507049434393863e-12,1.6774484461061329e-12,6.4987541250359798e-12,1.9269234298485335e-15,8.867598614470628e-09,6.7551383639026497e-11,2.0043768392902248e-14,4.4881137302963056e-13
1.3215085905700765e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16010053748178596,0.099665165445745094,0.08400226772629911,1.4295979281859891e-08,0.00011454486980003636,2.2328723539611722e-05,3.6902315071348819e-07,1.521000041300898e-09,6.102341652694014e-17,2.2895427203259272e-11,0.0,1.8952831981730498e-14,3.291779337740536e-20,5.7111948454235471e-09,1.1832929741364523e-17,7.6218226085370715e-17,2.1927154727697872e-12,2.3713433752410543e-29,2.9587397429483559e-05,0.031817186324990532,1.6260700703673345e-08,6.1972405718156807e-05,0.00058156221590506725,2.432721130729434e-09,0.00030353076270850534,6.6279287115436788e-09,3.3989498847261316e-08,4.9776681021555675e-13,1.3054083852253074e-06,1.0949332085428905e-10,4.9744192960173797e-13,4.2393769048960839e-12,4.3759989688081066e-12,1.6946038682835997e-12,6.6642176714338292e-12,1.9750620836817837e-15,8.9709550919658349e-09,6.8701350077894315e-11,2.0375396582399446e-14,4.514059904403808e-13
1.3255456666575772e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.16002466237498847,0.099663622790619827,0.083964984497508305,1.457459381969781e-08,0.00011595294964749701,2.2516520636786303e-05,3.7335591896532138e-07,1.5304798233742764e-09,6.1893600648509607e-17,2.2959639320686678e-11,0.0,1.901506638862779e-14,3.3508464993300893e-20,5.7720433835824187e-09,1.1953678745111767e-17,7.7175252113841428e-17,2.2088774267038054e-12,2.4356903658681604e-29,2.9572917045775184e-05,0.031890026281750618,1.6279121888091283e-08,6.2271608118975234e-05,0.00058275964272857682,2.451196398430252e-09,0.00030506951370826044,6.6805103893563269e-09,3.4391100743923063e-08,5.0167232200239414e-13,1.3190620354880738e-06,1.1072660370176981e-10,5.0531010646313699e-13,4.3199692051807244e-12,4.4014041969331465e-12,1.7118510130117883e-12,6.8331186136775367e-12,2.024174633762982e-15,9.075050548329291e-09,6.9865969997347529e-11,2.0711062951550794e-14,4.5400467256376948e-13
1.329582742745078e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15994891003778722,0.0996620776474786,0.083927753102921693,1.485747025407724e-08,0.00011737070087281409,2.2704606280980496e-05,3.7772425768062026e-07,1.5399810319042537e-09,6.2772394971331311e-17,2.3023717694942601e-11,0.0,1.9076950966390486e-14,3.4107171574254853e-20,5.8332537255300055e-09,1.2075230765653547e-17,7.814086328832844e-17,2.2250642156992856e-12,2.5015213892141773e-29,2.9558459047433062e-05,0.031962753412668882,1.6297458223873796e-08,6.2570152896516607e-05,0.00058394533238322098,2.4697071470228331e-09,0.00030661059492997201,6.7331300092740793e-09,3.4795201792461542e-08,5.0559475959631281e-13,1.332810877694369e-06,1.1196930134826101e-10,5.1326687911106998e-13,4.4017498166019553e-12,4.4269210803723904e-12,1.7291896783624581e-12,7.0055104615368027e-12,2.0742756026293581e-15,9.1798858112915432e-09,7.1045358241155588e-11,2.1050796133892504e-14,4.5660739373704443e-13
1.3336198188325787e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15987328016983629,0.099660530024116914,0.083890573414538983,1.5144653954316737e-08,0.00011879810755923335,2.2892970004994425e-05,3.8212832490582699e-07,1.5495035922937683e-09,6.3659839195138407e-17,2.3087662598163135e-11,0.0,1.9138485022108732e-14,3.4713982070930642e-20,5.8948255641537318e-09,1.2197588006135466e-17,7.9115103982050792e-17,2.2412752526485071e-12,2.5688640884704109e-29,2.9544023381264796e-05,0.032035367996030822,1.6315710260085267e-08,6.2868033136806377e-05,0.00058511932185223024,2.4882528474092427e-09,0.00030815399812491624,6.7857844623253115e-09,3.5201794106633104e-08,5.0953412901572015e-13,1.3466552150444544e-06,1.132214484292167e-10,5.2131277379481927e-13,4.4847305745887385e-12,4.4525499172728584e-12,1.746619659495399e-12,7.1814472294902917e-12,2.1253796367301837e-15,9.2854616848796182e-09,7.223962981505673e-11,2.1394624763915538e-14,4.5921412843686696e-13
1.3376568949200794e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15979777247003876,0.099658979928288566,0.083853445304800212,1.5436190521139351e-08,0.0001202351532269164,2.3081601369377501e-05,3.8656827868128776e-07,1.5590474302525375e-09,6.4555972853307226e-17,2.3151474304668304e-11,0.0,1.9199667911115709e-14,3.5328965549799795e-20,5.9567585809630743e-09,1.2320752663652256e-17,8.0098018604568139e-17,2.257509952487144e-12,2.6377464809316745e-29,2.9529609993922403e-05,0.032107870309635314,1.6333878540941889e-08,6.3165242094954011e-05,0.00058628164914605778,2.506832974555181e-09,0.00030969971508657088,6.8384706535578834e-09,3.5610869652001594e-08,5.1349043619075577e-13,1.3605953501966455e-06,1.1448307952793678e-10,5.2944831615109239e-13,4.5689233628943602e-12,4.4782911721821609e-12,1.7641407487161927e-12,7.3609834372878318e-12,2.1775015063416103e-15,9.3917789496353578e-09,7.3448899883435402e-11,2.174257747614047e-14,4.6182485127844926e-13
1.3416939710075801e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15972238663657462,0.099657427367705997,0.083816368646584941,1.5732125785975611e-08,0.00012168182084161178,2.3270489964315352e-05,3.9104427704020616e-07,1.5686124717957748e-09,6.5460835312572112e-17,2.3215153090886116e-11,0.0,1.9260499036596706e-14,3.5952191189608848e-20,6.0190524462665238e-09,1.2444726929261002e-17,8.1089651601378754e-17,2.2737677322720681e-12,2.708196960609684e-29,2.9515218831907572e-05,0.032180260630789118,1.6351963605838302e-08,6.3461773194273168e-05,0.00058743235328113995,2.5254470075484632e-09,0.00031124773765028667,6.8911855025533567e-09,3.6022420248806086e-08,5.1746368696413035e-13,1.3746315852673253e-06,1.1575422917540933e-10,5.3767403120768765e-13,4.6543401133057076e-12,4.5041451584919088e-12,1.7817527355337542e-12,7.5441741104918956e-12,2.2306561054760351e-15,9.4988383628357736e-09,7.4673283766058286e-11,2.2094682904211703e-14,4.6443953701468674e-13
1.3457310470950809e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1596471223669286,0.099655872350040545,0.083779343313210755,1.6032505810270751e-08,0.00012313809282336961,2.3459625411485878e-05,3.9555647800760642e-07,1.5781986432428728e-09,6.637446577278369e-17,2.3278699235277923e-11,0.0,1.9320977849189687e-14,3.6583728277863557e-20,6.0817068193484075e-09,1.2569512987994461e-17,8.2090047453518575e-17,2.2900480112578154e-12,2.7802443008327526e-29,2.9500849841576992e-05,0.032252539236301316,1.6369965989374732e-08,6.3757620025362981e-05,0.00058857147425867603,2.544094429655228e-09,0.00031279805769295874,6.9439259439307322e-09,3.6436437574832828e-08,5.2145388709194721e-13,1.3887642218303653e-06,1.1703493185015544e-10,5.4599044338776662e-13,4.7409928053546252e-12,4.5301123258566947e-12,1.7994554067176524e-12,7.7310747809988346e-12,2.2848584517860557e-15,9.6066406587152014e-09,7.5912896934870382e-11,2.2450969680011553e-14,4.6705816053528538e-13
