Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),COX(50),H2X(49),CO2X(24),CHOX(53)
1.490630390106514e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32593262188566613,0.10097371253525279,8.6327162870859556e-05,0.0014698432234845813,0.024898081053269312,0.00029731750607132912,0.011133149108871324,3.6159994723894123e-10,1.1800071700509884e-13,2.3901048503419756e-07,1.0191304259657942e-19,8.3272753499230206e-08,1.3020394844798162e-16,1.0778648005197553e-08,1.1970253289568915e-12,1.4994099078498971e-13,2.128470352693894e-07,1.3585217973324597e-13,0.0050835037241805329,0.0064883960604731243,2.4511394506209418e-09,4.7434193592068761e-05,1.9617921783669085e-13,4.3384197653251226e-09,1.6924052429384491e-07,5.0323276238454856e-07,9.3200737107657937e-06,1.1088067155166744e-06,8.9413714632710001e-09,4.488372652545853e-06,1.8304810709739631e-09,4.8113309568422522e-11
1.4919982050493372e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32594662433236937,0.10096896450822021,8.5860815323496483e-05,0.0014709373266091478,0.024907177889153018,0.00029773448776876762,0.011136820563808379,3.6169039099233255e-10,1.1829508085989932e-13,2.3873491908086292e-07,1.0198709911395429e-19,8.3326867311752683e-08,1.3011776495114803e-16,1.0780094830964519e-08,1.1981982620665599e-12,1.501628737210126e-13,2.1253642031422313e-07,1.3601163364315799e-13,0.0050834830131005751,0.0064743694032454594,2.4458347619829287e-09,4.7469457874368712e-05,1.9585061561854459e-13,4.3416216375123962e-09,1.6924733723396261e-07,5.0249689984934866e-07,9.3235198320639321e-06,1.1092579484031329e-06,8.9447043810249467e-09,4.4948606172987846e-06,1.8302525021777264e-09,4.8164812819959078e-11
1.4933660199921605e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32596059873239164,0.10096422655056549,8.5396947362981811e-05,0.0014720294774423857,0.024916253865172395,0.00029815207045307966,0.011140483859097671,3.6178052681762386e-10,1.1858996223560316e-13,2.3845980836816845e-07,1.0206101614229047e-19,8.3381021852322053e-08,1.300315824189403e-16,1.0781533226887915e-08,1.1993714152518203e-12,1.5038480173472841e-13,2.1222618279563103e-07,1.3617098182037915e-13,0.00508346235141942,0.0064603707179622816,2.440541129036212e-09,4.7504745627895193e-05,1.9552283648851763e-13,4.3448264844152873e-09,1.6925416790438797e-07,5.017619455471057e-07,9.3269586452399505e-06,1.1097081965133863e-06,8.948030228388903e-09,4.501357808958843e-06,1.8300235738953234e-09,4.8216328287420592e-11
1.4947338349349837e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32597454512207352,0.10095949864236255,8.4935546100455952e-05,0.0014731196780708488,0.024925309020859914,0.00029857025504079692,0.011144139012876005,3.6187035560067379e-10,1.1888536177152657e-13,2.3818515267559076e-07,1.0213479394607179e-19,8.343521715507483e-08,1.2994540168077393e-16,1.0782963221753341e-08,1.2005447898243313e-12,1.5060677466550731e-13,2.11916322875408e-07,1.3633022426652492e-13,0.005083441738825514,0.0064463999685423342,2.4352585350580597e-09,4.7540056874260308e-05,1.9519587940050252e-13,4.34803430976556e-09,1.6926101632669518e-07,5.0102789977201265e-07,9.3303901647351373e-06,1.1101574614960826e-06,8.951349019326485e-09,4.507864241405278e-06,1.8297942913126718e-09,4.8267856015963411e-11
1.496101649877807e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32598846353780891,0.10095478076371044,8.4476598711919189e-05,0.001474207930587479,0.024934343395692889,0.0002989890424501777,0.011147786043247124,3.6195987822518152e-10,1.1918128010798895e-13,2.3791095178064849e-07,1.0220843278989747e-19,8.3489453254197356e-08,1.2985922356198898e-16,1.0784384844262887e-08,1.2017183870960571e-12,1.5082879235312581e-13,2.1160684071219266e-07,1.3648936098422461e-13,0.0050834211750088688,0.0064324571188501024,2.4299869633187358e-09,4.7575391635114039e-05,1.9486974330883363e-13,4.3512451173965793e-09,1.6926788252521644e-07,5.0029476281120584e-07,9.3338144049719953e-06,1.1106057449985399e-06,8.9546607677831556e-09,4.514379928544596e-06,1.8295646595888103e-09,4.8319396050795663e-11
1.4976310528782305e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32600399313681611,0.10094951738653921,8.3966323288810722e-05,0.001475422440466451,0.024944420494789798,0.00029945801867250425,0.011151854321504224,3.6205961522357987e-10,1.1951277216884937e-13,2.3760489620137063e-07,1.0229060679720749e-19,8.355014493649262e-08,1.297628688255736e-16,1.0785964532264627e-08,1.2030308936763586e-12,1.5107709110498161e-13,2.1126124511749939e-07,1.3666717226506008e-13,0.0050833982392486741,0.0064169001117852439,2.4241056614116072e-09,4.7614928572082841e-05,1.9450604975506468e-13,4.354838772851363e-09,1.6927558094477449e-07,4.9947609259728288e-07,9.3376345686940243e-06,1.1111058266534995e-06,8.9583554302079898e-09,4.521676328678475e-06,1.8293074929824466e-09,4.8377039442936214e-11
1.4991604558786539e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32601948785860491,0.10094426649599619,8.3459082075215265e-05,0.0014766345203302954,0.024954471717394962,0.00029992775099811815,0.011155912491455203,3.621589717852415e-10,1.1984491454846521e-13,2.372994086255592e-07,1.0237260777405408e-19,8.3610887714277997e-08,1.2966651953274485e-16,1.0787533828574791e-08,1.2043436821568636e-12,1.5132544539047368e-13,2.1091612221221839e-07,1.3684485137238906e-13,0.0050833753636566814,0.0064013778898251612,2.4182380954844259e-09,4.7654494965006618e-05,1.9414337986179502e-13,4.3584361667822316e-09,1.6928330164657712e-07,4.9865855933976324e-07,9.3414456698002407e-06,1.1116046855913887e-06,8.9620413247824678e-09,4.5289843362272286e-06,1.8290499034209551e-09,4.8434698340674819e-11
1.5006898588790774e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32603494775427716,0.10093902806437344,8.295485742932774e-05,0.0014778441731326353,0.024964497118449176,0.00030039824071827903,0.011159960578261113,3.6225794913594705e-10,1.2017770814643157e-13,2.3699448873362194e-07,1.0245443609079397e-19,8.3671681635552607e-08,1.2957017681927503e-16,1.0789092772947154e-08,1.2056567543727611e-12,1.5157385498741753e-13,2.1057147220421745e-07,1.3702239831434425e-13,0.0050833525478063846,0.0063858904022213326,2.4123842421214678e-09,4.7694090844310543e-05,1.9378173216549681e-13,4.3620373045024888e-09,1.6929104466283079e-07,4.9784216340913065e-07,9.345247728369598e-06,1.1121023241091606e-06,8.9657184709217199e-09,4.5363039707514773e-06,1.8287918979979372e-09,4.8492372807432759e-11
1.5022192618795008e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32605037287501287,0.10093380206400242,8.2453631808675844e-05,0.0014790514018367057,0.024974496752806687,0.00030086948912689854,0.011163998607031479,3.6235654849811997e-10,1.2051115386392572e-13,2.3669013620298846e-07,1.0253609211793165e-19,8.3732526748384658e-08,1.2947384181464431e-16,1.0790641405005897e-08,1.2069701121595765e-12,1.5182231967425774e-13,2.1022729529651786e-07,1.371998131006103e-13,0.0050833297912736553,0.0063704375981454902,2.4065440778976992e-09,4.7733716240473274e-05,1.9342110520211833e-13,4.3656421913129816e-09,1.6929881002508272e-07,4.9702690516507883e-07,9.3490407644517843e-06,1.1125987445016708e-06,8.9693868880126789e-09,4.5436352518538262e-06,1.8285334837656552e-09,4.8550062906706151e-11
1.5037486648799243e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32606576327206743,0.10092858846725437,8.195538776958639e-05,0.0014802562094152587,0.024984470675235029,0.00030134149752052673,0.011168026602824354,3.6245477109083143e-10,1.2084525260371134e-13,2.3638635070813228e-07,1.0261757622611096e-19,8.3793423100909113e-08,1.2937751564206059e-16,1.0792179764245855e-08,1.2082837573531372e-12,1.5207083923006608e-13,2.0988359168731694e-07,1.3737709574241532e-13,0.0050833070936367256,0.0063550194266909533,2.4007175793792067e-09,4.777337118402528e-05,1.9306149750737982e-13,4.369250832536571e-09,1.6930659776532216e-07,4.96212784956563e-07,9.3528247980671773e-06,1.1130939490616578e-06,8.9730465954140332e-09,4.550978199178665e-06,1.8282746677352226e-09,4.8607768702063998e-11
