Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(58),CO2X(24)
9.522928010324471e-07,0.09977366400000001,0.80000000000000004,0.0,0.2307503086809457,0.095772902180601888,0.071307783040132369,1.4685759922834699e-05,0.0014975515584752747,1.5722045130761405e-05,0.00074133149743595464,8.6302903486575664e-12,7.0289120656149713e-12,1.9706587224918157e-08,1.1946768864367243e-22,6.9225553570963991e-10,1.7704262999037733e-16,7.9109473947423183e-10,4.0622944104126829e-16,6.3630346629948615e-19,2.2835776004892765e-08,8.084700902884532e-18,0.0034679054225403177,0.055112244703192523,2.0068650227368584e-08,7.7843521244116321e-07,9.1708985606590819e-06,4.884308205997431e-13,1.2774603504400574e-09,6.3761198503060227e-08,3.0690396237710528e-06,6.2842022427925546e-08,2.5018372812823206e-10,2.1992171171796828e-10
9.532354204015637e-07,0.09977366400000001,0.80000000000000004,0.0,0.23071538475117634,0.095772226684575829,0.071288173305864538,1.4731259146851856e-05,0.0015000194844272505,1.5713398992250341e-05,0.00074251053846487961,8.6511568693162807e-12,7.044825665697511e-12,1.9731036377554399e-08,1.2021717332997969e-22,6.9200843558860356e-10,1.7770585077611165e-16,7.9277466396460856e-10,4.0712715752014247e-16,6.3799767642204342e-19,2.2850350442708869e-08,8.1249002917885283e-18,0.0034673522304764881,0.055147721732546708,2.0081380761521591e-08,7.7868278804168036e-07,9.1665320550838979e-06,4.8873779949217819e-13,1.2768617453990451e-09,6.375100947403723e-08,3.0731585298893536e-06,6.2931781150617159e-08,2.5054370537314035e-10,2.203626246619687e-10
9.541780397706803e-07,0.09977366400000001,0.80000000000000004,0.0,0.23068048498661492,0.095771550253658688,0.071268574895646641,1.4776848546845215e-05,0.0015024885910164662,1.5704757265527825e-05,0.00074369008263223155,8.6720498629348736e-12,7.0607546154134295e-12,1.9755478733546908e-08,1.2097039643179882e-22,6.9176172450156395e-10,1.7837067469402305e-16,7.9445618622020745e-10,4.0802579076349036e-16,6.3969456797177575e-19,2.2864908880436082e-08,8.1652501739596243e-18,0.0034667993793421979,0.055183174249326263,2.0094101986975466e-08,7.7893005070925554e-07,9.1621716275521899e-06,4.8904455354686586e-13,1.2762639698058646e-09,6.3740826815496235e-08,3.0772780899693333e-06,6.3021559641118227e-08,2.5090375820554067e-10,2.2080388341056738e-10
9.55120659139797e-07,0.09977366400000001,0.80000000000000004,0.0,0.23064560936288545,0.095770872888854386,0.071248987798105068,1.482252819033382e-05,0.0015049588768784774,1.5696119970137943e-05,0.00074487012919725198,8.692969326932312e-12,7.0766989009622547e-12,1.977991427958325e-08,1.2172737143898245e-22,6.9151540161206168e-10,1.7903710310176689e-16,7.9613930546106211e-10,4.0892534045866964e-16,6.4139414204373784e-19,2.2879451344312184e-08,8.2057509128910182e-18,0.0034662468688090669,0.055218602278250255,2.0106813912798772e-08,7.7917700104713049e-07,9.1578172651917336e-06,4.8935108301321842e-13,1.2756670195175951e-09,6.3730650522575512e-08,3.0813983017259779e-06,6.3111357853643933e-08,2.5126388639702633e-10,2.2124548761615836e-10
9.560632785089135e-07,0.09977366400000001,0.80000000000000004,0.0,0.23061075785564616,0.095770194591165467,0.071229412001882264,1.4868298144760711e-05,0.0015074303406508228,1.5687487125474947e-05,0.00074605067742017828,8.7139152587096122e-12,7.092658508544168e-12,1.9804343002420962e-08,1.224881118689109e-22,6.9126946608575999e-10,1.7970513735401947e-16,7.978240209072529e-10,4.0982580629289634e-16,6.4309639973120885e-19,2.2893977860531234e-08,8.2464028723834164e-18,0.0034656946985491652,0.055254005844002758,2.0119516548101658e-08,7.7942363966063265e-07,9.1534689551638761e-06,4.8965738815615452e-13,1.2750708899005163e-09,6.3720480588243178e-08,3.0855191628821405e-06,6.3201175742441555e-08,2.5162408971964406e-10,2.2168743693254528e-10
9.570058978780301e-07,0.09977366400000001,0.80000000000000004,0.0,0.23057593044058988,0.095769515361593074,0.071209847495636733,1.4914158477492973e-05,0.001509902980973016,1.5678858750784453e-05,0.00074723172656224299,8.7348876556499207e-12,7.1086334243600729e-12,1.9828764888887223e-08,1.2325263126648769e-22,6.9102391709044125e-10,1.8037477880247985e-16,7.9951033177890886e-10,4.1072718795324613e-16,6.4480134212569697e-19,2.2908488455243478e-08,8.2872064165440683e-18,0.0034651428682350043,0.055289384971233035,2.0132209901861812e-08,7.7966996715374636e-07,9.1491266846585215e-06,4.899634691189227e-13,1.2744755838761356e-09,6.3710317004837013e-08,3.0896406711575933e-06,6.3291013262289299e-08,2.5198436794590071e-10,2.2212973101497082e-10
9.579485172471467e-07,0.09977366400000001,0.80000000000000004,0.0,0.23054112709344388,0.095768835201137048,0.071190294268043006,1.4960109255821757e-05,0.0015123767964865433,1.567023486516418e-05,0.00074841327588566953,8.75588651511852e-12,7.1246236346116534e-12,1.9853179925878599e-08,1.2402094320413648e-22,6.9077875379600202e-10,1.8104602879587111e-16,8.0119823729620693e-10,4.1162948512665442e-16,6.4650897031694112e-19,2.2922983154555452e-08,8.3281619097861798e-18,0.003464591377539546,0.055324739684555452,2.0144893983095461e-08,7.7991598412655689e-07,9.144790440909733e-06,4.9026932612121192e-13,1.2738810993340347e-09,6.3700159767087214e-08,3.0937628242800487e-06,6.3380870367792368e-08,2.5234472084876994e-10,2.2257236951720251e-10
9.588911366162633e-07,0.09977366400000001,0.80000000000000004,0.0,0.2305063477899694,0.095768154110795867,0.07117075230779156,1.5006150546962337e-05,0.0015148517858348614,1.5661615487564487e-05,0.0007495953246536728,8.776911834462902e-12,7.1406291255013954e-12,1.9877588100360893e-08,1.2479306128179896e-22,6.9053397537445186e-10,1.8171888867994149e-16,8.0288773667937511e-10,4.1253269749991636e-16,6.4821928539291145e-19,2.2937461984529943e-08,8.3692697168284386e-18,0.0034640402261361921,0.055360070008549617,2.0157568800883679e-08,7.8016169117772563e-07,9.1404602111928463e-06,4.9057495945911618e-13,1.2732874294612382e-09,6.3690008869671596e-08,3.0978856199868121e-06,6.3470747013403709e-08,2.5270514820168547e-10,2.230153520926251e-10
9.5983375598538e-07,0.09977366400000001,0.80000000000000004,0.0,0.23047159250596214,0.09576747209156658,0.071151221603588805,1.5052282418054123e-05,0.0015173279476633911,1.5653000636789359e-05,0.0007507778721304578,8.7979636110128115e-12,7.156649883232663e-12,1.9901989399368856e-08,1.2556899912693058e-22,6.9028958099990832e-10,1.8239335979746576e-16,8.045788291486931e-10,4.1343682475968827e-16,6.4993228843981415e-19,2.2951924971186032e-08,8.4105302026942482e-18,0.0034634894136987885,0.055395375967760459,2.0170234364195378e-08,7.8040708890663554e-07,9.1361359828085522e-06,4.9088036929422783e-13,1.2726945760453254e-09,6.36798643040799e-08,3.102009056013854e-06,6.3560643154132188e-08,2.5306564977853335e-10,2.2345867839691827e-10
9.607763753544966e-07,0.09977366400000001,0.80000000000000004,0.0,0.23043686121725196,0.095766789144444892,0.071131702144157136,1.5098504936160712e-05,0.0015198052806195156,1.5644390331497201e-05,0.00075196091758121704,8.8190418420802556e-12,7.1726858940097404e-12,1.9926383810005917e-08,1.2634877039449704e-22,6.9004556984859351e-10,1.8306944348824696e-16,8.0627151392449406e-10,4.1434186659248717e-16,6.5164798054209185e-19,2.2966372140499087e-08,8.4519437327110612e-18,0.0034629389399016275,0.055430657586698205,2.0182890681949863e-08,7.8065217790945255e-07,9.1318177430947822e-06,4.9118555576706345e-13,1.272102541930333e-09,6.3669726063713857e-08,3.1061331300992963e-06,6.3650558745119151e-08,2.5342622535366067e-10,2.2390234808526687e-10
