Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53)
4.634213235772931e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45029002641198274,0.11668127031493809,0.022788677170313389,0.0,2.9225079209414422e-11,7.6048017215441657e-07,1.284375795097292e-08,2.3562249957469416e-10,1.3146459577847625e-22,4.0904107149339525e-05,2.5895994948452604e-20,3.8387630537253652e-05,6.8681556837824294e-15,3.2545656930737566e-15,6.0448960541258301e-17,5.3807250267812306e-19,2.5973393832348271e-10,2.2954690022220732e-14,0.0019471110915741331,6.5766854786945863e-05,3.6970377155582473e-06,5.7632155704056113e-10,2.3160433217835376e-10,5.5921550701358539e-10,2.5639120323525793e-13,1.4616838118550984e-10,6.6624548736468507e-07,1.83965423638112e-11,7.4546754348040161e-15,7.8580468286760638e-09,3.4472350029241594e-14,4.0308223314927793e-14,2.539738658835327e-17
4.698863604868319e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45026553564540461,0.11665720753707974,0.022788220642458216,0.0,3.1311079919984683e-11,7.8161807164722261e-07,1.3484759448687865e-08,2.455898045814149e-10,1.4267872335424e-22,4.1474649947017162e-05,2.7796669292570632e-20,3.8890164151773068e-05,7.1700260764728493e-15,3.5135598521470071e-15,6.4584296100407058e-17,5.7228407251506327e-19,2.7295820950639863e-10,2.4294511970209925e-14,0.0019705879561477918,6.6679225489442713e-05,3.7835621225649753e-06,5.9788010637961035e-10,2.3483428524459686e-10,5.6514240375032679e-10,2.5911500381359464e-13,1.5279661600500681e-10,6.8093856582432287e-07,1.907154707448383e-11,7.7999303679714146e-15,8.1370696262834383e-09,3.6510746478405231e-14,4.2319713600039365e-14,2.6946965567275186e-17
4.763513973963708e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45024113592476489,0.11663323652930546,0.022787764173316159,0.0,3.3518545359064012e-11,8.0305092457890218e-07,1.4148841096783758e-08,2.5583337639765087e-10,1.5468018326110843e-22,4.2045186490620447e-05,2.9807472745313663e-20,3.9391856189466591e-05,7.4806757912492416e-15,3.7893767351584986e-15,6.8939330399938207e-17,6.0818035270341892e-19,2.8667158850563464e-10,2.5692340352387575e-14,0.0019939728954366572,6.7591454549142409e-05,3.8709637232150114e-06,6.1994900232622038e-10,2.3806407393776636e-10,5.7106920122763739e-10,2.6183918711056303e-13,1.5964004249933873e-10,6.9576923533422053e-07,1.9762267554637217e-11,8.1579938358623772e-15,8.4215555432465772e-09,3.8638545588962318e-14,4.4403569764473195e-14,2.8569522509052161e-17
4.828164343059097e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45021682689533599,0.11660935693211016,0.022787307762697162,0.0,3.5852968050539396e-11,8.2477946238274905e-07,1.4836523169870483e-08,2.6635693976093272e-10,1.675128050881144e-22,4.2615716645301964e-05,3.1933131630654699e-20,3.9892709170060617e-05,7.8002335513404603e-15,4.0828692605782092e-15,7.3522438366218629e-17,6.4582095011925021e-19,3.0088546142694614e-10,2.7149837103553115e-14,0.0020172662690902221,6.8503541803921692e-05,3.959238272149592e-06,6.4253317576400897e-10,2.4129369751831872e-10,5.7699589829050792e-10,2.6456377082570407e-13,1.6670276271480183e-10,7.1073695437870349e-07,2.0468863480142949e-11,8.5292547028433082e-15,8.7115226134215122e-09,4.0858342149550525e-14,4.6561418851802384e-14,3.0267489955284509e-17
4.892814712154485e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45019260820386153,0.11658556838740024,0.022786851410411927,0.0,3.8320016427298052e-11,8.4680444567826324e-07,1.5548330716445296e-08,2.7716421726865684e-10,1.8122224727713752e-22,4.3186240276742638e-05,3.4178506025252353e-20,4.0392725603253259e-05,8.1288281789307467e-15,4.3949216735156743e-15,7.8342188896862575e-17,6.8526677788926555e-19,3.1561131914848952e-10,2.8668688168142997e-14,0.0020404684353458775,6.941548708512321e-05,4.0483814762406694e-06,6.6563751201853634e-10,2.4452315524954182e-10,5.8292249378466079e-10,2.6728877317235854e-13,1.7398889238535842e-10,7.2584117671072435e-07,2.119149375738738e-11,8.9141114566811262e-15,9.0069887439319665e-09,4.3172768917822353e-14,4.87949026792491e-14,3.2043347064618324e-17
4.957465081249874e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45016847949855077,0.11656187053848797,0.022786395116271917,0.0,4.0925537956938946e-11,8.691266642963291e-07,1.6284793523734662e-08,2.8825892937574177e-10,1.958560491538011e-22,4.3756757251146871e-05,3.654859163937974e-20,4.08919079887107e-05,8.4665885942928687e-15,4.7264502600160636e-15,8.3407346286981447e-17,7.2658006643229333e-19,3.3086075621065021e-10,3.0250603518445e-14,0.0020635797510345053,7.0327290217595567e-05,4.1383889944823409e-06,6.8926685041504135e-10,2.4775244639766819e-10,5.8884898655647755e-10,2.7001421290547252e-13,1.8150255989547099e-10,7.4108135138762556e-07,2.1930316513215781e-11,9.312972382045461e-15,9.3079717409136904e-09,4.5584496649509073e-14,5.1105677725738898e-14,3.3899619505271172e-17
5.0221154503452625e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45014444042907314,0.11653826303008613,0.022785938880089337,0.0,4.3675562258011826e-11,8.9174693729784249e-07,1.7046446082264861e-08,2.9964479439230093e-10,2.1146368370084205e-22,4.4327267435237636e-05,3.9048521698001953e-20,4.1390258816063492e-05,8.8136438149261392e-15,5.0784040670400486e-15,8.8726871627455754e-17,7.6982437440242899e-19,3.4664546969423307e-10,3.1897317172651169e-14,0.0020866005715860407,7.123895101973437e-05,4.2292564378981723e-06,7.1342598347120499e-10,2.5098157023194967e-10,5.9477537545302093e-10,2.7274010927468685e-13,1.8924790487317121e-10,7.5645692280754638e-07,2.2685489086632365e-11,9.7262556794520623e-15,9.6144893343530968e-09,4.8096234127228125e-14,5.3495415019133876e-14,3.5838879403348652e-17
5.086765819440651e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45012049064655257,0.11651474550830222,0.02278548270167717,0.0,4.6576304206454673e-11,9.1466611298569987e-07,1.7833827550164807e-08,3.1132552848133206e-10,2.2809661120789358e-22,4.4897770696251562e-05,4.1683568821981678e-20,4.1887780564902489e-05,9.1701229546993109e-15,5.4517656280244981e-15,9.4309924175236802e-17,8.1506459953341605e-19,3.6297725808691319e-10,3.3610587212750501e-14,0.0021095312510350174,7.2150469303522874e-05,4.3209793694623163e-06,7.3811965648354723e-10,2.5421052602442204e-10,6.0070165932202587e-10,2.7546648205239768e-13,1.9722907778872884e-10,7.7196733074509036e-07,2.3457168019427147e-11,1.0154389596276365e-14,9.9265592020477984e-09,5.0710728189035421e-14,5.5965800022687109e-14,3.7863745702745204e-17
5.15141618853604e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45009662980356213,0.11649131762063313,0.022785026580849136,0.0,4.9634167037292561e-11,9.3788506891007474e-07,1.864748171720245e-08,3.23304845656424e-10,2.45808333765968e-22,4.5468266901934126e-05,4.4459146909392968e-20,4.2384475704774894e-05,9.536155222998297e-15,5.8475516939245639e-15,1.0016586269564698e-16,8.6236698938382594e-19,3.7986802013821575e-10,3.5392195802262109e-14,0.0021323721420260866,7.3061844874572834e-05,4.4135533040364322e-06,7.6335256719598307e-10,2.5743931304991973e-10,6.0662783701180507e-10,2.7819335158691234e-13,2.0545023901876272e-10,7.8761201038780041e-07,2.4245509045859952e-11,1.0597812613836134e-14,1.024419899271541e-08,5.3430763756723943e-14,5.8518532520735211e-14,3.9976883976377151e-17
5.2160665576314284e-09,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4500728575541183,0.11646797901595958,0.022784570517419701,0.0,5.285574543268279e-11,9.6140471186691266e-07,1.9487956968559499e-08,3.3558645777947917e-10,2.6465445045835042e-22,4.6038755920534767e-05,4.7380813016923279e-20,4.288034669517996e-05,9.9118699238786396e-15,6.2668139696262533e-15,1.0630424677667069e-16,9.117991519826112e-19,3.9732975370303178e-10,3.7243949203809917e-14,0.0021551235958195184,7.3973077532166347e-05,4.5069737083232974e-06,7.8912936491261706e-10,2.6066793058622277e-10,6.1255390737126692e-10,2.8092073872615354e-13,2.1391555714858652e-10,8.0339039237365354e-07,2.50506670848986e-11,1.1056973560050173e-14,1.0567426348276155e-08,5.6259163863870127e-14,6.1155326503600191e-14,4.2181006218575226e-17
