Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85)
1.372287447049678e-07,0.09977366400000001,0.80000000000000004,0.0,0.27378577084931643,0.09585878943424074,0.094284726266361002,3.3307426794999903e-28,3.8036842734560842e-06,1.1105959001378984e-06,7.4019003808348516e-18,5.2047016029838674e-10,1.0197716861749458e-09,1.6853968150224486e-05,1.3647212210515427e-15,2.7987208197323521e-10,1.7536808030758111e-11,3.4048342486278506e-10,5.4661265439977471e-16,5.0212170034317101e-21,1.5732452940511822e-09,1.1058091793655664e-13,0.0041242639241502628,0.011426468080852178,6.0838897658964821e-09,1.0419910230172151e-07,7.0121992887282742e-06,2.6340099373933381e-10,8.4153074022003457e-08
1.3732072863792548e-07,0.09977366400000001,0.80000000000000004,0.0,0.27377875561647419,0.095858873920553492,0.09428116335090557,3.3524188611038696e-28,3.8114272445733166e-06,1.1119239971224194e-06,7.4327398193824775e-18,5.2191531780431703e-10,1.0215274952870294e-09,1.6871179598314182e-05,1.3709134054871934e-15,2.8009179898555952e-10,1.7585446240402928e-11,3.4116521138317589e-10,5.4851130521334376e-16,5.0474896067658395e-21,1.5756960898546666e-09,1.1096951873282837e-13,0.004124162134183827,0.011433585941306928,6.0867164920922129e-09,1.0425334995077528e-07,7.0113041252015156e-06,2.6384414833013195e-10,8.4237026921054432e-08
1.3741271257088316e-07,0.09977366400000001,0.80000000000000004,0.0,0.27377174102606716,0.095858958400421523,0.094277600752624785,3.3742192135591845e-28,3.8191756427815854e-06,1.1132512315411179e-06,7.4636856442029106e-18,5.2336342614927595e-10,1.0232850304236359e-09,1.6888396522651609e-05,1.3771290964108479e-15,2.8031131504229395e-10,1.7634183504608685e-11,3.4184766953729546e-10,5.5041515211080508e-16,5.0738803476084784e-21,1.5781482873448392e-09,1.113591971686837e-13,0.0041240603451554681,0.011440703162010738,6.0895434775864522e-09,1.0430752496058157e-07,7.010405411528347e-06,2.6428745888455365e-10,8.4321001435187921e-08
1.3750469650384084e-07,0.09977366400000001,0.80000000000000004,0.0,0.27376472707792071,0.095859042873792752,0.094274038471471477,3.3961443497475558e-28,3.8269294595309389e-06,1.114577602065282e-06,7.4947381452727915e-18,5.2481448928342689e-10,1.0250442920254192e-09,1.6905618922858488e-05,1.3833683659178124e-15,2.8053063027375473e-10,1.7683019955194743e-11,3.4253079920896237e-10,5.5232420551666435e-16,5.1003896708765348e-21,1.5806018854451784e-09,1.1174995543899903e-13,0.0041239585571176537,0.011447819743066339,6.0923707205367976e-09,1.0436162751171561e-07,7.0095031669124902e-06,2.6473092511193244e-10,8.4404997560792426e-08
1.3759668043679852e-07,0.09977366400000001,0.80000000000000004,0.0,0.27375771377186076,0.095859127340615483,0.09427047650739849,3.4181948850838077e-28,3.8346886862925573e-06,1.1159031073765586e-06,7.5258976131497723e-18,5.2626851115974161e-10,1.0268052805329468e-09,1.6922846798550058e-05,1.3896312862736909e-15,2.8074974481151903e-10,1.773195572407265e-11,3.4321460028237968e-10,5.5423847586893718e-16,5.1270180228416512e-21,1.5830568830819756e-09,1.1214179574157347e-13,0.0041238567701224835,0.011454935684576398,6.0951982191091547e-09,1.0441565779010257e-07,7.0085974104827984e-06,2.6517454674296985e-10,8.4489015294224185e-08
1.376886643697562e-07,0.09977366400000001,0.80000000000000004,0.0,0.27375070110771393,0.095859211800838354,0.09426691486035868,3.4403714375274662e-28,3.8424533145587918e-06,1.1172277461668997e-06,7.5571643389735471e-18,5.2772549573399767e-10,1.0285679963866984e-09,1.6940080149335083e-05,1.3959179299147746e-15,2.8096865878841629e-10,1.7780990943246132e-11,3.4389907264213494e-10,5.5615797361916034e-16,5.1537658511345199e-21,1.5855132791843259e-09,1.1253472027713159e-13,0.004123754984221701,0.011462050986643541,6.0980259714544721e-09,1.0446961598151845e-07,7.0076881612988565e-06,2.6561832349117308e-10,8.4573054631807338e-08
1.3778064830271388e-07,0.09977366400000001,0.80000000000000004,0.0,0.27374368908530694,0.095859296254410392,0.094263353530304878,3.4626746275864904e-28,3.8502233358431455e-06,1.1185515171385445e-06,7.5885386144661777e-18,5.2918544696477935e-10,1.0303324400270658e-09,1.6957318974815921e-05,1.402228369448167e-15,2.8118737233852635e-10,1.7830125744811107e-11,3.4458421617319876e-10,5.5808270923239514e-16,5.1806336047462741e-21,1.587971072684125e-09,1.1292873124932451e-13,0.0041236531994666851,0.011469165649370358,6.1008539757259028e-09,1.0452350226622607e-07,7.0067754383564463e-06,2.6606225505190938e-10,8.4657115569833787e-08
1.3787263223567156e-07,0.09977366400000001,0.80000000000000004,0.0,0.27373667770446686,0.09585938070128093,0.094259792517189994,3.4851050783301054e-28,3.8579987416802095e-06,1.1198744190039606e-06,7.6200207319332392e-18,5.3064836881347652e-10,1.0320986118943499e-09,1.6974563274588444e-05,1.4085626776522216e-15,2.8140588559716917e-10,1.7879360260955617e-11,3.4527003076092408e-10,5.6001269318723956e-16,5.207621734033283e-21,1.5904302625160634e-09,1.1332383086473272e-13,0.0041235514159084601,0.01147627967285939,6.1036822300961461e-09,1.0457731682639219e-07,7.0058592605802829e-06,2.6650634115235237e-10,8.4741198104563221e-08
1.3796461616862924e-07,0.09977366400000001,0.80000000000000004,0.0,0.27372966696502193,0.095859465141399744,0.094256231820966901,3.5076634153941169e-28,3.8657795236257107e-06,1.121196450485821e-06,7.651610984264289e-18,5.3211426524428444e-10,1.0338665124287651e-09,1.6991813048242071e-05,1.4149209274767181e-15,2.8162419870090158e-10,1.7928694623959864e-11,3.4595651629104995e-10,5.6194793597583225e-16,5.2347306907191319e-21,1.5928908476176188e-09,1.1372002133286755e-13,0.0041234496335976947,0.011483393057213121,6.1065107327185063e-09,1.0463105985052765e-07,7.0049396468195023e-06,2.6695058153829945e-10,8.4825302232223218e-08
1.3805660010158692e-07,0.09977366400000001,0.80000000000000004,0.0,0.2737226568668002,0.095859549574716943,0.094252671441588498,3.5303502669899665e-28,3.8735656732565628e-06,1.1225176103169595e-06,7.683309664933672e-18,5.3358314022420313e-10,1.0356361420704318e-09,1.7009068295359777e-05,1.4213031920431674e-15,2.8184231178751061e-10,1.7978128966196144e-11,3.4664367264969863e-10,5.6388844810386194e-16,5.2619609278980017e-21,1.5953528269290546e-09,1.1411730486617339e-13,0.0041233478525847011,0.01149050580253401,6.1093394817313309e-09,1.0468473151943714e-07,7.0040166158618789e-06,2.6739497589950244e-10,8.4909427949009093e-08
