Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),C2H4(47),H2X(49),H2OX(23),C2H6X(52),C2H4X(205),C2H4X(65),CH4OX(60),C3H7(36)
4.4157111198318884e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43930677806664281,0.106556664702546,0.020004013213052809,0.0,0.00032296955051069144,0.0016768095122675479,0.0,0.00012585463509172734,0.0,0.00424968709429963,1.1827172310023347e-10,0.00032859486449294525,5.3374176102251411e-09,5.2212193121913573e-06,0.0,0.0,3.125167956394032e-05,1.8832205884578255e-06,0.0075958430800270437,0.0052744018509832957,9.5254878392445145e-05,1.207455056735609e-06,2.1148979203085797e-08,4.1804189919052333e-08,2.9787810396533429e-06,3.321344956744931e-05,1.4849220225612187e-08,3.4272404337312266e-07,1.7858395071732813e-07,5.2718914349708015e-13,5.7397606835961695e-11,1.027029349478284e-12
4.4374010873398814e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43928703368623989,0.10653713954820766,0.019991231569117369,0.0,0.00032698850585680811,0.0016832813886857088,0.0,0.0001272467449776859,0.0,0.0042679081374082219,1.2045115234521644e-10,0.00032840150154257296,5.3977973244106918e-09,5.3051624934919811e-06,0.0,0.0,3.1458519463718151e-05,1.915257045632283e-06,0.0075940992225435123,0.0052956488734402472,9.535493691654231e-05,1.213644043164305e-06,2.122608827181581e-08,4.1979931971466062e-08,3.0294631570659496e-06,3.3341064224072727e-05,1.5032082199611892e-08,3.4651000484423881e-07,1.8179171831218003e-07,5.3613334059529518e-13,5.8317795732939226e-11,1.0489782963968496e-12
4.4590910548478743e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43926733538269469,0.10651762481102788,0.019978459338710338,0.0,0.00033103431775661542,0.0016897219452519136,0.0,0.00012864531599871508,0.0,0.0042861013883180952,1.2265650811475311e-10,0.00032820847727754439,5.4584792300608334e-09,5.3899109897474513e-06,0.0,0.0,3.166514929971261e-05,1.9476524587919365e-06,0.0075923570472194481,0.0053168496278687702,9.5454090320367109e-05,1.2198214815102444e-06,2.1302953360755839e-08,4.2155381318859486e-08,3.0807132526759507e-06,3.3468048014339573e-05,1.5216138184180174e-08,3.5031337403475045e-07,1.8503771408073811e-07,5.4517726595945818e-13,5.9246760271729147e-11,1.0712675164860284e-12
4.480781022355867e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43924768311240314,0.10649812047271863,0.019965696511781934,0.0,0.00033510697070590417,0.0016961312105055882,0.0,0.00013005031931293413,0.0,0.0043042669149832152,1.2488790162290654e-10,0.00032801579259312874,5.5194622592796932e-09,5.4754660578717463e-06,0.0,0.0,3.1871563988350867e-05,1.9804085854608878e-06,0.007590616551490504,0.0053380041537881267,9.5552344544525569e-05,1.2259872825027715e-06,2.1379575189435736e-08,4.2330538733101022e-08,3.1325341081391333e-06,3.3594401612607202e-05,1.5401387186001309e-08,3.5413407079720528e-07,1.8832214172638548e-07,5.5432140080672234e-13,6.0184513365429363e-11,1.0939001644281508e-12
4.50247098986386e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43922807683096982,0.10647862651513468,0.019952943078296329,0.0,0.00033920644831028206,0.0017025092138170379,0.0,0.00013146172609588644,0.0,0.0043224047852614602,1.2714544297071704e-10,0.00032782344830952132,5.5807453429726883e-09,5.5618289116807293e-06,0.0,0.0,3.207775852326604e-05,2.0135271765815345e-06,0.0075888777327893318,0.0053591124915443496,9.5649705480580982e-05,1.2321413582713126e-06,2.1455954475489091e-08,4.2505404984919977e-08,3.1849284946957825e-06,3.3720125709288393e-05,1.5587828172995784e-08,3.5797201505195745e-07,1.9164520420793131e-07,5.6356622448279495e-13,6.1131067456038374e-11,1.1168794010576468e-12
4.524160957371853e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43920851649321446,0.1064591429202726,0.019940199028231714,0.0,0.00034333273329291739,0.0017088559853784347,0.0,0.00013287950754295089,0.0,0.0043405150669104135,1.294292411473862e-10,0.00032763144517538304,5.6423274109565129e-09,5.6490007221095141e-06,0.0,0.0,3.2283727974557821e-05,2.0470099765092657e-06,0.0075871405885456732,0.0053801746823029795,9.5746178971747064e-05,1.2382836223341752e-06,2.1532091934636549e-08,4.2679980843863333e-08,3.2378991731622557e-06,3.3845221010667062e-05,1.5775460074692899e-08,3.6182712679369852e-07,1.9500710373826971e-07,5.7291221446120332e-13,6.2086434516947582e-11,1.1402083932475685e-12
4.545850924879846e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43918900205317879,0.10643966967026976,0.019927464351580298,0.0,0.00034748580750227509,0.0017151715561949164,0.0,0.00013430363487169399,0.0,0.0043585978275833097,1.3173940403161409e-10,0.00032743978387120374,5.7042073920668061e-09,5.7369826174327002e-06,0.0,0.0,3.2489467488057251e-05,2.0808587230077958e-06,0.0075854051161864536,0.0054011907680417953,9.5841770813564621e-05,1.2444139895873885e-06,2.160798828066988e-08,4.2854267078254009e-08,3.2914488939235642e-06,3.396968823871662e-05,1.5964281782602519e-08,3.656993260978216e-07,1.9840804178313231e-07,5.8235984634273045e-13,6.3050626055463925e-11,1.1638903137969174e-12
4.567540892387839e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43916953346413312,0.10642020674740335,0.019914739038348346,0.0,0.00035166565191984865,0.0017214559580757875,0.0,0.0001357340793241614,0.0,0.0043766531348251071,1.3407603839308322e-10,0.00032724846501250374,5.7663842142634717e-09,5.8257756834873397e-06,0.0,0.0,3.2694972284595347e-05,2.1150751472451301e-06,0.0075836713131358464,0.0054221607915435378,9.5936486754561839e-05,1.2505323762935859e-06,2.168364422543681e-08,4.3028264455150307e-08,3.3455803969269626e-06,3.4093528130920439e-05,1.6154292150586193e-08,3.6958853312661998e-07,2.0184821905993038e-07,5.9190959385502722e-13,6.4023653115360609e-11,1.187928341318774e-12
4.589230859895832e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43915011067858301,0.10640075413408966,0.019902023078556225,0.0,0.00035587224666788504,0.0017277092236258234,0.0,0.00013717081216911377,0.0,0.0043946810560686993,1.3643924989408706e-10,0.00032705748915287723,5.8288568047337887e-09,5.9153809638986213e-06,0.0,0.0,3.2900237659276028e-05,2.1496609737901341e-06,0.0075819391768153681,0.0054430847963886511,9.6030332496899317e-05,1.2566387000709415e-06,2.1759060478826589e-08,4.3201973740306869e-08,3.4002964116764935e-06,3.4216741440094568e-05,1.6345489995227468e-08,3.7349466813532694e-07,2.0532783553668641e-07,6.0156192885238258e-13,6.500552627945641e-11,1.2123256601292203e-12
4.610920827403825e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43913073364827632,0.10638131181288274,0.019889316462238404,0.0,0.0003601055710171016,0.0017339313862366672,0.0,0.00013861380470420409,0.0,0.0044126816586312493,1.3882914309129885e-10,0.00032686685678688773,5.8916240899932661e-09,6.0057994603081297e-06,0.0,0.0,3.3105258980753003e-05,2.1846179206097155e-06,0.0075802087046439384,0.005463962826947999,9.6123313696999787e-05,1.2627328798821371e-06,2.1834237748756206e-08,4.3375395698136738e-08,3.4555996572284888e-06,3.4339328934212514e-05,1.6537874096201388e-08,3.7741765147799584e-07,2.0884709043105245e-07,6.1131732131566438e-13,6.5996255672221787e-11,1.237085460137065e-12
