Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
5.035043014798174e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317871811,0.11866996600966009,0.022821567692566148,0.0,4.26593267329927e-39,2.6231837951297634e-28,0.0,7.6725463869274606e-37,0.0,5.1211390843321889e-18,2.1726376247496281e-78,5.1199163681738759e-18,9.2730412841732704e-53,1.3340916314760047e-43,0.0,0.0,1.4413711361146981e-34,2.1591299986100035e-61,2.0304857702047818e-11,9.7627560456748095e-13,3.7630814607187347e-16,2.091606854468268e-24,3.7630936669603128e-16,3.0449527030535683e-34,1.2849266749227453e-28,5.1141468956828572e-47
1.0070086563128761e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315743625,0.11866996598935485,0.02282156769207801,0.0,6.8249287985487497e-38,1.0492736097244511e-27,0.0,6.1380007014008042e-36,0.0,1.02447241245434e-17,1.3909093971696282e-76,1.0239833273115006e-17,1.4836781044458467e-51,2.1343812951087284e-42,0.0,0.0,1.1530146795740379e-33,6.9091770814868622e-60,4.0609717460496081e-11,1.9525513123887032e-12,7.5261389063909222e-16,8.365788014035103e-24,7.5261877312315063e-16,2.4357543316357711e-33,5.1407583539199762e-28,8.1825879727677863e-46
2.0140173659789936e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311487246,0.11866996594874436,0.022821567691101736,0.0,1.0918081698343783e-36,4.1970946719455302e-27,0.0,4.9103413982578197e-35,0.0,2.0499230363423868e-17,8.9059436093063217e-75,2.0479667065721262e-17,2.3738572925323194e-50,3.4144831863422291e-41,0.0,0.0,9.2228007575935013e-33,2.2109113074651948e-58,8.1219436691852794e-11,3.9051027274426825e-12,1.5052180557156219e-15,3.3458033932749979e-23,1.5052375855489559e-15,1.9482707361995779e-32,2.0571444130826746e-27,1.3091987564085704e-44
4.028034785311228e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302974489,0.1186699658675234,0.022821567689149183,0.0,1.746315783344901e-35,1.6788379551498627e-26,0.0,3.9281780962275571e-34,0.0,4.1037586903860797e-17,5.7050682003699725e-73,4.0959334581829802e-17,3.7980827343105075e-49,5.4614874698406774e-40,0.0,0.0,7.3761342800726995e-32,7.0747531665824694e-57,1.6243887401240698e-10,7.8102055551968082e-12,3.0103970902081988e-15,1.3379120030859807e-22,3.0104752087136901e-15,1.5580843418082661e-31,8.2353056249842815e-27,2.0946687818500295e-43
6.042052204643463e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756294461732,0.11866996578630244,0.02282156768719663,0.0,6.4266217315380539e-35,3.567530765899874e-26,0.0,1.1661618272821073e-33,0.0,6.1605286935803182e-17,3.2390331929394225e-72,6.1439002028834361e-17,1.4368756473945929e-48,2.0819038499808989e-39,0.0,0.0,2.1087675220026247e-31,3.300325647643276e-56,2.4365831019080191e-10,1.1715308380597103e-11,4.5155468296114201e-15,2.8424619820745525e-22,4.5157128302186151e-15,4.4542734373179918e-31,1.7509905892441175e-26,7.9244678205372564e-43
1.0070087043307931e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756277436223,0.11866996562386052,0.022821567683291528,0.0,4.9419560648167152e-34,9.8631739569134331e-26,0.0,5.4622908193197029e-33,0.0,1.0285805639688053e-16,8.7289922801747449e-71,1.0239833664642755e-16,1.133946237944335e-47,1.7110120587890719e-38,0.0,0.0,9.6863124480751828e-31,4.4224575198457424e-55,4.0609717797895537e-10,1.9525514021982749e-11,7.525729132629478e-15,7.8542898614170632e-22,7.5261880668024222e-15,2.0458058216168845e-30,4.8480181207738919e-26,6.2537904035517531e-42
1.3695318398105953e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756262113263,0.1186699654776628,0.022821567679776937,0.0,1.3606969903096664e-33,1.7563391367442649e-25,0.0,1.2604427183310428e-32,0.0,1.4008035149348703e-16,3.7950270352572296e-70,1.3926173757898475e-16,3.1821508236953777e-47,4.9886989074665426e-38,0.0,0.0,2.1797799565848079e-30,1.4677559785048877e-54,5.5229215529794875e-10,2.6554699091624977e-11,1.0234798559152732e-14,1.3981112171095421e-21,1.0235615774691247e-14,4.6035742026663984e-30,8.6411987579168439e-26,1.7549776432743931e-41
1.7320549752903976e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756246790304,0.11866996533146508,0.022821567676262346,0.0,3.0638206677590727e-33,2.7416703074758413e-25,0.0,2.4268430679115413e-32,0.0,1.7740298920891689e-16,1.149418446230382e-69,1.7612513827520814e-16,7.2855607845138433e-47,1.1412201949916826e-37,0.0,0.0,4.118738216088367e-30,3.9437994445327868e-54,6.9848712871078801e-10,3.3583884153217581e-11,1.2943767808591209e-14,2.1816763116674703e-21,1.2945043477436974e-14,8.6980537115879078e-30,1.3502128612738131e-25,4.0180356160184993e-41
2.0945781107701998e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756231467344,0.11866996518526736,0.022821567672747754,0.0,5.8870648126857863e-33,3.9303840844390602e-25,0.0,4.126119526638484e-32,0.0,2.1482040790739463e-16,2.9871079325726105e-69,2.1298853874818922e-16,1.4206981372909889e-46,2.2562142887150541e-37,0.0,0.0,6.8824653069138917e-30,8.7244660216919483e-54,8.4468209843385073e-10,4.0613069207206834e-11,1.5652642433411158e-14,3.1265059800987789e-21,1.5654471175475133e-14,1.4533794072151575e-29,1.9374177585382274e-25,7.8352449419031682e-41
2.819624381729804e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756200821431,0.11866996489287195,0.022821567665718568,0.0,1.5217667648468779e-32,6.7716220459339476e-25,0.0,9.1224319914827792e-32,0.0,2.8987138219250139e-16,1.3249558904451282e-68,2.8671533918505137e-16,3.7717510615987449e-46,6.3075462391068493e-37,0.0,0.0,1.4686881428984204e-29,2.744904847268962e-53,1.137072029465509e-09,5.4671439297846672e-11,2.1070175902749308e-14,5.3834865231660728e-21,2.1073326561254108e-14,3.1011829911546389e-29,3.3431383603625649e-25,2.0801456346997191e-40
