Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH3OHX(46),H2OX(35),HO2X(135)
9.983992861610166e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039711637,0.099999999997435279,0.099999999999840564,0.0,3.8517309866386935e-62,1.0217321789268944e-55,0.0,1.5018867022309192e-49,0.0,7.0288697730769215e-31,0.0,1.7100582119924626e-44,3.9629583841237089e-93,2.4947373754897459e-57,0.0,0.0,9.520703295373289e-51,7.3350454519580645e-129,2.5647271240027163e-12,3.1889804544897472e-13,8.4357548052204957e-24,1.0333211752158321e-32,8.4357554977742596e-24,2.3366908848525856e-68,4.8113920191302633e-73,2.2863955319330651e-58
1.9967994186763125e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039423273,0.099999999994870553,0.099999999999681108,0.0,6.1627737353252109e-61,8.173865444540556e-55,0.0,1.2015103658677362e-48,0.0,2.8115494987876389e-30,0.0,6.8402371962574181e-44,2.5459342805958771e-91,3.9915834240892544e-56,0.0,0.0,7.6165672002633848e-50,9.2529747800934392e-127,5.1294561768059708e-12,6.377963612180106e-13,1.6871515375791737e-23,4.1332866976086953e-32,1.6871518146008368e-23,7.4774177350984624e-67,1.5396464628684593e-71,3.6582364637395674e-57
3.9935996837069036e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038846549,0.099999999989741101,0.09999999999936221,0.0,9.8604393336444959e-60,6.5390955600716833e-54,0.0,9.6120847326996192e-48,0.0,1.1246199986394292e-29,0.0,2.7360957477896476e-43,1.6294949340775894e-89,6.3865342009717097e-55,0.0,0.0,6.0932542830784515e-49,1.1868605093462248e-124,1.025891354637001e-11,1.2755929927159103e-12,3.3743032359733868e-23,1.6533146997157816e-31,3.3743043440602389e-23,2.3927738850000349e-65,4.9268691062397645e-70,5.8531799345516128e-56
7.987200213768086e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037693099,0.099999999979482182,0.099999999998724415,0.0,1.5776697444151107e-58,5.2312777285334758e-53,0.0,7.6896649715756364e-47,0.0,4.4984794425102047e-29,0.0,1.0944384726763613e-42,1.042877226022359e-87,1.0218448332773111e-53,0.0,0.0,4.8746015512615068e-48,1.5325983506887832e-122,2.0517825341329057e-11,2.5511862555510221e-12,6.7486049698824984e-23,6.6132558107955714e-31,6.7486094022293827e-23,7.6568710379159182e-64,1.5765973733405479e-68,9.3650850171778122e-55
1.198080074382927e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503653965,0.099999999969223263,0.099999999998086619,0.0,5.8310453681874475e-58,1.5510506264845991e-52,0.0,2.2828686530199316e-46,0.0,9.5592674012215864e-29,0.0,2.3256818625786268e-42,5.2454478407493997e-87,3.8957822431825368e-53,0.0,0.0,1.3938309909806532e-47,2.0531785818003508e-121,3.0776734192119926e-11,3.8267795182254458e-12,1.012290504091313e-22,1.4053163322750986e-30,1.0122914459648899e-22,3.5936436864212008e-63,7.2215825004672463e-68,3.5704379402388899e-54
1.5974401273890453e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.192895750353862,0.099999999958964372,0.099999999997448824,0.0,1.4896698973200166e-57,3.3760429157092907e-52,0.0,4.9742489953602929e-46,0.0,1.6306983043265144e-28,0.0,3.9673397442260174e-42,2.2833679372913353e-86,1.0481884862638408e-52,0.0,0.0,2.939992441966053e-47,1.0089636540230593e-120,4.1035640098743462e-11,5.102372780739182e-12,1.3497203449066111e-22,2.3973034585290525e-30,1.349721951631881e-22,1.1202465800047693e-62,2.1642948446435645e-67,9.6065243164416309e-54
2.396160233401282e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575033079301,0.099999999938446577,0.099999999996173233,0.0,5.312449961741163e-57,9.7808517972451423e-52,0.0,1.4438699859650567e-45,0.0,3.3761527739474702e-28,0.0,8.2138731914230231e-42,2.2026071340330437e-85,4.2395730973745888e-52,0.0,0.0,8.030027414170397e-47,3.6096278577530841e-120,6.1553445002212658e-11,7.6535593053895296e-12,2.0245796362702618e-22,4.9633091978604782e-30,2.0245829627899437e-22,5.5195740748728005e-62,9.6209658691806793e-67,3.8855208221161333e-53
3.1948803394135187e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575030772402,0.099999999917928767,0.099999999994897643,0.0,1.3434122572493327e-56,2.136135139602534e-51,0.0,3.1575788372907791e-45,0.0,5.7419500274363696e-28,0.0,1.3969647099789435e-41,9.0000258796513433e-85,1.1483829320085981e-51,0.0,0.0,1.6801496245714316e-46,2.248132050970089e-119,8.207123907893546e-11,1.0204745829448971e-11,2.699438316135184e-22,8.4412838565795223e-30,2.6994439736723725e-22,1.7318969664629341e-61,2.8327037767004848e-66,1.0524803351020494e-52
3.9936004454257554e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575028465503,0.099999999897410985,0.099999999993622052,0.0,2.8759248792607247e-56,4.0041975635490478e-51,0.0,5.9240437796827146e-45,0.0,8.772399707848371e-28,0.0,2.1342464357672681e-41,2.931804701738376e-84,2.5798046669832612e-51,0.0,0.0,3.0586468524308343e-46,9.3347466887920679e-119,1.0258902155557857e-10,1.27559323528753e-11,3.3742963408234515e-22,1.2896366300324893e-29,3.3743049842594969e-22,4.4522250285115773e-61,6.936822721185791e-66,2.3643634688683942e-52
5.591040657450228e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575023851716,0.099999999856375463,0.09999999999107087,0.0,1.0635635707079998e-55,1.0945294597663701e-50,0.0,1.6209236125251697e-44,0.0,1.6869002185591676e-27,0.0,4.1040802175824985e-41,2.5474856590824807e-83,1.0004125664314109e-50,0.0,0.0,8.0757199795123415e-46,6.0391042896067951e-118,1.4362455098001424e-10,1.7858305397788844e-11,4.7240103835194056e-22,2.4799218770016269e-29,4.7240270045294035e-22,2.511768165245844e-60,3.6385095788084666e-65,9.1686831744732024e-52
7.188480869474702e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575019237931,0.099999999815339954,0.099999999988519689,0.0,2.7732442903228301e-55,2.3063527787686237e-50,0.0,3.4170990923337556e-44,0.0,2.7665102063843911e-27,0.0,6.7306810089982598e-41,1.0667437627531905e-82,2.6619980109802625e-50,0.0,0.0,1.6742971241647925e-45,9.0548386055809099e-117,1.84660033290463e-10,2.2960678440130992e-11,6.0737217652040993e-22,4.0670597107739742e-29,6.0737490236001926e-22,8.3535468427013937e-60,1.1779456832771168e-64,2.4396970184627479e-51
1.0383361293523649e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575010010374,0.099999999733269146,0.099999999983417312,0.0,1.2316268990146381e-54,7.0322488935674713e-50,0.0,1.0423177113469803e-43,0.0,5.7354628543956669e-27,0.0,1.395390673986359e-40,1.0874681249674484e-81,1.1931642840258764e-49,0.0,0.0,5.0307657146326692e-45,3.5514444074531057e-115,2.6673085658954056e-10,3.3165424517102158e-11,8.7731365466889662e-22,8.4317170874278416e-29,8.773193058145801e-22,5.7182697240777062e-59,7.9065420810726906e-64,1.0935262606763353e-50
1.677312214162154e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574991555314,0.09999999956912807,0.099999999973212572,0.0,9.0587100632362672e-54,3.0506080729262468e-49,0.0,4.5226734541445741e-43,0.0,1.491225591113355e-26,0.0,3.6280393211492747e-40,2.2727119105623271e-80,8.6602019733432183e-49,0.0,0.0,2.162875764123819e-44,2.59851660130585e-113,4.3087193790662201e-10,5.3574916640192341e-11,1.4171934182546341e-21,2.1922465277797321e-28,1.4172081112858922e-21,7.437804950019621e-58,1.0366819515813048e-62,7.9370415310329337e-50
2.9552643837817327e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574954645428,0.099999999240848167,0.099999999952803079,0.0,9.5261922979139744e-53,1.7244991831346149e-48,0.0,2.5568842571932908e-42,0.0,4.6221143698610951e-26,0.0,1.1245324596786981e-39,7.7663170151914094e-79,8.8835698586440461e-48,0.0,0.0,1.2179266398902795e-43,4.0403528726441702e-111,7.5915183944961494e-10,9.4393900762965818e-11,2.4969401748290439e-21,6.7949083960362868e-28,2.4969857164819029e-21,1.4696719310463179e-56,2.0983261475747714e-61,8.1418192516433447e-49
5.51116872302089e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574880826554,0.099999998584297409,0.099999999911984092,0.0,1.2274120583187241e-51,1.1466273690409974e-47,0.0,1.7000950393748834e-41,0.0,1.6065894257179869e-25,0.0,3.908783547647595e-39,3.5548372844462898e-77,1.1204667287716224e-46,0.0,0.0,8.087282776316069e-43,1.0252306012231202e-108,1.4157025982945403e-09,1.7603186851489078e-10,4.6563826067726052e-21,2.361791181949758e-27,4.656540903923994e-21,3.6543358383055678e-55,5.332464968445129e-60,1.0269267692635709e-47
