Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),H2X(49),C2H4X(65)
2.6445338700486946e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,0.0,3.2464964546373679e-40,7.2363679116513246e-29,0.0,1.1116770694877937e-37,0.0,2.689448836551189e-18,4.5606892045057242e-80,2.6891115351494991e-18,7.0567911620561682e-54,1.0152788476345872e-44,0.0,0.0,2.088470995989635e-35,8.6299809059616986e-63,1.0664632620122478e-11,5.1276501418480979e-13,1.9764700472050637e-16,5.7701586263278891e-25,1.9764734144478223e-16,4.4120057189311711e-35,3.5442805354791578e-29,3.8918695472973868e-48,2.6274642571221223e-73,1.0483127711693901e-38,2.9786575359224236e-73
5.2890683005472925e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,0.0,5.1941698456858453e-39,2.8945476363195119e-28,0.0,8.893390470592708e-37,0.0,5.3795728424569071e-18,2.9190847485435866e-78,5.3782236386075454e-18,1.1290834086372783e-52,1.6243811433809553e-43,0.0,0.0,1.6707144426777875e-34,2.7615862778510564e-61,2.1329267474119176e-11,1.0255301369846025e-12,3.9529337784118929e-16,2.307971068491529e-24,3.9529472473663085e-16,3.5294468827130623e-34,1.417864754953164e-28,6.2269736821050411e-47,1.6815724104481933e-71,8.3865036830716388e-38,1.9061229474516744e-71
1.0578137161544488e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.11866996598730599,0.022821567692028758,0.0,8.3099510142003788e-38,1.1578191558094197e-27,0.0,7.1146680016426951e-36,0.0,1.0761844640821716e-17,1.8688088430172361e-76,1.0756447840757848e-17,1.8065225687114919e-51,2.5987983702708471e-42,0.0,0.0,1.3364714266775944e-33,8.8370237437385851e-60,4.2658537103342976e-11,2.051060382421852e-12,7.9058410363408564e-16,9.231143099923345e-24,7.9058949120125844e-16,2.823304441301418e-33,5.6726779888274676e-28,9.9630976333661356e-46,1.0761998596434323e-69,6.70920350220543e-37,1.2196393898034948e-69
2.115627488353888e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464665,0.022821567691003228,0.0,1.3293613787296088e-36,4.6312768813994095e-27,0.0,5.6916623470682134e-35,0.0,2.1534483301004065e-17,1.1966196141448949e-74,2.1512896225995286e-17,2.8904007037698315e-50,4.1574034903770201e-41,0.0,0.0,1.0690168236117515e-32,2.8278135168147842e-58,8.5317076046712144e-11,4.1021208726470116e-12,1.5811574735087564e-15,3.6918639940615114e-23,1.5811790236581334e-15,2.2582384261777274e-32,2.2700460920360104e-27,1.5940760223121865e-44,6.8875946829670048e-68,5.3673629444819165e-36,7.8021178542545013e-68
4.2312550327527663e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932797,0.022821567688952167,0.0,2.1262398668341273e-35,1.8525108486709057e-26,0.0,4.5532141717862411e-34,0.0,4.3112140213143101e-17,7.6657951815632631e-73,4.3025792920217477e-17,4.6245273698762971e-49,6.6496896995292171e-40,0.0,0.0,8.5495700276511879e-32,9.0487842110777802e-57,1.7063415267313686e-10,8.2042418505000041e-12,3.1622718870756418e-15,1.476271126456316e-22,3.1623580867134914e-15,1.8059427036927142e-31,9.0879828662172631e-27,2.5504586671068315e-43,4.4079520841589202e-66,4.2938902853418822e-35,4.9887859729689975e-66
6.346882577151645e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400929,0.022821567686901106,0.0,7.8247187264001138e-35,3.9365856780132269e-26,0.0,1.3517159203089584e-33,0.0,6.4722176055089909e-17,4.3522201348076507e-72,6.4538689538187007e-17,1.7495319194146065e-48,2.5348255411700446e-39,0.0,0.0,2.4442215682799153e-31,4.2211960851192843e-56,2.5595122803924806e-10,1.2306362825755664e-11,4.7433539751219052e-15,3.1363795265096675e-22,4.7435371479418306e-15,5.1628033270632155e-31,1.9323417321203403e-26,9.6487885173671379e-43,2.4649441281508901e-65,1.2277842357961216e-34,2.7888990511851543e-65
1.0578137665949401e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275288818,0.11866996560337194,0.022821567682798985,0.0,6.016895370888881e-34,1.0883502323294865e-25,0.0,6.3314093994017115e-33,0.0,1.0807175816190833e-16,1.1730421794143484e-70,1.0756448246911535e-16,1.3806836228665446e-47,2.0831834887112409e-38,0.0,0.0,1.1226890779050391e-30,5.6564173449104951e-55,4.2658537373021623e-10,2.0510604765878117e-11,7.9053888544289711e-15,8.666204650907607e-22,7.9058952633375113e-15,2.3711560843937553e-30,5.3505215150962858e-26,7.6145636754811824e-42,5.6712218520409228e-64,5.6424398034122362e-34,6.4067025852288263e-64
1.4386267245867383e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756259192794,0.11866996544979833,0.022821567679107077,0.0,1.656644501402502e-33,1.9380293986251499e-25,0.0,1.460992747532439e-32,0.0,1.4719099110703294e-16,5.1002546859753265e-70,1.462876958605766e-16,3.8745562497210136e-47,6.0737230210468755e-38,0.0,0.0,2.5264322830433834e-30,1.8772894221857934e-54,5.8015610077998312e-10,2.7894422503596798e-11,1.0751115809323062e-14,1.5426088898220491e-21,1.0752017561668622e-14,5.3356051247649086e-30,9.5373314241046452e-26,2.136843859922907e-41,2.1674637566951848e-63,1.2701074903735164e-33,2.4474589898141117e-63
1.8194396825785365e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756243096769,0.11866996529622471,0.022821567675415169,0.0,3.7301380986017126e-33,3.0252913865007342e-25,0.0,2.8129762808816557e-32,0.0,1.8642094598414903e-16,1.5447581370209276e-69,1.8501090899125576e-16,8.8708186697530301e-47,1.3894135990673221e-37,0.0,0.0,4.7736754301022367e-30,5.0441937441330967e-54,7.3372682351951103e-10,3.5278240232433175e-11,1.3596732224943911e-14,2.407112860732481e-21,1.3598139854369536e-14,1.0080987305431601e-29,1.4903087983979117e-25,4.8923158434610771e-41,6.7598480763285679e-63,2.4005857191724816e-33,7.6284407282193516e-63
2.2002526405703347e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756227000745,0.1186699651426511,0.022821567671723261,0.0,7.1672838559575769e-33,4.3369755638656653e-25,0.0,4.7826169100142886e-32,0.0,2.2575548568730943e-16,4.0147250991443193e-69,2.2373412187559853e-16,1.7298245359954994e-46,2.7468586996458029e-37,0.0,0.0,7.9767659783786606e-30,1.1158745965489804e-53,8.8729754218756146e-10,4.2662057952879699e-11,1.6442244228278815e-14,3.4495131445048946e-21,1.6444262141926685e-14,1.6844299330046771e-29,2.138540186293579e-25,9.5400973650264965e-41,1.6805346894985335e-62,4.0124877616232695e-33,1.8954552570726068e-62
2.9618785565539307e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756194808701,0.11866996483550392,0.022821567664339442,0.0,1.8526556279771426e-32,7.4721347243150284e-25,0.0,1.0573854174743834e-31,0.0,3.0466305796923556e-16,1.7810126253021251e-68,3.0118054708251853e-16,4.5924286018834328e-46,7.6789941806942763e-37,0.0,0.0,1.7021698125831249e-29,3.5107761180736737e-53,1.1944389702387328e-09,5.7429693374640562e-11,2.2133030135547088e-14,5.9394935064446903e-21,2.2136506705818447e-14,3.5940982153326617e-29,3.6904744177599548e-25,2.5327546348502822e-40,6.1935726091345102e-62,8.5662029200283889e-33,6.9798484387613348e-62
3.723504472537527e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756162616658,0.11866996452835674,0.022821567656955623,0.0,3.9219554777681968e-32,1.1436849968333706e-24,0.0,1.9808994976880987e-31,0.0,3.8395718652606739e-16,5.36926688017452e-68,3.7862697137887922e-16,9.9612224270481786e-46,1.7186384573644073e-36,0.0,0.0,3.0938753747551962e-29,8.6836975201696266e-53,1.5015803832400674e-09,7.2197328765390469e-11,2.7823430124318839e-14,9.085564665880792e-21,2.7828751252184143e-14,6.5321028693657441e-29,5.6575930242471437e-25,5.4936792549064037e-40,1.7254060012978984e-61,1.5576708606777979e-32,1.9431042862235672e-61
