Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),HOCOX(206),CH4OX(60),C2H4X(210),C2H4X(65)
2.3125057564955422e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43712271585246432,0.087317990747049545,0.011962833218762795,0.0,0.0066307719082655692,0.038468814092738383,0.014792424304709369,5.9582195643547918e-05,5.5474236477178982e-11,0.0022617913778412531,7.9897150973546939e-11,0.00050169450310829115,3.6755186704490141e-09,0.00010282789169890097,1.3495412904397336e-09,8.337959947007168e-11,0.0001507423111989602,2.0892236188659169e-05,0.0061930379910490174,3.2713450270815785e-06,0.00045537326314151733,1.0352395543675513e-07,6.7314315941707369e-09,3.0083471374508216e-09,3.7001059513534749e-10,2.8621699901014551e-05,0.0077044776509289647,3.6971551209694956e-05,2.9390267690652407e-07,0.00076001761328196014,3.3061937684719897e-05,4.5238765814068033e-08,8.8135814426033236e-10,6.8207784289748959e-12,1.1248173212723129e-09,2.3417704248884817e-06,5.8194998361111677e-12
2.3202248135229674e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4370965240111675,0.087254541829308627,0.011935929384963108,0.0,0.0066425915142298035,0.038595579489238405,0.014835563050822733,5.9457356296295781e-05,5.5998030811602153e-11,0.0022594745081187828,7.9723034043799023e-11,0.00050197844432292181,3.6716248529001772e-09,0.00010228805180043144,1.3542434032588899e-09,8.3590286610673599e-11,0.00015004685603913672,2.0953793931523701e-05,0.0061881646328654548,3.2529214863507691e-06,0.00045603053486038977,1.0307715520930648e-07,6.709413073657842e-09,3.0051348688261533e-09,3.7244800597001144e-10,2.8767820951484745e-05,0.0077321867560421502,3.707443759525195e-05,2.9440881349255636e-07,0.00076247879151899664,3.3159357008861803e-05,4.5367976276524426e-08,8.8513953666952024e-10,6.8106479399820329e-12,1.1188450600458951e-09,2.348645353064402e-06,5.8362969260643592e-12
2.3279438705503926e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43707031964229104,0.087191156118222299,0.011909088997233884,0.0,0.0066543666170817825,0.038722239667953615,0.014878613108971464,5.9332986831622834e-05,5.6524522161012867e-11,0.0022571639871882057,7.9549930952274372e-11,0.00050226159345540986,3.6677568512932361e-09,0.00010175068906084017,1.3589397224741579e-09,8.3800152593039367e-11,0.00014935531568244177,2.1015210477358193e-05,0.0061832961417505154,3.2346349763594966e-06,0.00045668613819171993,1.0263279311021904e-07,6.6874800056124384e-09,3.0019317739261967e-09,3.7489306161987371e-10,2.8914195085795318e-05,0.0077599074505877936,3.7177093623741477e-05,2.9491290707215206e-07,0.00076493756642158676,3.3256552874997108e-05,4.5496898427628786e-08,8.8891973349031807e-10,6.8004719843400989e-12,1.1129005684968226e-09,2.3555031742531019e-06,5.8530524679197966e-12
2.3356629275778177e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43704410267906108,0.087127833446546482,0.011882311904098251,0.0,0.0066660974105940659,0.038848794838850627,0.014921574616138973,5.9209085180688453e-05,5.705371021362788e-11,0.0022548597902027259,7.9377834823670334e-11,0.00050254395548610142,3.6639145040572115e-09,0.00010121580369330478,1.3636302418210925e-09,8.4009199775202559e-11,0.00014866766313243683,2.107648645767209e-05,0.0061784325042634905,3.2164841204240057e-06,0.00045734008140386101,1.0219085093952541e-07,6.665631995019242e-09,2.9987378181295562e-09,3.773457625527891e-10,2.9060822202503722e-05,0.0077876398033615724,3.7279519662605326e-05,2.9541496649341621e-07,0.0007673939421849775,3.3353526282562076e-05,4.5625532716721631e-08,8.9269870928194216e-10,6.7902512973183738e-12,1.1069838444212808e-09,2.3623439631423191e-06,5.8697666422573835e-12
2.343381984605243e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4370178730559291,0.087064573648142407,0.011855597954401817,0.0,0.0066777840874711484,0.038975245211203186,0.014964447709748021,5.9085649267636732e-05,5.758559461654353e-11,0.0022525618922568454,7.9206738804166142e-11,0.00050282553535642546,3.6600976501243073e-09,0.000100683395618085,1.3683149552296223e-09,8.4217430511586727e-11,0.00014798387164977089,2.113762250029074e-05,0.0061735737070665658,3.1984675603776471e-06,0.00045799237269486857,1.0175131069832049e-07,6.6438686484786917e-09,2.9955529667559232e-09,3.7980610922353672e-10,2.9207702199001914e-05,0.0078153838818975883,3.7381716080196428e-05,2.9591500055596007e-07,0.0007698479229907428,3.3450278225162683e-05,4.5753879594481106e-08,8.9647643882927272e-10,6.7799866074699863e-12,1.101094882413439e-09,2.3691677939874601e-06,5.8864396286017333e-12
2.351101041632668e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43699163070855968,0.087001376557964652,0.011828946997312826,0.0,0.0066894268393591126,0.03910159099358488,0.015007232527647947,5.8962677010285027e-05,5.812017497601107e-11,0.0022502702683919371,7.9036636062559375e-11,0.00050310633796918434,3.6563061289504101e-09,0.00010015346446961091,1.372993856821268e-09,8.4424847152917769e-11,0.00014730391474827821,2.119861922936654e-05,0.0061687197369237109,3.1805839562441754e-06,0.00045864302019332006,1.0131415458551079e-07,6.6221895742181771e-09,2.9923771850733359e-09,3.8227410207329329e-10,2.9354834971496387e-05,0.007843139752479843,3.7483683245751927e-05,2.9641301801134154e-07,0.00077229951300665891,3.3546809690592142e-05,4.5881939512884317e-08,9.0025289714080199e-10,6.7696786366843445e-12,1.0952336739437711e-09,2.3759747406128356e-06,5.9030716054256234e-12
2.3588200986600932e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43696537557382142,0.086938242012049846,0.011802358882322284,0.0,0.006701025856855101,0.039227832393862114,0.01504992920810207,5.8840166320786922e-05,5.8657450857710669e-11,0.0022479848936016425,7.8867519791343676e-11,0.00050338636818884279,3.6525397805345871e-09,9.9626009603431641e-05,1.3776669409064062e-09,8.4631452046138668e-11,0.00014662776619116743,2.1259477265390485e-05,0.0061638705806996031,3.1628319859387877e-06,0.00045929203195912543,1.0087936499481216e-07,6.6005943821025532e-09,2.9892104383051869e-09,3.8474974152911075e-10,2.9502220414988002e-05,0.0078709074801536459,3.7585421529364664e-05,2.9690902756349999e-07,0.00077474871638658679,3.3643121660849231e-05,4.600971292516962e-08,9.0402805944658192e-10,6.7593281002337748e-12,1.0894002074358364e-09,2.3827648764129556e-06,5.9196627501536664e-12
2.3665391556875184e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43693910758977544,0.08687516984750554,0.011775833459244102,0.0,0.0067125813295166427,0.039353969619187495,0.015092537889775439,5.8718115106270248e-05,5.9197421787023725e-11,0.002245705742837085,7.8699383207729579e-11,0.00050366563084181676,3.6487984454375794e-09,9.9101030103027979e-05,1.3823342019815697e-09,8.4837247534326889e-11,0.00014595539998729182,2.1320197225204121e-05,0.0061590262253585432,3.1452103449404495e-06,0.00045993941598432297,1.004469245114987e-07,6.5790826836438654e-09,2.986052691637013e-09,3.8723302800341815e-10,2.9649858423253586e-05,0.0078986871287369063,3.768693130195876e-05,2.974030378691817e-07,0.00077719553727036064,3.3739215112157135e-05,4.6137200285799586e-08,9.0780190119623582e-10,6.7489357068286511e-12,1.0835944683415408e-09,2.3895382743538699e-06,5.9362132391660076e-12
2.3742582127149436e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43691282669566506,0.086812159902498826,0.011749370578215183,0.0,0.006724093445870793,0.039480002875993542,0.015135058711722727,5.8596521269451106e-05,5.9740087249303729e-11,0.0022434327910119136,7.8532219554610985e-11,0.0005039441307167601,3.6450819647993661e-09,9.8578524786490688e-05,1.3869956347267899e-09,8.5042235956614205e-11,0.00014528679038751052,2.1380779722011941e-05,0.0061541866579634145,3.1277177460304711e-06,0.00046058518019386678,1.0001681590975159e-07,6.5576540920104036e-09,2.9829039102230244e-09,3.8972396189350714e-10,2.9797748888826619e-05,0.0079264787608313899,3.7788212935259633e-05,2.9789505753835922e-07,0.00077963997978368414,3.3835091014983131e-05,4.6264402050424651e-08,9.1157439805692776e-10,6.7385021586579222e-12,1.0778164392149104e-09,2.3962950069745801e-06,5.9527232478022001e-12
2.3819772697423687e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.43688653283190559,0.086749212016245761,0.011722970089695478,0.0,0.0067355623934231522,0.039605932369986663,0.015177491813376472,5.8475382709224803e-05,6.0285446690145815e-11,0.0022411660130071788,7.8366022101479087e-11,0.00050422187256485198,3.6413901803557935e-09,9.8058492213067805e-05,1.3916512340029848e-09,8.5246419648108686e-11,0.00014462191188111754,2.1441225365394142e-05,0.0061493518656746413,3.110352918933612e-06,0.00046122933244640104,9.9589022149125133e-08,6.5363082220350513e-09,2.9797640591924487e-09,3.9222254358105456e-10,2.9945891702980388e-05,0.0079542824378337935,3.7889266801775133e-05,2.9838509513464251e-07,0.00078208204803803126,3.3930750334058743e-05,4.6391318675847665e-08,9.1534552591146667e-10,6.7280281514533625e-12,1.0720660997844067e-09,2.4030351463884848e-06,5.9691929503651235e-12
