Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),HOCXO(25),C3H7X(36),C3H7(49),C3H7X(37),C3H7(50)
5.63559133984289e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949750102328,0.099964874149536365,0.0,0.099964935354673226,0.0,1.4804679262811889e-23,0.0,7.3200448450897937e-19,0.0,2.0695914114247249e-12,2.3254734030763162e-36,1.2754493798095817e-21,1.8833921940187224e-27,0.0,0.0,0.0,0.0,0.0,3.5125845269787934e-05,3.5064645326658608e-05,5.2560406418935648e-12,3.0920357887299705e-12,2.3010610500553463e-15,2.9936618810815402e-14,4.6408442143106456e-27,2.3641357401167781e-22,7.5111854434342652e-24,3.5079475699915589e-29,7.1347519645719615e-40,4.6789067305910195e-25,1.2443428282994304e-46,3.6364673436102222e-45,8.7620302168134924e-47,2.5700092503273434e-45
5.661795312209383e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949718745686,0.099964874149583549,0.0,0.099964935041068029,0.0,1.5013152240153554e-23,0.0,7.3987166895345089e-19,0.0,2.085821296590032e-12,2.3695405816977206e-36,1.2873654388434782e-21,1.9138201128920052e-27,0.0,0.0,0.0,0.0,0.0,3.512584519844535e-05,3.5064958931865895e-05,5.2806888609744325e-12,3.0997015389512281e-12,2.3072139618103351e-15,3.0183372858495869e-14,4.7086060692891829e-27,2.3907022568159144e-22,7.6122444142639787e-24,3.5458807215702756e-29,7.2754066575800085e-40,4.70092550624738e-25,1.2681075780851431e-46,3.7255824031616756e-45,8.9292129769247026e-47,2.6329351942095786e-45
5.687999284575876e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949688584087,0.099964874149628069,0.0,0.099964934739415881,0.0,1.5223579992037811e-23,0.0,7.477777573319753e-19,0.0,2.1020911759163488e-12,2.4141928920787615e-36,1.2993370676792084e-21,1.9445760557753862e-27,0.0,0.0,0.0,0.0,0.0,3.5125845129799097e-05,3.5065260583986041e-05,5.3053383617377482e-12,3.107326670304985e-12,2.3133342634901743e-15,3.0430784083279421e-14,4.7770275863942321e-27,2.4174086907425996e-22,7.714134074311527e-24,3.5840030856954138e-29,7.4180158694026869e-40,4.7229454319519062e-25,1.2921906432064048e-46,3.8163945261375073e-45,9.09863267678293e-47,2.6970583499048138e-45
5.714203256942368e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949659571978,0.099964874149669966,0.0,0.099964934449261258,0.0,1.5435971737831187e-23,0.0,7.5572263869847099e-19,0.0,2.1184008365081366e-12,2.4594344641910644e-36,1.3113642675235757e-21,1.9756616515061525e-27,0.0,0.0,0.0,0.0,0.0,3.5125845063748667e-05,3.5065550738611851e-05,5.3299891373935367e-12,3.1149113989987266e-12,2.3194221286735368e-15,3.0678849002214068e-14,4.846112000459026e-27,2.4442546665595389e-22,7.8168566272912569e-24,3.6223141281324977e-29,7.5625942990330278e-40,4.7449665016000648e-25,1.3165942972634835e-46,3.9089263710220387e-45,9.2703052706302505e-47,2.7623946851362333e-45
5.740407229308861e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949631665551,0.099964874149709351,0.0,0.099964934170165914,0.0,1.5650336697712611e-23,0.0,7.6370620169360621e-19,0.0,2.134750066603061e-12,2.5052694230905339e-36,1.3234470395679786e-21,2.0070785242928669e-27,0.0,0.0,0.0,0.0,0.0,3.5125845000197133e-05,3.5065829833971284e-05,5.3546411811878831e-12,3.1224559400890225e-12,2.3254777300150815e-15,3.0927564150886729e-14,4.9158625466239264e-27,2.4712398070648268e-22,7.9204142652386837e-24,3.6608133125772862e-29,7.7091566329741926e-40,4.7669887091201181e-25,1.3413208112930591e-46,4.0032007574251294e-45,9.4442466946005205e-47,2.8289602810085376e-45
5.766611201675354e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949604822662,0.099964874149746349,0.0,0.099964933901708283,0.0,1.5866684092666357e-23,0.0,7.7172833455764335e-19,0.0,2.1511386555659668e-12,2.5517018887585822e-36,1.3355853849884961e-21,2.038828293697802e-27,0.0,0.0,0.0,0.0,0.0,3.5125844939051139e-05,3.506609829158908e-05,5.3792944864027509e-12,3.1299605074876648e-12,2.3315012392503757e-15,3.1176926083324604e-14,4.9862824603337933e-27,2.4983637332428359e-22,8.0248091685726497e-24,3.6995001007188937e-29,7.8577175446155507e-40,4.7890120484729353e-25,1.3663724536792923e-46,4.0992406658963944e-45,9.6204728660967613e-47,2.896771331876351e-45
5.792815174041846e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949579002774,0.099964874149781044,0.0,0.099964933643482967,0.0,1.6085023144475067e-23,0.0,7.7978892514310241e-19,0.0,2.1675663938828719e-12,2.5987359759455378e-36,1.347779304945965e-21,2.0709125746199171e-27,0.0,0.0,0.0,0.0,0.0,3.5125844880220635e-05,3.5066356516923621e-05,5.4039490463557876e-12,3.1374253139677577e-12,2.3374928272007905e-15,3.1426931371897002e-14,5.0573749773353743e-27,2.5256260643143982e-22,8.1300435061571446e-24,3.7383739523020342e-29,8.0082916936167997e-40,4.8110365136518018e-25,1.391751490066097e-46,4.197069237733125e-45,9.7989996831769779e-47,2.9658441452082413e-45
5.819019146408339e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949554166896,0.099964874149813476,0.0,0.099964933395099931,0.0,1.6305363075712786e-23,0.0,7.8788786092724589e-19,0.0,2.184033073155e-12,2.6463757940162223e-36,1.3600288005860647e-21,2.1033329772783731e-27,0.0,0.0,0.0,0.0,0.0,3.5125844823618824e-05,3.5066604899979193e-05,5.4286048544001437e-12,3.1448505711697844e-12,2.3434526637783713e-15,3.1677576607217747e-14,5.1291433336747102e-27,2.553026417786293e-22,8.2361194353628005e-24,3.7774343251883675e-29,8.1608937253000019e-40,4.833062098682253e-25,1.4174601832706206e-46,4.2967097747820537e-45,9.9798430239484424e-47,3.0361951414463948e-45
5.845223118774832e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104949530277525,0.099964874149843799,0.0,0.099964933156184016,0.0,1.6527713109738044e-23,0.0,7.9602502902438611e-19,0.0,2.2005384860928496e-12,2.6946254467976987e-36,1.3723338730393977e-21,2.1360911071965639e-27,0.0,0.0,0.0,0.0,0.0,3.5125844769162121e-05,3.5066843815895025e-05,5.4532619039242834e-12,3.1522364896076399e-12,2.3493809179906783e-15,3.1928858398047954e-14,5.2015907656945567e-27,2.580564409500041e-22,8.3430391021280673e-24,3.816680675417001e-29,8.3155382700495807e-40,4.8550887976218893e-25,1.4435007931979125e-46,4.3981857392350079e-45,1.0163018745970327e-46,3.1078408538620108e-45
5.871427091141324e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410494950729857,0.099964874149872041,0.0,0.099964932926374386,0.0,1.6752082470687011e-23,0.0,8.0420031619801753e-19,0.0,2.2170824265102794e-12,2.7434890324291505e-36,1.3846945234215676e-21,2.1691885651866731e-27,0.0,0.0,0.0,0.0,0.0,3.5125844716769934e-05,3.5067073625511878e-05,5.4779201883517968e-12,3.1595832786746299e-12,2.3552777579456065e-15,3.2180773371199598e-14,5.2747205100318341e-27,2.6082396536800258e-22,8.4508046410200594e-24,3.8561124572641123e-29,8.472239942720182e-40,4.877116604560193e-25,1.4698755767567854e-46,4.5015207534185648e-45,1.0348542685664687e-46,3.1807979284064752e-45
